start	end	text
0	6280	Growing up, we get told a lot of legends, but one that's always stuck out to me has been the story of Pandora's Box.
9420	14660	There are numerous religious and spiritual texts which attempt to explain the origin of evil,
14660	18760	the most famous of which can be found in the Bible through the Garden of Eden.
19160	26320	Stories such as these often attribute the fall of man to some sort of wicked being who tempted us into a new sinful reality.
26840	32920	However, the ancient Greeks presented a different interpretation of what really led man to forbidden territory.
33680	38440	Pandora's Box was a box or jar given to Pandora, the first woman on Earth.
38640	43560	The box contained all the evils of the world, such as disease, poverty, and war,
43560	47880	and was accompanied by a warning not to open it under any circumstances.
48400	55160	However, Pandora's curiosity got the better of her, and she opened the box, unleashing all the evils into the world.
55680	63600	The Greek telling of the original sin is rather unique, because it implies that mankind is responsible for its own downfall,
63600	66800	a notion that has only grown more salient over time.
67600	74680	Concerns of man-made doom now pervade our lives more than ever, and are beginning to appear where we least expect them.
75380	81320	The preceding paragraph of voiceover was written by ChatGPT, an AI writing tool
81360	85560	which many suspect will lead to a cascade of unforeseen consequences.
85720	90040	It seems like we are opening a new version of Pandora's Box every day,
90040	94320	and while many may experience this as a distinctly modern dilemma,
94360	98800	it turns out that we've been opening the box for a lot longer than we think.
99160	104280	I suppose you could say that humanity's wayward path began when we departed from the Animal Kingdom.
104800	108520	While we once existed alongside animals as products of nature,
108520	116120	we have since assumed the role of quasi-caretakers, although for centuries, it's hard to say that any care was being taken.
116120	121880	In fact, the natural world had not yet seen a force as ruthlessly destructive as man.
122200	128400	When we put our minds to it, we have the unprecedented ability to single-handedly make other creatures disappear.
128720	132520	Since the advent of human civilization after the end of the last Ice Age,
132960	137440	animals have been going extinct at a rate not seen since the last of the dinosaurs.
137760	141720	While many may attribute this process to our efficient hunting practices,
141720	148240	the main culprit lies in the development of agriculture and the widespread destruction of natural habitats for land clearing.
148560	152800	These damaging practices have resulted in effects which sound almost unfathomable.
154000	160160	At the turn of the 19th century, billions of passenger pigeons blanketed the skies of North America.
160360	164960	Just a hundred and fourteen years later, they had ceased to exist entirely.
165560	171640	The long-term consequences of modern extinction events can be difficult to define on a global scale.
172040	179160	It is primarily through localized ecosystems which we can truly understand the importance of individual species,
179440	183080	a lesson that was taught to us after the removal of the Yellowstone wolves.
187200	194480	One of the most disastrous ecological follies we ever oversaw came about ironically from one of our first attempts at
194840	196720	conservation. In
196720	201120	1872, the US government established the first national park in Yellowstone, Wyoming.
201840	207160	The preserve was intended to provide federal protection of the area's natural resources,
207160	213200	but at a time when our understanding of ecology was still in its infancy, not all nature was treated equally.
214200	217640	Yellowstone happened to be home to an abundant population of gray wolves.
218320	225480	Due to the threat they posed to humans and livestock, early park managers were quick to label the predators as undesirable.
225920	230400	It wasn't long before the Yellowstone wolves were in the crosshairs of a full-scale
230920	238760	eradication campaign. About 50 years after the park's foundation, the entire wolf population had been functionally erased.
239280	244560	Soon after, what was seen as a solution quickly devolved into an even greater problem.
244600	249500	It turns out the wolves were instrumental at keeping the local elk population in check.
249760	256480	With their key predators now absent, the number of elk skyrocketed, resulting in overgrazing of the park's flora.
257000	263020	Acres of forest were no longer allowed to grow as budding saplings were prematurely eaten. The waning
263280	267360	vegetation could no longer anchor the terrain which began to erode away.
268080	274400	Local beavers couldn't find enough wood to build their dams, altering the constitution of the park's rivers and streams.
274800	279420	In their time, the Yellowstone wolves only represented several hundred organisms.
279420	283600	It must have been easy to dismiss their presence as inconsequential.
283880	290060	What we failed to realize is the role they played in a finely tuned equilibrium that persisted for millennia.
290840	295680	Disrupting even a single component was enough to throw the entire ecosystem out of balance.
295880	301800	By the 1990s, the park had fallen into such disarray that a new population of wolves had to be
302040	304540	reintroduced in an attempt to reverse the damages.
304720	311000	The fiasco would serve as a hard lesson that the natural world is often far more complex than we think.
311880	318400	As others would soon discover, adding animals to an ecosystem can be just as destructive as removing them.
318600	324160	In the 1930s, Australian sugar farmers were looking to control the native cane beetle.
324320	329640	Their solution was to introduce the invasive cane toad from the jungles of South America.
330080	337840	Starting with just over a hundred individuals, the Australian cane toad population would eventually balloon to over 200 million.
338160	345040	They now inhabit nearly a quarter of the continent and are actively disrupting other native wildlife on both sides of the food chain.
345840	353200	Adult cane toads secrete deadly toxins from their skin, meaning that not even predators are safe from their hazardous influence.
353560	360400	With no way to limit the population, the toads will likely persist as a constant nuisance into the foreseeable future.
360960	365860	The worst part is, they never had any effect on the beetles they were brought in to stop.
366360	371560	While invasive animals may contribute their fair share of carnage to local ecosystems,
372060	375320	invasive plants have the potential to be even more destructive.
375760	382220	Such is the case with a notorious kudzu vine, which now blankets entire landscapes in the American Southeast.
383180	388100	Originally introduced in the 1870s as an ornamental, the plant would expand aggressively,
388780	392020	rapidly climbing up and over acres of native woodlands.
392100	397720	The vine is so oppressive that it effectively blocks out the sun for all other competing plants,
397980	400860	slowly smothering and killing everything in its path.
401380	408100	Fans of biodiversity should be relieved that kudzu is still mostly limited to the eastern half of the country.
408540	415940	As for the Wild West, they happen to have their own kind of invasive vegetation, one that is already familiar to many of us.
416260	420980	The tumbleweed has long persisted as an iconic symbol of the Western aesthetic.
421060	426740	What many failed to realize, however, is that this peculiar plant is not supposed to be here.
427420	433500	Originating in 1870 from a shipment of Russian flax seeds, the tumbleweed has run roughshod ever since.
434100	440780	Depending on the terrain, they can travel through hundreds of miles of unimpeded wilderness, spreading their seeds along the way.
441220	445840	This creates a mobile threat that is practically impossible to isolate and remove.
446580	451940	Tumbleweeds are very much here to stay, and while they contribute to some rather comedic frustration,
451980	457460	their consequences become much more grim when combined with another common fixture of the West.
457980	465620	In the event that the arid landscape is set ablaze, these unsuspecting plants are suddenly transformed into flaming projectiles,
466180	469060	capable of torching the surrounding area in record time.
469500	474320	It's safe to say that the tumbleweed was probably never meant to exist in America.
474500	479260	It's hard to believe that less than 200 years ago, they weren't even here at all.
479700	485620	The same could be said about Providence Canyon, which is often thought of as a miniature Grand Canyon,
485620	492060	but rather than being forged by nature, this colorful landform can trace its origins back to man-made error.
492660	499580	Starting in the 19th century, a combination of extensive land clearing and poor drainage led to tremendous erosion in an otherwise normal
499900	501900	plot of farmland in the Georgia countryside.
502700	509100	By the 1900s, the subsidence had spawned a gash in the landscape over a hundred feet deep and a mile across.
509940	513540	Today, the canyon exists as an amusing tourist attraction,
513580	520100	but its history serves as a reminder of how even our most simple mistakes have the power to scar the earth itself.
520740	525320	While we have been fortunate to come out of most environmental blunders somewhat unscathed,
525500	529460	we can only ask Mother Nature to take one for the team so often.
530100	536620	Tragically, there is one ecological decision which has likely contributed to more human suffering than any other.
536620	541180	In 1958, Mao Zedong instituted the Four Pests Campaign,
541260	544940	which sought to eradicate unwanted vermin from communist China.
545340	550780	Among the vermin targeted was the sparrow, blamed for disrupting the country's supply of grain.
551300	556260	Over the next two years, the Chinese drove the local sparrow population to near extinction,
557020	562740	going so far as to bang drums for days until the startled birds dropped dead from exhaustion.
563060	568420	After the near total removal of the species, Mao's plan immediately began to backfire.
568620	574060	It turns out that in addition to grain, the sparrows consumed a substantial amount of insects,
574780	580780	particularly locusts. With a major predator out of the picture, the locust population exploded,
581100	584220	resulting in widespread crop failures and food shortages.
584740	590980	After recognizing the severity of the mistake, government officials scrambled to replenish the population,
591060	593060	but the damage was already done.
593340	599620	The decision to exterminate the sparrow was one of several contributing factors of the Great Chinese Famine,
599980	603660	a disaster which led to the deaths of up to 55 million people.
604140	607900	It turns out the leaders of China had a history of tempting fate.
608420	613300	Emperor Qin Shi Huang was notable for unifying China more than 2,000 years ago.
613940	618260	Wanting his reign to last forever, Qin sought out the secret to immortality.
618820	625420	After searching far and wide for the solution, he believed to have found it through an exotic mineral known as cinnabar.
625580	633740	The Emperor spent years drinking the compound by mixing it with his wine, but rather than granting eternal life, it accomplished quite the opposite.
634620	637700	Emperor Qin died prematurely at the age of 49,
638100	643020	most likely from consuming a lethal amount of the element we now know as mercury.
643780	647860	It took us a long time to reach a basic understanding of the chemical world,
648060	651380	an odyssey which led to plenty of mistakes along the way.
651700	657900	We unknowingly interacted with substances like mercury for centuries before discovering their toxic properties.
658460	662820	Mercury in particular causes severe damage to the kidneys, lungs and brain,
663020	666660	with even short-term exposure capable of inducing insanity.
667020	670980	An equally sinister element can be found just one space away from the surface.
670980	680020	Lead. Its chemical symbol is Pb, short for the Latin word plumbum, a name that carries with it a rather disturbing implication.
681020	685860	Plumbum happens to be the root word of plumbing, which is sadly no coincidence.
686220	694100	Due to the soft and malleable properties of lead, it was commonly manufactured in a pipe that delivered drinking water to the Roman people.
694100	699260	When ingested, nearly all lead is trapped within the human body where it remains indefinitely.
699740	706580	Compared to mercury, lead is far less potent. Its detrimental effects on health take much longer to materialize.
706940	714100	Historically, this has allowed the metal to appear deceptively safe, resulting in far greater exposure to the general population.
714620	720740	Now classified as a neurotoxin, lead contamination eventually causes the deterioration of the metal.
720740	724740	Some historians now attribute lead to the sudden collapse of the Roman Empire,
725020	730180	hypothesizing that the leaching of toxins into the population gradually drove them mad.
