start	end	text
0	3540	You pop this piece of crap in and what do you get?
3540	10300	There is an enormous problem right now with people and corporations in the music industry
10300	17980	that are unlawfully and religiously claiming works that were made fully legally by YouTube
17980	18980	channels.
18980	23940	Where I got a mail from YouTube saying that someone named Ram just claimed my video, which
23940	28280	means that the video is still running but the revenue from advertising now goes into
28280	30960	his pocket instead of my pocket.
30960	37840	They have copyright claimed just over 400 of my total catalogue of videos.
37840	41600	This is two separate claims coming from two different companies.
41600	45440	This is clearly an attempt to censor the video from multiple angles.
45440	46440	It's premeditated.
46440	49640	And it's really nothing but pure censorship.
49640	50640	Hush.
50640	53640	Let me go with you.
53640	59200	Good lord, what is happening in there?
59200	62120	I mean, I know you're a sophisticated guy.
62120	63120	The world is a mess.
63120	64120	The world is as angry as it gets.
64120	75140	When you think this is going to cause a little more anger, the world is an angry place.
75140	79440	If you're searching for evidence that we live in a clown-based society, look no further
79440	81680	than YouTube's copyright system.
81680	85240	Last year I posted an episode of YouTube Geographic where I talked about the origin
85240	88120	and development of YouTube's Content ID system.
88120	92720	I ended the episode with the implication that the copyright system improved over time.
92720	95320	But is that actually true or just wishful thinking?
95320	100720	Well, if you compare now with 2008, the system certainly seems better, as nowadays you're
100720	105380	far less likely to get your channel striked and terminated as part of a copyright claim.
105380	109400	But I'm not sure whether to attribute this to the system improving or copyright claimants
109400	110400	getting smarter.
110400	115680	You see, in the beginning when YouTube was just a sketchy, wild west site, media companies
115680	117680	wanted nothing to do with it.
117680	123220	Many companies like Viacom threatened YouTube with lawsuit after lawsuit for copyright infringement.
123220	128440	When YouTube finally appeased the media companies with Content ID, their only means of controlling
128440	131120	the content was a scorched earth policy.
131120	137280	2008 to 2009 was probably the worst ever time to upload copyrighted content to YouTube.
137280	142020	Any channel at this time uploading montages, remixes, or YouTube poops faced serious risk
142020	144720	of losing everything one day out of the blue.
144720	149560	Minor use of copyrighted music frequently resulted in entire videos getting muted or
149560	153840	worse, replaced with a dreaded YouTube audio swap song.
153840	155840	Stop!
163800	167560	Some time later, copyright punishments got a little less severe.
167560	172340	Around 2010, media companies began blocking content rather than removing it.
172340	176720	Still a major obstacle for YouTubers, but at least it was preferable to the nuclear
176720	177960	option.
177960	182420	Also around this time, Google introduced their AdSense program to YouTube videos, meaning
182460	187980	it was now possible to earn money from content on YouTube, and thus, a new form of copyright
187980	190900	claim became available to rights holders.
190900	192820	Revenue collection.
192820	198240	Eventually, media companies began to realize that monetizing claimed content was a much
198240	202700	better option than just removing it, since they could basically generate free revenue
202700	205420	from virtually no effort on their part.
205420	209140	At first this was a very welcome change, at least in my experience.
209140	213420	I wasn't making money from my YouTube poops anyway, I just wanted them to be seen.
213420	217920	So when copyright claimants stopped blocking my videos and simply ran ads on them, it was
217920	220380	no skin off my back.
220380	224260	Monetization used to be a rare privilege on YouTube reserved only for the top creators
224260	225400	on the site.
225400	230460	Over time, however, the advent of MCNs made monetization much more accessible, so our
230460	234300	standards and expectations of earning YouTube revenue changed.
234300	239380	Unfortunately, the Content ID system didn't change alongside our expectations.
239380	244780	All of a sudden, monetization became an entitlement rather than a dream, and the once benign revenue
244780	248660	collection from media companies became a much more pervasive issue.
248660	253820	The Content ID system only really improved in its ability to detect content and not in
253820	258860	its ability to differentiate remixes and reviews from shameless re-uploads.
258860	262740	At some points, the media conglomerates were the least of our concern.
262740	267900	People like Derek Savage and Matt Haas began abusing the system to silence criticism.
267900	270860	Fair use was totally thrown by the wayside.
270860	275900	Content creators suffered, while abusive claimants faced no consequences whatsoever.
275900	281100	Even now, ten whole years after the introduction of Content ID, YouTube's copyright system
281100	286680	is still very flawed, with many blatant issues remaining unresolved and unaddressed.
286680	291620	But with that being said, this is the system in place, and YouTubers have had to accept
291620	293780	that this is our reality.
293780	299060	If you want to succeed on YouTube, you must go through the Content ID system, and as the
299060	305540	system has become more advanced, so too have the strategies YouTubers use to outsmart it.
305540	309660	Strategies that essentially answer the question, how much copyrighted stuff can I use and still
309660	310940	get paid?
310940	313740	Using copyrighted content is inherently risky.
313740	317940	The more you use, the more likely you are to lose out on revenue for a video.
317940	323260	However, the more you avoid copyrighted material, the more you risk your content becoming bland,
323260	326300	repetitive, and unengaging for new viewers.
326300	330180	It's a delicate balance, and to this day no one knows for sure the best way to approach
330180	335500	this conundrum, a conundrum I like to call the YouTube copyright metagame.
335500	351620	The metagame can essentially be represented by a spectrum of risk, specifically the risk
351620	356420	of tripping the Content ID system through the use of copyrighted content in your video.
356420	359700	How close can you get to the fire without getting burned?
359700	364140	Starting at the very left of the spectrum, you will find the least risky option possible,
364140	373700	Mr. Clean, the type of content where you don't use any copyrighted material because
373700	374980	you don't need it.
374980	378560	This style used to be much more common in the early days of YouTube, where people would
378560	382100	just flip on a webcam and upload a raw video of themselves talking.
382100	386420	Theoretically, this stuff should be safe from even the most slimy copyright abuse.
386420	391360	It's strictly original by design, and using external copyrighted sources is completely
391360	395640	unnecessary to the purpose of the content, making it the least risky type of video on
395640	396640	the site.
396640	400380	But with that being said, there's a reason why you don't really see this type of video
400380	401720	much anymore.
401720	406500	Nowadays, audiences expect a little more than a raw video of you making a sandwich.
406500	410920	So unless you're very talented, in a very specific niche, or have very high production
410920	413840	value, people aren't really going to be rushing to watch you.
413840	419120	Unlike the old days, most modern genres on YouTube do benefit from using multimedia assets
419120	422080	like external music, images, and footage.
422080	425420	So much so that it's almost a requirement for growing your channel.
425420	442720	But despite this, there are some creators who choose not to do it regardless.
442720	447360	The cold turkey is very similar to Mr. Clean, the only difference being that cold turkeys
447360	451780	abstain from using copyrighted material even though their videos could conceivably benefit
451780	452840	from it.
452840	457980	A big example that comes to mind here is Kurzgesagt, a science channel that painstakingly ensures
457980	460980	that all of their assets are original content.
