start	end	text
0	11000	I could comb away my troubles, but all I have is stubble without a hat to wear.
14000	27000	I could use a brush for hours and clog the drains of showers, if I only had some hair.
30000	48000	The National Weather Service has issued a downward spiral warning in your area. Please remain calm. Do not attempt to flee or seek shelter.
48000	50000	Resistance is beautiful.
61000	65000	Oh boy, I have a feeling we're not in Florida anymore.
66000	73000	I am Dr. Spiral, the great and powerful. Welcome to Green Screen City.
74000	78000	Hey, I've seen you before. You look just like that man behind the curtain.
81000	87000	Pay no attention to the man behind the curtain. You were brought here because you wished for your hair back.
88000	94000	Wait, I can tell where this is going. Are you really doing this again? Were the four other times not enough?
94000	103000	Pay no attention to the four other ads I've done for this product. I put a lot of work into this one. Just look at all these zany green screen effects.
104000	109000	Wow, you sold out man. What happened to you? You used to be cool.
110000	118000	You want to know what's cool? Having hair. You should know considering that pathetic little song you were singing just two minutes ago.
119000	124000	Wait, I'm sorry. I was just being bitter because I didn't discover Keeps until it was too late.
125000	132000	Silence! I was prepared to grant you Keeps' 90% effectiveness at reducing and stopping the symptoms of hair loss.
133000	137000	I was prepared to connect you with an online doctor and have your order shipped right to your door.
138000	145000	But now your insolence has made me reconsider. You don't deserve the most affordable FDA approved hair loss product.
145000	149000	Wait, no. Please save my hair. I'll do anything.
150000	156000	Silence! You had your chance to visit Keeps.com for 50% off your first order.
157000	163000	But now you are doomed to lose all the rest of your hair and wind up like my cousin, Dr. Oz.
164000	167000	I command you to leave this place immediately.
168000	171000	Oh, what a world! What a world!
171000	175000	The Wizard of Oz is one of the most iconic films in the history of cinema.
176000	180000	According to the Library of Congress, it's the single most watched film of all time.
181000	186000	Very few artistic works from the 1930s have managed to persist within the public consciousness.
187000	192000	But even now, 82 years later, most of you watching know exactly who these characters are.
193000	196000	Far less known, however, are the people behind these characters.
196000	202000	Principal photography for The Wizard of Oz lasted from October 1938 to March 1939.
203000	210000	During these five months, the stars of the movie were subject to some of the most horrendous conditions in the history of the American film industry.
211000	217000	When it was all said and done, not a single character who set off down the yellow brick road left the land of Oz unscathed.
218000	221000	By the drought even harder than England, North America is in a desperate place.
222000	225000	That's not to say that things were much better back home in Kansas.
226000	230000	The 1930s were a period of major turmoil and hardship for the American public.
231000	234000	The Great Depression ravaged almost every sector of the economy.
235000	238000	While most American industries were struggling, the film industry was booming.
239000	243000	To escape from the dread of everyday life, most Americans sought refuge in the cinema.
244000	248000	Nowadays, about one in ten Americans have gone to the movies in the past week.
248000	254000	In the 30s, however, it was not uncommon for half of all Americans to pay a weekly visit to the theater.
255000	261000	Hollywood was in the midst of its golden age, a period where studios had unparalleled influence over the industry.
262000	270000	During this time, the top eight studios controlled 95% of American cinema and no studio was more illustrious than MGM.
271000	277000	They were the studio widely considered to provide audiences with the biggest stars and the grandest spectacle.
278000	283000	MGM smoked the rest of Hollywood with its unmatched financial and critical success.
284000	292000	Across the 30s, MGM Films accounted for nearly a third of the nominees for Best Picture and nearly three quarters of the total profits generated by all eight major studios.
293000	304000	MGM's dominance over Hollywood was due in large part to the strong leadership of its chief executive, Louis B. Mayer, who in 1937 was the highest paid man in America.
304000	313000	1937 also saw the release of one of the most groundbreaking films ever made and one of the most successful films of the time to not come out of the MGM system.
314000	319000	That year, Walt Disney would release his first animated feature film, Snow White and the Seven Dwarves.
320000	328000	The film was an immersive fantasy unlike anything audiences had ever seen and by the following year had become the highest grossing film to date.
328000	334000	Snow White's record-breaking success inspired MGM to produce a spectacular fantasy of their own.
335000	342000	In 1938, the studio bought out the rights to L. Frank Braum's popular children's novel, The Wonderful Wizard of Oz, and the rest was history.
343000	346000	A history that some members of the cast and crew wished they could forget.
347000	355000	Unlike Snow White, The Wizard of Oz was entirely live action, which presented a series of challenges while attempting to transform fantasy into reality.
355000	363000	One of the most iconic scenes in all of cinema is Dorothy waking up in the land of Oz and the film transitioning from sepia to color.
364000	372000	The official coloring method used to develop the film was Technicolor, which required heavy exposure due to the process of splitting the image into different color channels.
373000	381000	As a result, the Oz set required an exorbitant amount of lighting, so much so that the temperature on stage often surpassed 100 degrees Fahrenheit.
382000	387000	The heat was suffocating and stagehands frequently had to be carried off stage after fainting.
388000	392000	The set lighting was so intense that some actors even claimed to suffer permanent vision damage.
393000	398000	The exhaustion suffered from the oppressive heat was only magnified by the arduous production schedule.
399000	404000	For six days a week, the actors walked into the studio at 4 a.m. and didn't leave until 7 p.m.
404000	410000	A significant part of each actor's day was dedicated to the meticulous preparation and removal of their costumes.
411000	416000	The Scarecrow, Tin Man, and Cowardly Lion are one of the most recognizable trios in fiction.
417000	421000	All three characters were brought to life by the skilled design of makeup artist Jack Don.
422000	427000	While the costumes presented an impeccable external appearance, conditions weren't so pleasant on the inside.
428000	436000	Every morning as the Scarecrow, Ray Bulger would have to spend an hour getting his latex and plastic mask painstakingly glued to his face,
437000	439000	and every evening he would spend an hour getting it removed.
440000	445000	The mask completely covered his facial pores, meaning that he was physically unable to sweat while wearing it.
446000	452000	One could only imagine how it must have felt to wear that thing for 15 hours a day, but Ray Bulger didn't have to imagine.
453000	455000	For 22 weeks, it was his reality.
455000	462000	By the time filming was complete, the repeated applications of the mask left Bulger with permanent grooves around his mouth and chin,
463000	466000	but considering what happened to some of the other actors, he may have gotten off easy.
467000	470000	The Tin Man was played by Buddy Ebsen for about nine days.
471000	477000	That's how long he lasted during filming until he was hospitalized from a severe reaction to the Tin Man's metallic makeup.
478000	485000	Ebsen's silver face paint was made out of aluminum powder, powder that would eventually coat the inside of his lungs, nearly asphyxiating him.
486000	492000	As Ebsen sat bedridden under an oxygen tent in the hospital, the studio could not have given him less sympathy.
493000	498000	Producer Mervyn LeRoy repeatedly phoned the hospital, angrily insisting that Ebsen return to the set.
499000	502000	After two weeks out of action, the studio replaced Ebsen with Jack Haley.
502000	509000	Much like Pete Best getting cut from The Beatles, Buddy Ebsen would end up becoming one of the unluckiest men in show business.
510000	517000	Not only was he unceremoniously fired from what would have been the biggest role of his career, the incident left him with chronic bronchitis.
518000	526000	Jack Haley managed to avoid a catastrophic reaction to the aluminum makeup, but it still gave him a severe eye infection that forced him out of work for days.
526000	532000	The rest of the suit was so stiff that it rendered Haley unable to sit down or lie down during filming.
533000	537000	In order to rest in between takes, he was forced to lean on a reclining board.
538000	544000	But despite all the complications it caused, the Tin Man costume may have still been preferable to that of the Cowardly Lion.
545000	547000	Burt Lahr's lion suit was compared to carrying around a mattress.
547000	552000	The bulk of the costume consisted of a 60-pound lion hide, a real lion hide.
553000	558000	Combined with additional padding, some estimates put the weight of the full costume at 100 pounds.
559000	566000	Burt Lahr would become drenched in sweat after just a few minutes, and he would frequently have to take off the suit between shots to avoid exhaustion.
567000	574000	The prosthetic mask covering his face didn't allow him to fully open his mouth, forcing him to consume all of his on-set meals through a straw.
574000	582000	Halfway through production, Lahr gave in and sacrificed an additional hour each day in the makeup chair so that he could eat solid food at lunch.
583000	588000	As someone who was known by his peers to be a hypochondriac, Burt Lahr was in near-constant agony.
589000	596000	But by far the worst costume-related accident during the whole shoot happened to Margaret Hamilton, better known as the Wicked Witch.
597000	605000	Nowadays there are lots of ways to make someone look green, but in 1938 the only tried-and-true method used by Hollywood makeup artists was copper paint.
606000	616000	Copper, of course, is toxic when ingested by humans. This was known back then, but the studio showed no restraint in applying the copper concoction directly to Hamilton's face and hands.
617000	623000	Towards the end of production, Hamilton realized that the constant application of the witch's makeup had tinted her skin green,
