start	end	text
0	3400	You know, I wasn't even gonna make a video about the Logan Paul controversy,
3400	10000	but YouTube's sheer amount of ape-like incompetence in handling the situation just forced my hand.
10000	14400	Now let me preface this rant by saying that this is not a Logan Paul video.
14400	18100	I don't give a shit about the Paul brothers and their wacky hijinks.
18100	22100	And if you keep giving them the attention they want, then you're part of the problem.
22100	24300	This is a video about YouTube.
24300	28300	Oh, mercy me. YouTube, YouTube, YouTube.
28300	33100	How on earth is the number two website on the internet this incompetent?
33100	34200	Nine days.
34200	39600	It took them nine days to respond to the biggest PR disaster they've had since,
39600	42600	well, basically everything that happened last year.
42600	47900	But holy Christ, you'd think that considering everything that happened last year,
47900	52900	YouTube would learn a thing or two about running a company without causing everyone to hate them.
52900	56600	But no, apparently YouTube has learned absolutely nothing
56600	61700	and could not last one day in 2018 without screwing up yet again.
61700	65900	Everyone knows the story already, but for argument's sake, let's review what happened.
65900	72700	So old foot-face Logan Paul broke YouTube's guidelines by uploading footage of an actual corpse.
72700	75500	But since the Paul brothers are YouTube's golden boys,
75500	81500	YouTube chose not to enforce their rules and actually hand-picked the video for their trending page.
81500	89300	They allow this content on trending while simultaneously demonetizing regular users' content at record proportions.
89300	94600	They allow this content on trending just a month after the concerns of child endangerment
94600	98700	forced YouTube to scramble and try and save their image for advertisers.
98700	106200	YouTube kept this video trending while taking down other users' videos pointing out YouTube's unscrupulous hypocrisy.
106300	112800	YouTube allowed this video to stay online for over two days before Logan Paul himself took it down,
112800	117900	only after receiving the biggest backlash against a single YouTuber I've ever witnessed.
117900	121300	Logan Paul was the number one Twitter trend for about a day straight.
121300	127100	Pretty much every big YouTuber from across the board came out expressing how terrible Logan's video was.
127100	132800	The video was picked up by the biggest news outlets and Logan Paul became a global embarrassment.
132800	137400	And YouTube did or said nothing about it for more than a week.
137400	141400	So just when everyone had moved on to Ugandan Knuckles or whatever,
141400	143400	YouTube finally comes out and says,
143400	146200	Oh, okay, guys, y'all are right.
146200	150500	Logan Paul did a bad thing and now we're gonna put him in timeout.
150500	152400	Nine days after it happened.
152400	156800	Now, I don't know if YouTube receives their news by horseback,
156800	159700	but considering they're a website on the internet,
159700	166300	one could infer that YouTube was aware of this situation for an awfully long time before doing anything about it.
166300	172600	Nine days seems like a pretty delayed reaction to a massive scandal threatening the credibility of your entire site.
172600	178000	So how come YouTube had to spend nine days deciding whether or not to discipline a guy
178000	181800	who everyone immediately agreed is a disgrace to the website?
181800	183800	What on earth took them so long?
183800	185700	Well, I'll tell you what took them so long.
185700	191500	YouTube spent more than a week mulling over whether or not to keep Logan Paul as their poster boy.
191500	196100	It's no secret that ever since PewDiePie's little racism controversy from last year,
196100	200800	YouTube has been grooming Jake and Logan Paul as the next faces of YouTube.
200800	203000	They constantly promote their content.
203000	206500	They give each brother a nice shiny YouTube Red series,
206500	208100	they promote the hell out of that,
208100	211500	and they put the Paul brothers front and center in the YouTube Rewind.
211500	216800	It's so obvious that YouTube is playing favorites with these washed-up Disney Channel stars
216800	218900	and trying to make them the face of their brand.
218900	221000	They ignored all the warning signs.
221000	226800	They ignored all the controversy and evidence that the Paul brothers lacked the stability and the maturity
226800	229300	to represent the entire YouTube community.
229300	234200	Stevie Wonder could have seen that the Paul brothers aren't exactly the most professional candidates
234200	236900	to represent the second biggest site on the web.
236900	239900	As a matter of fact, they're kind of idiots.
239900	244700	But nope, YouTube ignored all of that and went ahead with the Paul brothers world tour.
244700	245900	And what do you know?
245900	249400	They acted like idiots and embarrassed the whole platform.
249400	253900	But the problem for YouTube management was that they had spent the past six months
253900	256200	putting all their eggs in the Paul basket.
256200	259900	And then they go ahead and just fail so spectacularly
259900	265300	that they make YouTube's leadership look like a bunch of hapless morons for even putting them in that position.
265300	267300	I mean, how could they not see this coming?
267300	274600	So the Paul brothers' dumbass hijinks forced YouTube to contemplate backtracking the past six months of their marketing
274600	279100	and put them back to square one in finding their new poster child for the site.
279100	281700	I'm guessing that YouTube didn't want to waste all that effort
281700	286100	so they tried to wait it out and hope that the controversy would just blow over.
286100	292000	But too bad for them, the Logan Paul video turned into one of the biggest internet shitstorms in recent history.
292000	293200	Let's be honest here.
293200	296900	This was an unsalvageable situation after day one.
296900	301100	Yet it took YouTube more than a week to even respond to the issue.
301100	305100	And YouTube's actual response just pissed me off so much
305100	308900	that I honestly would have felt better if they had just continued doing nothing.
308900	311700	At least then they could feign a shred of ignorance
311700	316200	rather than forming the startling implication that they spent over a week
316200	320400	contemplating whether or not they should keep this guy as the face of their site.
320400	325700	But no, YouTube finally responds to the biggest public outrage they've faced in recent history
325700	328300	through a whopping five tweets.
328300	330100	So let's take a look at those.
330100	334700	Many of you have been frustrated with our lack of communication recently.
334700	336100	You're right to be.
336100	339100	You deserve to know what's going on.
339100	340600	Yeah, you're right.
340600	344100	I think frustrated is a bit of an understatement at this point.
344100	345600	But way to go, YouTube.
345600	351900	I'm so glad you're finally amending your lack of communication by releasing five entire tweets.
351900	355300	I guess it's too much to ask for you guys to make an actual press release
