start	end	text
0	4080	Brought to you by Keeps. Stay tuned till the end for more information.
11280	15360	Hey Meme Sauce, Emp here. Why are the Simpsons green?
16240	21280	The green Simpsons effect is a running gag on this channel where I take footage of the Simpsons and
21280	27760	hue shifted upwards approximately 44 degrees, transforming their familiar yellow into a somewhat
27760	34080	alien green. The joke began in a video from February 2016 in which I remixed a clip from
34080	40320	the episode Homer's Enemy. At the time, the Simpsons had just aired their 588th episode.
40320	46640	588 nanometers is the approximate wavelength of yellow light as seen by the human eye.
47520	53040	MDB is the internet's most popular film and television database and the place where people
53040	58720	from all around the world unite to rate everything a 7 out of 10. The Simpsons as a series has managed
58720	64880	to earn an 8.7 and a handful of its very best episodes have reached the fabled 9 category,
64880	71440	but out of nearly 700 total episodes and counting, just one sits definitively above all the rest.
72000	74800	The name of this episode is Homer's Enemy.
76880	82000	The Simpsons is the longest running primetime television series in the US and across three
82000	87520	decades of programming, no other episode is more provocative, polarizing, and profound.
87520	93200	It is the resounding conclusion to one of the greatest runs of any show ever. After this episode,
93200	99680	The Simpsons was never the same and come to think of it, neither were we. I've had to work hard every
99680	104880	day of my life and what do I have to show for it? And what do you have to show for your lifetime of
104960	110960	sloth and ignorance? Stay the hell away from me because from now on we're enemies.
112000	116960	It's impossible to appreciate the significance of Homer's Enemy without first understanding the
116960	123360	series that preceded it. The Simpsons is a show about many things, family, politics, religion,
123360	129600	but most importantly, The Simpsons is a show about America. There's a running gag in the series over
129600	135440	the specific location of The Simpsons' hometown. Springfield is one of the most common place names
135440	141040	in the US. You can find a town called Springfield in more than 30 states. So which of these
141040	146960	Springfields is home to TV's most iconic yellow family? The truth is it doesn't really matter what
146960	151920	part of the country The Simpsons call home. The series has intentionally kept clues about
151920	157760	Springfield's location inconsistent and contradictory. Springfield isn't in America as
157760	163680	much as it is America. The town represents an amalgamation of American culture, attitudes,
163680	169440	and institutions. It's a malleable template for the show to comment on society in the United States.
170000	174160	The true location of The Simpsons' home may forever remain an enigma,
174160	177040	but in a way, all of us live in Springfield.
177040	188560	Two hours away from Springfield, Oregon, a young Matt Groening is developing a passion for cartoons.
189280	195040	In 1972, he leaves his parents, Homer and Marge, to attend the progressive capital of the Pacific
195040	200480	Northwest, Evergreen State College. There, he would embark on the first steps in his journey
200480	205600	towards creating one of the most influential cultural contributions of the 20th century.
205600	209040	But before he could do that, Matt Groening had to enter hell.
