start	end	text
0	6480	You know, the average American probably can't tell you who lives in 1600 Pennsylvania Avenue.
6480	11760	Hello, Mr. Donald Trump. I am here to inform you that I am placing you under citizen's arrest.
11760	12960	What are you, morons?
12960	17760	But what they probably can tell you is who lives in a pineapple under the sea.
17760	22320	Spongebob Squarepants is the most popular cartoon of my generation.
22320	24480	And nothing else really even comes close.
30000	41600	Here's a challenge. Try scrolling through your typical social media feeds
41600	45680	and see how long you can go without seeing anything Spongebob related.
45680	47520	There I am, Gary! There I am!
47520	53200	You may find that it's pretty difficult because Spongebob is absolutely everywhere.
53200	58640	People post Spongebob pictures from Tumblr to 4chan and everywhere in between.
58640	63680	And even more impressively, almost all of the Spongebob related references,
63680	69040	memes, and reaction images you see are based on the first three seasons of the series.
69040	75520	A stretch of about 120 episodes that most people would classify as the golden age of Spongebob.
77680	80960	If you look at Nickelodeon's programming schedule today,
80960	84720	Spongebob Squarepants, a 19 year old cartoon,
84720	88800	still receives more air time than any other show on the network.
88800	93120	To put that in perspective, Futurama came out the same year as Spongebob.
93120	97200	And since then, it ran for four seasons on Fox until it was cancelled.
97200	102400	And then acquired by Cartoon Network where it aired as reruns on Adult Swim for three years.
102400	107200	Then, starting in 2006, the series released four direct-to-DVD movies
107200	111840	until 2010 when Comedy Central aired the series for two more seasons
111840	115200	until it got cancelled for the final time in 2013.
115200	121440	That is until 2014 when Futurama returned to Fox for a one-time crossover episode with The Simpsons.
121440	128320	And since that point, the series has continued to air as reruns on Comedy Central and now sci-fi.
128320	131840	And during that whole journey, over all that time,
131840	136080	Spongebob has been continually broadcast on Nickelodeon.
136080	141040	If you compare Spongebob to other children's cartoons released during the same time,
141040	144000	nothing even comes close to its longevity.
144000	147360	Rocket Power came out the same year as Spongebob on Nickelodeon.
150720	153440	And it aged about as well as Polio.
153440	156880	Even historically good cartoons from around the same time as Spongebob
156880	159680	like Powerpuff Girls, Ed, Edd n Eddy, Jimmy Neutron,
159680	163840	all these cartoons were off the air by 2010, but not Spongebob.
163840	168640	And it should be no surprise why Nickelodeon still airs Spongebob as much as they do.
168640	175680	Since Spongebob premiered in 1999, the show has generated over $13 billion in revenue
175680	177680	from merchandising alone.
177680	179360	And considering Viacom,
182080	187840	Nickelodeon's parent company earns about $13 billion of revenue per year,
187840	196240	you can infer that Spongebob alone has accounted for at least 5% of Viacom's total revenue since 1999.
196240	200400	Keep in mind, that's not just 5% of Nickelodeon's revenue.
200400	206160	That's 5% of the total revenue from every media property Viacom owns.
206160	210800	So you're damn right they're gonna keep airing Spongebob for as long as they're in business.
211360	213840	Spongebob just keeps going.
213840	218160	And for as long as I can remember, Spongebob has always been popular.
218160	221360	Everyone watched Spongebob when I was growing up in elementary school.
221360	226080	And as everyone got older and passed the age when most people grow out of watching cartoons,
226080	228720	Spongebob always seemed to stick around.
228720	231520	You were never too old to make a Spongebob joke.
231520	233920	Even during Spongebob's later seasons,
235440	239840	it never really grew stale for me because I transitioned to watching YouTube poops
239840	241440	of old Spongebob episodes.
241440	243440	Listen Spongebob, fuck you!
243440	250000	The first video in the history of my channel to reach a thousand views was a Spongebob YouTube poop.
250000	254320	You could argue that the first three and a half years of this YouTube channel were built
254320	259440	almost entirely from the popularity of me remixing episodes of Spongebob.
259440	264720	Even today, new Spongebob YouTube poops continue to garner hundreds of thousands of views.
264720	267040	And extending beyond YTP,
267040	271520	Spongebob has become almost synonymous with meme culture on the internet today.
272480	276240	From vines to reaction images to portrayed by Spongebob.
276240	281680	Spongebob is, by far, the most popular cartoon character of this millennium.
281680	287520	He has reached a status on par with the likes of Mickey Mouse, Bugs Bunny, and Homer Simpson.
287520	292640	But by many measures, Spongebob is a more relevant character than any of them.
292640	298000	Characters like Mickey Mouse are superficially popular due to branding and marketing.
298000	303680	Kids today are certainly not watching Mickey Mouse cartoons or sharing Mickey Mouse memes.
303680	308560	And the character has almost completely receded into the role of a corporate mascot.
309280	314480	Principal Skinner, the happiest place on Earth is a registered Disneyland copyright.
314480	315440	No, no!
315440	320160	And it's heading for a great big lawsuit. You made a big mistake, Skinner.
320160	324080	Well, so did you. You got an extreme beret mad.
325440	327680	I spent the next three years in a POW camp.
330560	333600	Characters like Homer Simpson are certainly iconic.
333600	337120	However, they exist more as relics of a bygone era.
337120	340880	Unlike Mickey Mouse, The Simpsons grew organically in popularity
340880	345040	and became one of the most essential cultural elements of the 1990s.
345040	349760	Quality shmality. If I had a TV show, I'd run that sucker into the ground.
349760	355680	But it's 2018 now, and The Simpsons is not exactly the most cutting-edge programming anymore.
355680	361200	Homer's legacy has already been decided, and the character has nothing new to bring to the table.
361200	364560	SpongeBob not only rose to fame organically,
364560	369360	but it continues to grow and evolve within our culture 19 years later.
381520	383760	Now when you think of the new millennium,
384560	390480	you think of an event so gigantic that it changes the course of history.
391600	395200	You think of a dawning of a new era.
396880	399360	Here's to another lousy millennium.
410720	411840	Downward spiral.
412560	417360	The term millennial gets thrown around a lot these days, and I don't really buy it.
417360	421840	I think it's just a slippery blanket term invented by 40-year-old marketing people
421840	424960	to describe young people who know how to use the internet.
424960	429120	We're the first generation to have access to unlimited information.
429120	433840	We don't fall for the same marketing tricks that corporations used on our parents,
433840	438880	and companies can never figure out what we like because we don't know what we like.
438880	443600	Actually, that's not exactly true. We know one thing we like, and that's SpongeBob.
443600	447200	SpongeBob has somehow managed to become the most quintessential
447200	449680	entertainment property among young people.
449680	455680	This one show was able to crack the code of the most complex generation in history.
455680	458400	In the entertainment industry, companies have invested
458400	461680	millions in trying to come up with a character like SpongeBob.
