start	end	text
0	2300	It's April 21st, 2019.
2300	7600	Competitors and spectators have gathered in Laurel, Maryland for the Pound 2019 tournament.
7600	13300	Today we visit the meeting of two players competing under the aliases of Mango and Hungrybox.
13300	20100	They're playing Super Smash Brothers Melee, a video game released in 2001 for the Nintendo GameCube.
20100	25200	Despite the age of the game, this event has managed to attract a live audience of a few hundred spectators
25200	29100	and upwards of 70,000 viewers tuning in from around the world.
29100	31400	Today is Championship Sunday.
31400	37900	After battling past the rest of the competition, the top 12 players are competing for the title of this year's Pound Champion.
37900	64400	Since this is a double elimination tournament, Hungrybox is kicked down to the losers bracket where he now has to face S2J.
64500	68200	The loser of this set will be out of the tournament in fifth place.
81900	86200	Hungrybox wins and advances to face Zane in the loser semi-finals.
86200	90900	Quickly, Hungrybox finds himself in deep trouble about to fall to an 0-2 deficit.
90900	94200	With his back against the wall, he rebounds to win Game 2.
94200	98200	He narrowly wins the next two games to eliminate Zane at fourth.
121700	125700	Once again, Hungrybox wins, eliminating Plup at third.
125700	131200	After defeating everyone in the losers bracket, Hungrybox has only one competitor left to face.
131200	134700	Mango, the player who sent him down there in the first place.
150900	153900	Mango, the player who sent him down there in the first place.
180900	197900	In their second encounter of the tournament, Hungrybox defeats Mango three games to one to reset the bracket.
197900	204900	Since it's a double elimination tournament, Hungrybox must defeat Mango for a second time to win the tournament.
210900	213900	Mango, the player who sent him down there in the first place.
240900	254900	And there it is! Hungrybox is your pound 2019 Smash Bros. Melee champion.
254900	259900	After an incredible comeback victory, Hungrybox begins to celebrate in front of the stunned crowd.
259900	265900	But unfortunately for him, the celebration he earned is about to be cut very, very short.
265900	269900	Hungrybox is the champion once again.
269900	288900	Just ten seconds after his victory, a disgruntled spectator throws a raw crab at Hungrybox, narrowly missing his head.
288900	295900	In a matter of seconds, Hungrybox is transformed from the most joyful person in the arena to the most miserable.
295900	299900	Most people don't care that much about video games, but some people do.
299900	303900	Out of these people, most don't care about competitive gaming, but some do.
303900	311900	And for all the esports out there, most spectators don't care about watching a 19-year-old game, but still, some do.
311900	319900	And out of those few people, surely no one cares enough about the outcome of a match to throw a raw crab at the winner.
319900	323900	But on this day in Laurel, Maryland, someone did.
