start	end	text
0	1840	How's your collection coming along?
1840	3640	Well, I don't mean to brag, but it's pretty-
3640	4520	Yay.
4520	7760	On September 30th, 2010, Valve released an update
7760	11720	to their flagship online multiplayer shooter Team Fortress 2.
11720	13520	Nobody realized it at the time,
13520	15800	but this update would go on to be so influential
15800	18400	that it arguably transformed the core business model
18400	21200	of the gaming industry for the following decade.
21200	23680	TF2's Manconomy update introduced
23680	26000	what was then a radical concept.
26000	28120	Players can now purchase cosmetic items
28160	30320	through in-game microtransactions,
30320	33080	but more importantly, they can now trade those items
33080	34640	among themselves.
34640	37760	Almost overnight, the update ignited a robust free market
37760	39640	economy of virtual items,
39640	43320	and no items were more valuable than unusual hats.
43320	44800	Valve would go on to make a fortune
44800	47240	off of TF2's new trading bonanza,
47240	49200	an outcome that would ultimately convince them
49200	52320	to make the game free-to-play less than a year afterwards.
52320	54400	And despite the variety of items for sale
54400	57240	on TF2's storefront, the bulk of Valve's revenue
57280	59840	would come instead from what you couldn't purchase.
59840	61560	Yo, yo, yo, break it down!
61560	63840	Break it down for those crepes!
63840	65200	In the very same update,
65200	68560	Valve introduced the gaming industry's original loot crate,
68560	71280	an unlockable mystery box with a 1% chance
71280	73560	of granting the player an unusual hat,
73560	75600	items so comically ostentatious
75600	77320	that they would instantly catapult you
77320	80480	to the center of attention on any server you joined.
80480	84240	Unusials were desired by all, but obtainable by few.
84240	85960	The only way to get your hands on one
85960	88080	was to spend hundreds of dollars unboxing
88080	89160	or to trade with someone
89160	91720	who spent hundreds of dollars unboxing.
91720	95000	Naturally, this meant that unusual hats didn't come cheap.
95000	97040	The most coveted hats and particle effects
97040	98840	started to sell for thousands,
98840	101160	and eventually, one item ascended
101160	103640	to the holy grail of TF2 trading,
103640	105840	the Burning Flames Team Captain,
105840	110040	the only TF2 item to consistently sell for five figures.
110040	111720	Ever since this hat was added,
111720	112840	it has reigned supreme
112840	115920	as the single most desirable item in the game.
115920	119520	Out of the hundreds of millions of items in TF2's economy,
119520	123200	only 18 Burning Flames Team Captains exist.
123200	125640	If you happen to be in the market of obtaining one,
125640	128120	it's gonna cost you a pretty penny.
128120	131120	Most of you watching are probably recoiling in disgust
131120	132920	at how much someone would be willing to pay
132920	134040	for a virtual item
134040	137300	that you didn't even know existed 20 seconds ago.
137300	140480	Why would somebody spend $16,000
140480	142800	on a bunch of worthless pixels?
142800	146080	Well, conceptually, unusual hats are nothing new.
146080	147480	It turns out that plenty of people
147480	150280	are willing to fork over a lot more than 16 grand
150280	153280	on items that the rest of us would consider worthless.
160280	163560	A few years after bringing the joy of crates to TF2,
163560	166200	Valve decided to double down on this business model
166200	168680	in their newest shooter, CSGO.
168680	172160	This game took TF2's economy and put it on steroids.
172200	175240	Compared to unusual hats' two degrees of variation,
175240	177920	CSGO weapon skins may differ in quality,
177920	180040	wear, kill trackers, and stickers,
180040	183120	which greatly influence the item's overall value.
183120	185120	Ideal versions of all these variables
185120	187480	can drive the prices of top CSGO items
187480	189220	into the six-figure mark.
189220	191620	The most expensive item ever sold in the game
191620	194420	incorporates an additional variable of rarity.
194420	196840	The AK-47's case-hardened skin
196840	199400	is far from the most expensive on average.
199400	203120	However, pattern number 661 is prized by collectors
203120	205040	for its uniform blue top.
205040	207660	In addition to this one-in-a-thousand attribute,
207660	210720	an AK-47 with minimal wear, a stat tracker,
210720	212880	and four holographic Titan stickers
212880	216520	sold for $150,000 earlier this year.
216520	218880	But the most valuable item in all of CSGO
218880	221980	is speculated to be another case-hardened weapon.
221980	225400	The factory-new pattern 387 Blue Gem Karambit
225400	228560	was last sold to a collector in 2016.
228600	232500	Out of the nearly one billion items ever unboxed in CSGO,
232500	236100	the factory-new Blue Gem is the only one of its kind.
236100	238360	Today, some traders appraise its value
238360	240600	at three-quarters of a million dollars.
242080	244660	If you're not interested in dropping the value of a house
244660	247080	on a bunch of pixels, then perhaps you'd rather
247080	249880	put that money towards a three-inch piece of paper.
249880	251960	Before the age of virtual cosmetics,
251960	254280	trading cards were the epitome of intrinsically
254280	257800	worthless items that could potentially cost a fortune.
257840	259920	Last year famously saw an explosion
259920	262040	in the Pokemon trading card market.
262040	264280	In December, a first edition shadowless
264280	269240	holographic Charizard card sold for a record $369,000,
269240	272980	one of only 122 copies in pristine condition.
272980	274920	That record was broken three months later
274920	278000	in February of this year when a Pikachu Illustrator card
278000	280520	sold for $375,000.
280520	282960	The promotional card was only awarded to winners
282960	286280	of a 1998 Japanese art competition.
286280	290420	Of the estimated 24 billion Pokemon cards in circulation,
290420	294320	only about 40 Pikachu Illustrators are known to exist.
294320	297500	Magic the Gathering predates the Pokemon trading card game
297500	300400	by three years, giving collectors a bit more time
300400	303740	to salivate over the game's most exclusive finds.
303740	306760	Magic's holy grail is the infamous Black Lotus,
306760	309960	the single rarest card of the game's original release.
309960	312260	Earlier this year, a signed Black Lotus
312260	314320	from the game's Alpha set sold at auction
314320	317000	for more than $500,000.
317000	319300	While the market for Magic and Pokemon cards
319300	321660	have had around 25 years to develop,
321660	324160	sports trading cards have spent the past century
324160	325940	rising in value.
325940	329220	In 1909, the American Tobacco Company was ready
329220	332080	to release their T206 baseball card series,
332080	335000	which they distributed in packs of cigarettes.
335000	338400	However, prior to the sale, Pittsburgh Pirates shortstop
338400	341040	Onus Wagner revoked the rights to his likeness,
341040	343800	forcing the tobacco company to remove his cards
343800	345200	from circulation.
345200	348880	Due to the sudden retraction, as few as 50 Wagner cards
348880	351040	were ever distributed to the public.
351040	354760	By the 1930s, the T206 Wagner had already become
354760	357520	the most expensive baseball card in the world,
357520	362240	selling in 1933 for the present-day equivalent of $1,000.
362240	366040	In 1991, one of three remaining mint-conditioned Wagners
366040	368400	was acquired by hockey-grade Wayne Gretzky
368400	370640	for nearly half a million dollars.
370680	375440	In 2016, another Min Wagner was sold for 3.1 million,
375440	378460	a record that stood until just last year.
378460	380640	Currently, the most expensive baseball card
380640	383720	is a PSA Grade 9 Mickey Mantle rookie card,
383720	387180	which sold for 5.2 million this past January.
387180	389480	However, after nearly a century of dominance
389480	391240	in the card-collecting market,
391240	393360	baseball cards look to soon be surpassed
393360	395600	by basketball cards in value.
395600	398880	In April of this year, a one of 23 autographed
398880	403280	LeBron James rookie card tied for the record of 5.2 million.
403280	406040	Dude, you are like a fry cook legend.
406040	407540	Will you sign my spatula?
408600	410980	Autographs provide collectors with a much more
410980	413860	personal touch to their prized possessions.
413860	415720	The value of autographs vary wildly
415720	417280	depending on its signee,
417280	420040	but the most valuable ones typically belong to figures
420040	422660	who are no longer capable of producing them.
422660	425840	In 2017, an autographed copy of Albert Einstein's
425840	430080	iconic tongue photo was sold for $125,000.
430080	433240	In 2018, a baseball featuring 11 signatures
433240	435760	from the sport's original Hall of Fame inductees
435760	438140	sold for more than $600,000.
438140	441560	Some autographs can derive their value from the macabre.
441560	444600	On December 8, 1980, Mark David Chapman
444600	446600	would receive an autograph from John Lennon
446600	449000	moments before assassinating him.
449000	451520	30 years later, that autographed album
451520	454500	would sell for $850,000.
454540	457180	However, by far the most expensive autographs
457180	458980	are forged out of time.
458980	462020	The signature of 16th century poet William Shakespeare
462020	465500	has only been identified on six surviving documents.
465500	468060	Today, it's estimated that a Shakespeare autograph
468060	470740	would sell for up to $5 million.
470740	472800	The most expensive autograph ever sold
472800	474740	belongs to George Washington,
474740	476860	whose personal copy of the Constitution
476860	480340	was purchased for nearly 10 million in 2012.
480340	482880	Autographs are a form of memorabilia.
482880	486040	Objects and souvenirs prized for their close association
486040	488340	with illustrious people and events.
488340	490280	Sneakers have been one of the most popular
490280	492020	forms of memorabilia to collect
492020	493560	ever since the meteoric success
493560	496440	of Nike's Air Jordan brand in the 80s.
496440	498840	In 2020, an original pair of Jordans
498840	503040	worn by Michael Jordan himself sold for $560,000,
503040	506120	becoming the most expensive sneakers in the world.
506120	509020	Of course, the decades-long supremacy of the Air Jordans
509020	512540	have recently been challenged by Kanye West's Yeezy brand,
512540	515700	and in April of this year, an original pair of Yeezys
515700	520420	worn by Kanye at the 2008 Grammy's sold for $1.8 million.
520420	523220	Memorabilia from the most prestigious athletes and artists
523220	524980	can fetch a hefty price,
524980	527460	but by far the most expensive memorabilia
527460	529980	belongs to the whimsical world of cinema.
