start	end	text
0	5700	Earlier this summer, I picked up NASCAR Thunder 2004 from a local flea market for seven dollars.
5860	11760	This game is regarded by NASCAR fans as the best NASCAR console release of all time.
11880	15800	A game that has not been topped more than 17 years after its release.
16120	22480	When I played it, I was astounded at the amount of content and gameplay variety available in a 2003 game.
23240	25480	Naturally, as we evaluate older media,
25480	30200	you have to excuse a certain level of crappiness due to the technical limitations of the era.
30520	37080	For example, a movie from 1982 is going to have significantly worse special effects than a movie in the present day,
37240	41160	so it's not really fair to judge older works along modern standards.
41400	48040	But just as we can forgive old media for their limitations, should we punish new media for a lack of progression?
49160	53360	Imagine taking a time machine back to 2003 and telling NASCAR fans,
53520	59280	this game right here, this is as good as it's gonna get. It's all downhill from here.
59440	64520	They would have thought that an asteroid must have wiped out the human civilization in 2004,
64760	69520	because how could it be possible that despite the exponential growth in processing power,
69520	72880	and with the video game industry earning record revenue,
73000	78200	not a single company has managed to make a better game nearly two decades into the future.
78200	82960	I feel like NASCAR Thunder represents a disturbing trend in video games as a whole.
83440	87440	In general, the last decade of games has been profoundly disappointing.
87760	91200	I want to clarify here that this is not my individual opinion,
91440	95840	rather the general consensus that I've perceived from the gaming community at large.
96400	99600	I feel like everyone entered the 2010s with such optimism.
100080	107440	So many of us were eagerly anticipating how the next-gen technology was going to completely transform the way we experienced our favorite games.
107440	113280	Half-Life, Fallout, Halo, Call of Duty, Mass Effect, World of Warcraft, Madden.
113280	117120	These franchises brought us some of the greatest games of the 2000s.
117280	121680	Little did we know just how hard all of these beloved series would fall off a cliff.
121680	127680	I polled my audience on Twitter what they would prefer if they could only play games from one of these decades,
128320	132160	and remarkably, 45% of respondents chose the 2000s.
132720	140400	This means that nearly half of all people would be willing to give up the entire 8th generation of consoles and a significant portion of the 7th gen.
140880	147360	They would be willing to give up better graphics, better performance, most online multiplayer games, most of the games on Steam,
147680	154000	most games on the App Store or Google Play, the most popular indie games, seamless DLC and patches,
154320	161200	cloud storage, fully integrated competitive lobbying, VR, Xbox Kinect, Raid Shadow Legends.
161680	166080	They would be willing to give up all of this to go play Wii Sports and Club Penguin.
166400	172480	Despite all of our next-gen technology, many people feel that the games today simply aren't as good.
172960	176160	So with that being said, what happened to video games?
176800	181600	The first and most obvious reason for this is the deterioration of game design.
182080	186400	15 years ago, you'd go to the store, purchase the game and own the finished product.
186960	192560	Then, somewhere along the way, companies figured out how to make players purchase the same game multiple times.
193340	202080	Nowadays, game studios have become all too comfortable rushing out broken, unfinished products and just patching in the rest of the content in the years after release.
202640	209920	Couple that with charging for DLC, microtransactions and pay-to-win mechanics, and consumers end up spending more for less.
210560	214400	This issue has been discussed to death here on YouTube because it's inherently
214780	220800	unsatisfying to pay full price for a game and not have it resemble a finished product until long after you've stopped caring.
221120	227300	This is a trend that's undoubtedly emerged over the past decade because if you released a broken game in the 2000s,
227920	235120	people just wouldn't buy it. But even worse than releasing broken games is releasing broken games with no intent on fixing them.
235600	239140	This has been a disastrous consequence of licensing at exclusivity.
239920	244400	And no other developer symbolizes this problem more than EA Sports.
245120	252900	Some of you today may find this hard to believe, but there was once a time when EA made great sports games like NASCAR Thunder 2004.
253520	259680	However, in just five years, EA went from releasing the best NASCAR console game of all time to one of the most
259900	268100	universally hated games in the genre. What happened? Well, starting in 2003, EA bought out the exclusive rights to the NASCAR license.
268420	274900	Prior to that, you had the NASCAR Heat and NASCAR Racing franchises all producing quality games alongside EA.
275060	281060	The competition forced these developers to release great products. After EA bought out the license,
281060	287460	they no longer had any incentive to outdo their competition, and the series slowly but surely deteriorated.
