start	end	text
0	3700	You know, being a big YouTuber is a lot like being the captain of a big ship.
3700	8600	You're in charge of this massive machine with a ton of different parts that you don't fully understand,
8600	12500	and thousands of people depend on you to steer that machine in the right direction.
12500	18700	Every sailor knows the tragedy of the Titanic, the unsinkable vessel, the ship that was too big to fail.
18700	22700	It's a story that's been told dozens of times and it always ends the same way,
22700	25800	with the Titanic doomed to a watery grave.
25800	29100	And just as sailors should beware of the Titanic's fate,
29100	32600	so too should YouTubers beware of Leafy's fate.
32600	36500	Did you ever hear about the tragedy of Darth Leafy the Young?
36500	40700	When you look at Leafy's channel today, what you see is basically a sinking ship.
40700	43900	His channel is bleeding subscribers almost every day.
43900	47900	Like a ship taking on water, it has become completely unsalvageable.
47900	50100	There's no way to stop the bleeding.
50100	53200	The only thing left to do is watch it sink.
53200	55200	Looking at the ruins of Leafy's channel today,
55200	59700	it's hard to believe that this was once one of the most powerful empires in YouTube history.
59700	61300	So what on earth happened?
61300	65600	What caused Leafy's expedition to sail so desperately off course?
65600	68600	Why did all of his fans suddenly abandon ship?
68600	70400	Everyone thinks they know the whole story.
70400	73900	And if you ask any old YouTuber, they'll tell you the same old tale.
73900	80200	That the Content Cop, I dubs himself, heroically slayed the beast that was LeafyIsHere.
80200	81900	And that was the end of it.
81900	85000	The Content Cop may have taken all the glory for the kill,
85000	87100	but he won't tell you the whole story.
87100	88500	That's where I come in.
88500	93600	This is the real story about the rise and fall of Leafy's empire.
115000	120500	LeafyIsHere
120500	125500	LeafyIsHere opened his YouTube channel on October 7th, 2011.
125500	131000	But if you look on his channel today, his oldest videos only date back to November 2013.
131000	135000	So did Leafy just wait two years to start uploading content?
135000	139800	No, it turns out that Leafy spent 2012 doing what every other person on YouTube was doing.
139800	142100	Making Minecraft videos.
142100	143000	That's right.
143000	148800	One of the most notorious YouTubers of all time started off as just another Minecraft let's player.
148800	154000	It's really strange and ironic looking at Leafy's channel with less than 4,000 subscribers.
154000	156300	Knowing the behemoth that it would eventually become.
156300	161700	It's easy to look at a giant YouTube channel and call them overrated while discrediting all of their success.
161700	165200	But it's important to remember that every channel has to start from somewhere.
165200	169100	And most channels have to spend years working their way up from the very bottom.
169100	170600	Including Leafy.
170600	174700	Sometimes when waiting for their channels to grow, YouTubers get impatient.
174700	178600	You look at your sub count and you start to see it as a score in a virtual game.
178600	182300	That big number at the top of your channel just looks so impressive.
182300	184600	That number is power.
184600	187300	That number is influence.
187300	189800	And soon, you begin to get desperate.
189800	195600	Trying everything you can to attract a new audience and grow that number.
195600	200500	Because if you want to make it big on YouTube, you gotta have a lot of subscribers.
200500	203700	And you think you can control how much that number grows.
