start	end	text
0	8080	It's morning again in America. Today, more men and women will go to work than ever before
8080	15400	in our country's history. With interest rates at about half the record highs of 1980, nearly
15400	23200	2,000 families today will buy a new home.
23200	27800	Yep, that's us. You're probably wondering how we ended up in this situation. How did
27800	33120	he do it? How did Donald Trump win the presidential election? It's been one whole year since he
33120	37440	did it, and it still doesn't even feel real. I mean, you're telling me the guy who shaved
37440	41480	Vince McMahon's head and got stunnered by Stone Cold Steve Austin at WrestleMania just
41480	46560	a decade ago is now the elected leader of the most powerful nation on Earth? Now, there
46560	51440	are lots of theories out there trying to explain how Trump won. Theories about Russians, collusion,
51440	57780	neo-fascism, populism, Democratic Party incompetence, exploitation of an antiquated electoral system.
57780	61720	But I'm not going to talk about any of that. Now, before I get into the video, I've got
61720	67040	to give you guys full disclosure. This is not a political video. This is simply a video
67040	71720	analyzing and discussing one man's rise to political power. I understand that the man
71720	76640	I'm discussing is perhaps the most controversial figure of the 21st century so far, but I don't
76640	80360	really give a shit. So you can go ahead and scorch that comment section all you want about
80360	84840	political arguments. You'll just be wasting your time, because this is not a video about
84840	91840	politics. This is a video about memes. This is a video about MEME THEORY.
104480	108500	So at this point a lot of you are probably expecting a video discussing how meme magic,
108500	113400	the cult of Keck, 4chan, and the formation of the alt-right caused Trump to become president.
113400	117240	Now that's not what this video is about either. I really hate to say it, but Pepe didn't cause
117240	121760	Trump to win the election. 4chan didn't cause Trump to win the election. I know it makes
121760	125960	a really fun narrative to pretend that's what happened, but it's just too far-fetched. The
125960	131080	reality is that 4chan is not single-handedly powerful enough to swing an election. Poll
131080	135880	is the driving force behind 4chan's political aura. The board averaged a population of around
135880	141240	130,000 users in the months preceding the election. Now assuming all of those users
141240	145720	are of voting age, and all of those users voted for Trump, which are two pretty lofty
145720	151640	assumptions, that's 130,000 votes on Trump's side. So how do you account for the other
151640	156680	62 and a half million? I mean obviously it's absurd to think that spamming pictures of
156680	161220	frogs can impact a presidential election. Memes are just silly pictures on the internet
161220	165920	after all, and there's no way that something as insignificant as memes can have that much
165920	169200	influence.
170200	172200	Or can they?
181200	184800	You see, when most people think about memes, they think of only just that, silly pictures
184800	190280	on the internet. That's not exactly true. The definition of meme extends much further
190280	195080	than what most people think. The word meme was first coined by Richard Dawkins as a combination
195080	199400	of the English word gene and the Greek word mimea. Essentially a meme is just an element
199400	203480	of human culture that gets reproduced by people sharing it. It's a misconception that memes
203480	207880	have to come from the internet, or that they have to be image templates. Memes can be anything
207880	212760	and they can come from anywhere. Memes can be words, spoken or printed. They can be events,
