start	end	text
0	8320	YouTube provides tools for rights holders to control the use of their content.
8320	12200	The happiest place on earth is a registered Disneyland copyright.
12200	14280	Now it's Spyro.
14280	16520	And it's heading for a great big lawsuit.
16520	18560	That's how the law works.
18560	20640	Enough is enough!
20640	24160	That's how the law works.
24160	25920	That's how the law works.
25920	27720	Oh, you stupid son of a...
27720	29680	The world is a mess.
29680	41400	You want to know how I got these scars?
41400	46040	You know, at first I thought YouTube's copyright system was a tragedy.
46040	51200	And now I realize it's a comedy.
51200	55840	I mean, in what other system can you follow all the rules and still get punished just
55840	58560	the same as the most treacherous criminals?
58560	59840	There's no order.
59840	62440	None of the rules mean anything.
62440	66940	It's all just complete and utter chaos.
66940	73600	It seems that the only thing more laughably cruel than YouTube's copyright system is society
73600	74600	itself.
74600	75600	That's it!
75600	79880	You people have stood in my way long enough!
79880	82160	I'm going to clown college!
82160	85880	Is it just me or is it getting a little corporate out there?
85880	91120	Everywhere you go on this website, someone's trying to sell you something.
91120	92120	Wait, who said that?
92120	98000	Well, anyway, lately it seems that everyone on YouTube is not doing stuff to have fun
98000	101200	and just doing it to make a lot of money.
101200	105400	It seems like you can't go anywhere anymore without seeing some forced ad that no one
105400	106400	cares about.
106400	108800	And you guys should know because you're watching one right now.
108800	110800	Is this a joke to you?
110800	111800	Yes!
111800	114680	This video is brought to you by the Ridge Family of Products.
114680	119400	The Ridge Wallet's sleek, minimalist design is perfect for me after copyright claimants
119400	120960	stole all of my ad revenue.
120960	123200	The day of reckoning will come.
123200	124200	Stay tuned.
124200	126920	Come on, just try and take the revenue from this ad.
126920	128560	This whole plant is insane!
128560	130080	Come on, come a little closer.
130080	131080	See what happens.
131080	133360	I've been waiting for you, Patrick!
133360	138320	Oh, sorry, YouTube, if I'm cutting into your family-friendly image.
138320	140840	Looks like things just got a little too edgy.
140840	145560	I didn't want to be non-advertiser-friendly on this literal advertisement.
145560	149480	Use code employment for 10% off your purchase.
149480	150480	Sure, go ahead.
150480	152560	You can take more of my money, too.
152560	156800	As a matter of fact, why don't you take what's inside the Ridge Wallet?
156800	161260	It's something really special that I saved just for you.
161260	163040	It's a downward spiral.
163040	168960	Downward spiral, downward spiral, downward spiral, downward spiral, downward spiral.
168960	172320	I turn myself into the physical manifestation of society, Morty.
172320	174320	I'm Joker Rick!
174320	176200	Enough from the clown.
176200	177200	Oh, what's the matter?
177200	181960	Aren't you all excited to hear yet another Emperor Lemon rant about YouTube?
181960	183720	Isn't that why most of you are here?
183720	185540	To listen to me complain?
185540	190080	You see, I can scrub off this makeup until I'm ripping the flesh from my skull, but it
190080	193600	won't make me feel like any less of a clown.
193600	196460	Taking off the makeup isn't treating the problem.
196460	199260	It's treating a symptom of the problem.
199260	203620	You'll never really fix anything until you diagnose the root cause.
203620	213780	YouTube's copyright system is a joke, but who's really laughing?
213780	218140	I'll admit that, throughout this series, my bias has been pretty obvious.
218140	223300	I'm not exactly the biggest fan of copyright law because, frankly, I don't respect it.
223300	228540	I fancy myself a bit of a copyright radical, an attitude forged from years of making YouTube
228540	232780	poops where you learn to treat every piece of media like just another pigment in your
232780	233780	artistic palette.
233780	238600	I figure as long as you're not directly re-uploading the content for free, then what difference
238600	242540	does it make when you use five seconds of a movie scene for a joke?
242540	245880	And that's not to say that copyright law is totally worthless.
245880	250660	There are certainly valid reasons for establishing copyright protection on some types of content.
253740	257700	So when I first released what is now known as the Knife Game song, it gained a lot of
257700	262300	internet attention and became a popular trend where many people would record versions of
262300	264860	themselves singing my original song.
264860	268740	And that was all fine and well, except for the fact that the song was quickly spiraling
268740	270260	out of my control.
270260	275260	Websites like Gawker and Huffington Post were attributing the song's creation to a 16-year-old
275260	279180	Norwegian girl, because it probably made for a better story.
279180	283460	People were using the song freely on TV shows, and basically it was looking like the Knife
283460	286940	Game song was just going to become absorbed into the internet.
286940	291900	The problem was, I was actually trying to sell the song on places like iTunes, so it
291900	296380	became necessary for me to go through the process of copywriting the song, to solidify
296380	299300	my ownership before it was too late.
299300	304420	So now, if shows like Ridiculousness want to use my song in one of their segments, which
304420	308500	they have, they have to contact me to negotiate a price.
308500	313100	Whereas if I'd never gotten official ownership of the song, anyone could profit off it without
313100	316500	me even being recognized as having written it.
316500	321820	Theoretically, copyright should function similarly to the patent system by protecting small creators
321820	324380	from getting run over by the corporate machine.
324380	329040	If you invent a new groundbreaking device, something's got to stop some big company from
329040	333700	just stealing your idea, mass producing it, and reaping all the benefits from your hard
333700	334700	work.
334700	339180	Conversely, when a corporation releases a new product, they get impacted by a much smaller
339180	344260	extent from some dude selling a bootleg version at a flea market.
344260	348660	Corporations can use their immense resources to continue making money regardless of patent
348660	349660	protection.
349660	355020	Ideally, copyright should function in a similar way to patents by protecting small artists,
355020	359300	but as the laws are currently administered, the opposite is true.
359300	364660	Copyright regulation overwhelmingly favors corporations over individuals by an enormous
364660	365660	margin.
365660	371520	Initially, US copyright law granted a 28-year protection period, comparable to the 20 years
371520	373380	granted to patents.
373380	378140	Intellectual property rights were kept relatively short for a reason, to provide artists and
378140	382460	inventors with enough time to effectively market their ideas, but not too much time
382460	385180	for them to complacently rest on their laurels.
385180	390460	A timely expiration is designed to incentivize artists and inventors to continue innovating
390460	393340	and contributing to the welfare of society.
