start	end	text
0	12000	Legend has it that the Muscogee Indians used to race horses at Dry Valley in what is now
12000	14040	Northern Alabama.
14040	18440	The Natives referred to the region as Tallatige, or border town.
18440	23360	Eventually, as American colonists began to settle the surrounding lands, the border of
23360	27340	the Native American territory gradually began to shrink.
27340	34020	By 1813, Tallatige had become a battleground as the Muscogee erupted in civil war.
34020	38860	The Tallatige Natives remained loyal to the Americans and helped General Andrew Jackson
38860	43460	defeat the Red Sticks, an opposing faction who were fighting to preserve the sovereignty
43460	45660	of the Indian Territory.
45660	51680	In 1830, President Andrew Jackson would repay the favor by ordering the removal of all indigenous
51680	54460	tribes from the Southern United States.
54460	59600	Disgraced by their compatriots and betrayed by their American allies, the Tallatige Indians
59600	63560	abandoned their ancestral lands, never to return.
63560	68980	According to legend, as the tribe gazed over Dry Valley for the final time, the shaman
68980	77940	cursed the land and all of its future intruders to be struck with misfortune.
77940	82800	A hundred thirty years later, the president of NASCAR is looking for a new site to construct
82800	85500	his most ambitious racetrack yet.
85500	89860	After failing to secure a venue in Raleigh or Greenville, Bill France set his sights
89860	92760	on a secluded valley in northern Alabama.
92760	98460	The town of Talladega was chosen as the location of NASCAR's biggest super speedway, where,
98460	103580	rather than horses, men would race two-ton hunks of metal at triple-digit speeds.
103580	109020	Bill France probably never knew about the curse, hardly anyone did, but soon enough,
109020	113160	in one way or another, all of NASCAR would learn to fear Talladega.
139020	145540	The inaugural running of a NASCAR race can be something truly special.
145540	151500	The first Daytona 500 in 1959 immediately cemented the race as NASCAR's most prestigious
151500	152500	event.
152500	157900	NASCAR's first race at Indianapolis in 1994 was such a spectacle that it attracted more
157900	161260	entrants than any other event in the history of the sport.
161260	165820	Talladega's inaugural race was also a spectacle, but not for the right reasons.
165820	170620	Hey, I'm Slabshoes and this is an abridged version of my video on what is widely considered
170620	176780	to be the worst NASCAR race in history, which was the very first race ever held at Talladega.
176780	180640	If you want all the nitty gritty details, the link to the full video is in the description.
180640	185400	To say that Talladega's very first event was controversial would be a massive understatement.
185400	189780	It was unlike any other race ever held in NASCAR history and for all the wrong reasons.
189780	193780	First, the track was completed dangerously close to opening weekend by design.
193780	196940	Bill France had gone into serious debt trying to build this place and he needs his money
196940	198820	back as soon as possible.
198820	203700	In August, just a month before race day, Talladega holds its very first tests, and despite topping
203700	208240	out at 195 miles per hour, the drivers showed concern very early on.
208240	212220	Donny Allison, a multi-time winner in NASCAR's top division, said the track is as rough as
212220	213220	a cob.
213220	214960	It'd be a beautiful track if it were smooth.
214960	217340	The only way they're going to fix it is to repave it.
217340	221220	Meanwhile, Cale Yarbrough noticed that his tires were shredded after just a dozen laps
221220	222220	on the track.
222220	224300	He also noted lots of bumps in the turns.
224300	227780	Not exactly something you want to navigate when you're pushing 200 miles an hour in what
227780	230740	passed for safety equipment back in the 1960s.
230740	234900	NASCAR's two tire manufacturers, Goodyear and Firestone, take note of the tire wear
234900	237660	and vow to come back with harder tires to compensate.
237660	242060	The first open practice for all teams happens in September on the Wednesday just before
242060	243780	the race on Sunday.
243780	245900	And that tire issue is not resolved.
246100	249580	Guys are noticing chunks of rubber coming off the tires after just a few laps.
249580	254300	Goodyear and Firestone fly on harder compounds on Thursday and Friday, but nothing works.
254300	258580	Drivers are getting uppity, and by Friday, Firestone backs out, citing safety concerns.
258580	263140	The drivers, who just mere weeks ago formed the Professional Drivers Association, a union-like
263140	266720	organization, are talking openly of a potential walkout.
266720	271180	And the president of the PDA, Richard Petty, the winningest NASCAR driver in history, is
271180	273580	in some tense negotiations with Bill Franz.
273620	277820	But the straw that broke the camel's back was one exchange between Franz and Bobby Allison,
277820	280260	who won the most recent race just last week.
280260	284020	Franz says to Bobby, quote, I think you're just afraid to race.
284020	287820	Bobby was taken aback, but it was the quiet Leroy Yarbrough who stepped up from behind
287820	291540	him and swung and hit Bill Franz in the face, knocking him to the ground.
291540	295180	Leroy then calmly said to everybody watching, boys, pack up your stuff.
295180	296180	We're leaving.
296180	300500	And just like that, almost every single driver put their cars back on the hauler and left
300500	302740	the track, save for three holdouts.
302900	306900	One, Bobby Isaac, a soft-spoken man who never joined the PDA, just because he didn't like
306900	311380	the idea of anybody speaking on his behalf, two, a non-PDA driver named Jim Vandiver driving
311380	316080	a car owned by Ray Fox, and three, a young up-and-comer named Richard Brickhouse.
