start	end	text
0	16700	Welcome everyone to a new series that I call Frying Comments.
16700	21360	Now some of my older viewers will remember that years ago I made a few videos thumping
21360	29440	some hapless goobers in my comment section.
29440	33200	And needless to say, this video is not that.
33200	38320	All of you have probably seen your fair share of comment response videos on YouTube where
38320	44000	big and proud YouTubers sarcastically mock the utter peons beneath them as the slime
44000	45800	between their toes.
45800	47520	This video is not that.
47520	51640	Oh no, I'm not flying over anyone's heads here.
51640	55960	All of you who watch me know that my spiral only points in one direction.
55960	60720	And that's down, down, down, which is exactly where I'm going today.
60720	65640	Because in this series, we're not dealing with your average, everyday criticism.
65640	69040	This is advanced criticism.
69040	73640	Today we are sinking to depths that no channel of my size should ever reach.
73640	77760	We are reaching levels of pettiness that shouldn't even be possible.
77760	82960	Today we aren't just glazing over an eclectic compilation of posts as you may expect from
82960	84240	a video like this.
84240	90760	Rather, we are going to examine just a single comment, posted over a year ago, that nobody
90760	92440	cares about.
92440	104960	Nobody besides me.
104960	110080	Lol you're hopping onto whatever bandwagon you can to try and get as many views as possible
110080	112040	and spread your unfunny shit.
112040	115240	It's a shame your fanbase can't see past this.
115240	120440	The commenter here assumes that I'm trend-hopping based on my video's trendy subject matter.
120440	124500	While I would disagree with this claim, the important aspect here is what would lead someone
124500	126040	to make this claim.
126040	131040	Looking at my channel now, seeing me make videos about Dale Earnhardt, court cases,
131040	135040	and Leafy more than a year after people stopped watching him, it's pretty obvious that I'm
135040	137320	not quite the trendiest YouTube channel.
137320	142000	But at the time this comment was posted, this was actually a much more reasonable claim,
142000	143960	considering the era that preceded it.
143960	147760	Those of you who are new to the channel may not actually know this, but I used to make
147760	149700	YouTube poops.
149700	155320	For the first five years of this channel, all I did was make YouTube poops, a time period
155320	158880	which constitutes the primary focus of this video.
158880	160640	Let's find out why.
160640	165780	The YTP community has seen so many amazing and talented people leave the community or
165780	169760	simply stop making videos for various reasons.
169760	175680	Why the fuck are we stuck with you?
175680	179580	I've never really had a good relationship with the YTP community.
179580	182360	For the longest time, I was totally isolated.
182360	183960	I never talked to anybody.
183960	186080	All I really did was watch and listen.
186080	190560	I can't really say for sure what exactly I did to get on people's nerves, but I can
190560	192820	make an educated guess.
192820	198000	Now the idea of drama in the YTP community may seem shocking and counterintuitive to
198000	207960	many of you, but believe me, it exists.
207960	212120	How could such silly videos lead to such bitterness and resentment?
212120	213800	I can't really explain it.
213800	217680	I guess it's like any other online community where some people are loved and some people
217680	222920	are hated, and more often than not, I tend to fall on the side of the hated.
222920	224800	Maybe it's because I didn't talk enough.
224800	227080	Maybe it's because I talked too much.
227080	232260	No one has ever given me a comprehensive explanation, so the best I can do is speculate.
232260	235120	That's all I've been able to do for all this time.
235120	237940	Maybe this comment can lead me to some answers.
237940	242780	Your fans are a bunch of easily amused fucking idiots who find shitty content creators like
242780	244120	you entertaining.
244120	248740	The only reason you even had a large number of subs in the first place is because of those
248740	253560	Pixar YTPs you made, which were pretty fucking shit to begin with.
253560	257720	Your actual non-Pixar content wasn't earning you many subs.
257720	259880	The sentiment here is pretty clear.
259880	264840	My YTPs are more popular than they deserve to be, and I don't necessarily disagree
264840	266000	with that.
266000	272280	In mid-2013, I had less than 4,000 subscribers, and then I uploaded The Uncredibles, a video
272280	274160	that changed everything.
274160	279060	It was my first video to reach a million views, and the popularity of this video carried over
279060	284180	to six of my next YTPs, which would also pass a million views.
284180	289220	To this day, nearly six years later, more people have watched The Uncredibles than any
289220	291080	other video on my channel.
291080	294780	So did I make these videos with the intent of getting popular on YouTube?
294780	298400	Well, no, but I can understand why people may think that.
298400	304660	The source material is very common and accessible, consisting of SpongeBob and Pixar movies,
304660	309340	which contrasts heavily with the more obscure sources of older YTPs.
