start	end	text
0	4140	A couple of very strange happenings recently have gotten my noggin a joggin.
4140	8740	In the UK, shortly after Brexit finally went through, took you guys long enough, there
8740	12680	was that segment of the BBC show Horrible Histories where they basically talked about
12680	18520	how all of those things that are considered to be quintessentially British aren't actually
18520	20520	from the UK at all.
20520	25820	Your empire's built on fighting wars, that's how your income's swollen.
25820	31260	Your British things are from abroad and most are frankly stolen.
31260	32260	Whatever next.
32260	33780	Go on, Pray Tell.
33780	35940	Our British queen is foreign as well.
35940	38740	It's true, I am of foreign descent.
38740	39740	And your husband, Albert?
39740	40740	A German, gent.
40740	43900	At least I've got a British name.
43900	44900	Victoria's Latin.
44900	46900	That's a shame!
46900	52380	British things, British things, there are none we declare.
52380	60300	All our favourite British things seem to come from elsewhere.
60300	62860	Jesus they did the queen dirty in that video.
62860	65420	Look at this face, man.
65420	71840	Last week a very similar video was put out over in Scandinavia by a Scandinavian airline
71840	76340	talking about how there is nothing fundamentally Scandinavian.
76340	78340	What is truly Scandinavian?
78340	83340	Absolutely nothing.
83340	90620	There is no such thing.
90620	92780	Everything is copied.
92780	96540	Scandinavia was brought here.
96540	99940	Piece by piece.
99940	106140	By everyday people who found the best of our home away from home.
106140	109660	Remember, this is a video designed to sell you a product.
109660	111900	What kind of brainlet thought up this marketing pitch?
111900	114660	Hey guys, how do you get people to buy our airline tickets?
114660	118020	I don't know, maybe we should tell them that their national identity doesn't exist.
118020	119020	Brilliant!
119020	121400	They'll be so demoralized they'll all buy the next flight out!
121400	126580	Now this push of your own institutions demonizing the very people that they're supposed to be
126580	127580	serving.
127580	131260	This might be new for the Brits or for the Scandinavians, but it's something that Canada's
131260	133420	had to deal with for a little while now.
133420	138220	Back in 2015, Justin Trudeau gave one of his first post-election interviews with the New
138220	139360	York Times.
139360	140820	In the interview, Trudeau stated,
140820	144500	There is no core identity, no mainstream in Canada.
144500	149220	There are shared values, openness, respect, compassion, willingness to work hard, to be
149220	152500	there for each other, to search for equality and justice.
152500	155440	Those qualities are what make us the first post-national state.
155440	160080	It would seem to me that these qualities, they are the core identity, and they certainly
160080	162820	are a part of a Canadian nationalism.
162820	167660	But nonetheless, Trudeau has felt for a while now that Canada is the first post-national
167660	168660	state.
168660	170500	There is no Canada in a sense.
170500	174380	However, the shorthand, there is no Canada, does not actually literally mean there is
174380	175380	no Canada.
175380	178900	In much the same way that when the airline says there's nothing about Scandinavia that's
178900	180500	inherent, they don't mean that either.
180500	181980	And the same with the British example.
181980	186220	The more practical interpretation of what they're saying is that the definition of what
186220	192060	being a Canadian is, or being a Brit is, or whatever, can and should be widened to include
192060	193180	more people.
193180	195000	And there is some logic to that.
195000	198620	If you're going to have a nation where immigrants come in, and those immigrants are there to
198620	203040	become Canadians, or to become British, or to become Swedish, or Norwegian, or whatever
203040	207260	it happens to be, if they're there not only to live in their new home, but adopt the customs
207260	211440	of the place that they're arriving to, then yes, you can make an argument that the definition
211440	214880	of what a Canadian is should be expanded to include those people.
214880	219460	We're talking about the honest immigrants, the ones who see opportunity here, work through
219460	224260	the legal process, and understand that even though their children will be culturally more
224260	227700	like the nation they have come to live in, rather than the nation that they came from,
227700	229580	they're still going to have a better life.
229580	234140	When my grandparents moved from Italy to Canada, they understood that their family line, as
234140	238780	the generations continued on, would not be Italian anymore, but the family would continue
238780	239780	on.
239780	240780	That was the important part.
240780	241780	And it did.
241780	245860	And that is why, fundamentally, a lot of immigrants have been welcomed into the West with open
245860	250620	arms because, up until recently, that policy has actually kind of worked because they were
250620	251620	willing to integrate.
251620	256420	However, the very fact that they have something to integrate into means that there is a core
256420	260620	identity, there is a mainstream, there is a Canada, there is a Britain.
260620	266820	Both Sargon and ArchWarhammer have done variations of this idea, and both of them, in their videos,
266820	270060	talk about the things that their homelands have contributed to the world.
270060	271060	And you know what?
271060	272060	I can do the same.
272060	274440	Believe it or not, Canada has actually done quite a bit.
274440	278760	We invented keyframe animation, the IMAX movie theater, and the trackball.
278760	284120	We invented pablum, canola oil, the Macintosh Apple, peanut butter, instant mashed potatoes,
284120	289960	ginger ale, poutine, then a Nymo bar, butter tarts, probably why I'm so fat, the walkie
289960	295720	talkie, amplitude modulation, standard time, the atomic clock, the Blackberry, the pager,
295720	302520	the 56K modem, wheelchair accessible buses, the baggage check, hydrofoil boats, jetliners,
302520	308600	electric streetcars, the Canadarm, that one's a big deal, the snowmobile, the electric wheelchair,
308600	314120	the compound steam engine, the snowblower, the fog horn, the gas mask, the G suit, the
314120	321380	pipe mine, sonar, lacrosse, basketball, hockey, table hockey, the goalie mask, five pin bowling,
321380	327480	the instant replay on TV, the electron microscope, the Ebola vaccine, plexiglass, the garbage
327480	333440	bag, the caesar, the drink by the way, the cardiac pacemaker, the wonder bra, the alkaline
333440	336480	battery, the caulking gun, the egg carton.
336480	342080	The point is, like every other nation, Canada has invented its own share of stuff, and like
342080	348120	every other nation, Canada has either inherited or adopted other inventions from other nations.
348120	353640	This idea that there is nothing fundamentally Canadian or British or Scandinavian or French
353640	356840	or German or any other place, it's just nonsense.
356840	363640	If you go back into the 80s, the multicultural dream of the time was nations working together
363640	368160	peacefully, all bringing their own points of view and their ideas to the table to synthesize
368160	370960	something greater, something better for humanity.
370960	375200	There was a recognition that all nations at the table existed, that they were all fundamentally
375200	378480	different, but that they coexisted peacefully and that they were willing to work together
378480	382980	for everyone's benefit, but that doesn't seem to be what multiculturalism is anymore.
382980	388140	Now it just seems to be the erasure of those that I guess the radical left considers to
388140	389140	be oppressive.
389140	393020	In that Scandinavian video they mentioned, um, we're no different from our viking ancestors.
393020	395620	We're no better than our viking ancestors.
395620	400020	Well it seems like the modern Scandinavian is a cuck, he's definitely not capable of
400020	403860	raping and pillaging the way that vikings used to, and of course there's the added hilarity
403860	407180	of it coming from a black person, we was actually vikings.
407180	411100	But more importantly, if the criticism is that the Scandinavians have blood on their
411100	414740	hands historically, name me a people that doesn't.
414740	417740	Canada treated its native population terribly.
417740	421300	No one can deny that the vikings actually did rape and pillage.
421300	425420	And I'm sure the British, back when they were the world hegemon, did some pretty distasteful
425420	426420	things.
426420	428940	But are any of us that now?
428940	434800	You can't draw a moral equivalence between what, say, my ancestors used to do as a Canadian,
434800	439340	and what a person from the Middle East or Africa does right now.
439340	443660	Obviously not all people from those places are backwards and violent, in fact a lot of
443660	446620	them are probably fleeing backwards violence.
446620	451340	But this really feels like an erasure disguised as multiculturalism, and if you object they'll
451340	454200	simply throw the sins of your ancestors in your face.
454200	458060	Which by the way is a ploy to get you to accept the sins of the people coming in, who are
458060	459460	alive right now.
459460	463740	Yes, Canadians in the past did a pretty bad extermination job on the native peoples that
463740	464740	used to live here.
464740	470220	But that does not compare to jihadis that come into Canada now and want to see the destruction
470220	471740	of the nation that they're entering.
471740	474580	If only by virtue of the fact that they're doing it right now.
