start	end	text
0	4240	Hey, hey, hey. Welcome to Tech Talk Tuesday. Guess what else I recorded today along with
4240	10640	Tech Talk Tuesday? A new video. That's right. Like an actual real video. It's coming. I mean,
10640	13760	hopefully you'll see it tomorrow as long as Dave gets the editing done. I mean, we'll see,
13760	19200	we'll see. But dude, I broke the writer's block. I'm finally doing it again. It feels good, man.
19200	24160	Let's hope I don't somehow destroy myself. But for now things are going okay. Okay. Let's see
24160	28880	what we've got today. Disgusting. Disgusting. I just wanted to talk about drive-through because
28880	34640	I'm a whore for Taco Bell. Yeah. And do you know how they greeted me? How? They said,
36000	41440	hello ma'am. You are a ma'am. And then after handing me my food, said, thank you ma'am,
41440	49200	have a good day. Bitch, what about me? Says ma'am. I have a fucking red mullet. Your voice.
50160	55120	Your voice, dude, your face. Everything about you screams ma'am. You're a tomboy. All right.
57120	63280	I hate to say it. I think I'm like 99% done with the non-binary thing. I know there's like a few
63280	68400	people that it really does work for, but most of these people, they're just tomboys. They'd be
68400	72880	tomboys back in the nineties and two thousands. No one would give a shit. There's a strange phenomenon
72880	76880	now where like, if you're young, you're kind of exploring the world, right? Like you're kind of
76880	80480	like, you're striking out on your own for your first time. You're developing your own personality,
80480	83840	your own sense of self. So maybe you're going to be like emo or going to be goth or maybe you're
83840	86880	going to be like a scene kid or like, you know, this is how it was back in the day, right?
86880	90480	You would just be like, what works for me? I'm going to experiment with style. We're
90480	95280	an experiment with like ways of presenting and ways of like, like, how am I going to be myself?
95280	99120	And all these experimentations, it was kind of dumb and cringy, but like it's young kids,
99120	102880	fine. You know, kids, sometimes 20 somethings, you know, they're doing whatever they're figuring
102880	108320	themselves out all completely normal, completely fine. However, there was this expectation that
108320	111840	for most of them, not all of them, but most of them, they would grow out of it. All right.
111840	115920	Most emo girls did not remain emo girls throughout high school and then throughout college and then
115920	119120	into their thirties when they started having kids, their styles changed as they got older.
119120	124480	That's normal. That's natural. However, you can't say that it's like a stylistic choice
124480	129200	that is going to be something to grow out of later because now it's not a stylistic choice.
129200	133200	It's a gender. Now it's a gender and you're a bigot if you say, oh, oh, you're a tomboy.
133200	137200	You might grow out of that. No, no. It's my gender now. I fucking hate this shit. Like,
137200	142400	it's so stupid. You are a girl. There's nothing masculine about you. You're not non-binary.
142400	147040	Get over it. The caption here is you guys, this TikTok filter keeps misgendering me. Look,
147040	156720	okay. Let's see. Let's see. Okay. Let's go. Oh, no, no fucking way. No way. Oh,
156800	162800	missing an anime. Okay. Okay. We're going to try this. Okay. Let's see.
164800	168880	Hell no. Oh my God. Oh my God. Oh my God. Oh my God. Okay. Let's try again. Okay.
175120	179920	Dude, that last one was me with my, my, my like SFO kind of avatars drawn. Sometimes, sometimes,
179920	183520	sometimes it'd be like that. It's, it's, it's really funny. It's probably frustrating to be
183520	187520	like a trans woman with like a masculine jaw. And then like the TikTok filter draws
187520	193120	you as a man every time. That's frustrating, but it's also pretty funny, dude. Ooh, there's a Ninja.
193920	207040	Yeah. That's funny. I think the funniest content on the internet nowadays, isn't like this highly
207040	212800	produced content from like corporate channels. It's just random people doing goofy shit,
212800	216560	like on their own and they're like in their houses or in their front lawns or whatever.
216560	219360	It's always been that I've always been the funniest stuff. It's always been the best stuff
219360	225520	on the internet, dude. Oh, I've heard about this one. So this is like a leftist who confronts a,
225520	230080	um, a Christian protester over it's either abortion or it's trans stuff or it's something,
230720	236320	but they try to rope in like a Muslim protester thinking that because they're Muslim,
236320	239280	they're part of the progressive stack and they're going to join them. But it goes,
239440	241680	okay, you just have to watch it. I've seen this before. Okay, let's go.
259360	261680	They agree, dude. They're Muslims. They agree.
270080	276560	You can't say anything against the Brown religion because it'd be racist.
