start	end	text
0	6320	Hello, everyone.
6320	12240	As you can tell by the different thumbnail of this video, I've decided to do these every
12240	14320	single day for the rest of my channel.
14320	15320	No, I'm kidding.
15320	16320	Obviously not.
16320	19880	I am going to do, maybe we'll do like TikTok Tuesdays or something because it's a video
19880	24960	that I can shoot easily, which frees up time for me to do other more in-depth projects.
24960	27960	For example, tonight I'm going on Adam and Sitch.
27960	29420	We're talking more Moldbug.
29420	35280	And so rather than doing a longer video and kind of painstakingly editing it together,
35280	40740	I can just slap this together in half an hour or so, maybe an hour at most for those busier
40740	41740	days.
41740	43580	I know some of you were saying, but Dave, you hired an editor.
43580	44580	Yeah, I know.
44580	45580	Guess what?
45580	46840	Dave's computer is actually broken too.
46840	51240	So hey, if you feel like donating an extra few bucks, maybe we can get things back on
51240	52240	the road again.
52240	57280	But anyway, I have collected a number of ridiculous things we may watch yet again.
57280	58760	Let's have some fun, guys.
58800	63200	And by fun, I mean, let's turn our brains into melted cheese.
63200	67800	If you want my future, I'm gonna get you fast.
67800	71800	If you wanna get with me, turn your face into a mask.
71800	75800	You're not gonna be wasting this precious time.
75800	80800	I'll get you in the dark and then commit this crime.
80800	83800	Don't tell you what I want, but I really want my soul.
83800	85800	I really want your soul.
85800	86800	Your soul.
86800	87800	Your soul.
87840	88840	Your soul.
88840	89840	Your soul.
89840	92840	If you wanna be a corpse, I'll bring it to my basement.
92840	93840	That's right.
93840	95340	I won't feel no remorse.
95340	96840	This has to be a joke.
96840	97840	Nothing lasts.
97840	99900	Dude, this has to be...
99900	101900	This has to just be a joke.
101900	105400	I mean, if it is, they got me, but...
105400	111320	Man, imagine the last thing you see is this person coming at you.
111320	112320	I want...
112320	113320	I want your soul.
113320	116320	This one's got no sound to it.
116840	121320	It just appears to be a bunch of people ransacking a fucking target.
121320	124320	Oh my God.
124320	129320	They're just stealing everything out of the target.
129320	131320	Like fuck it, we're just taking it all.
131320	133320	You keep seeing videos of...
133320	136320	See, I know some people say black people, it's not all black people, there's a white
136320	137320	woman doing it.
137320	144660	But like, I know you keep seeing these videos go viral of just constant, rampant, unending
144680	151420	theft, and no one cares anymore, no one is interested in being part of the social contract
151420	158540	anymore, no one's a decent human being anymore, and you know what?
158540	161100	These stores, they will eventually close down, right?
161100	165020	They can't just operate like this forever, they can't operate at eternal losses.
165020	169660	Eventually these stores will close, and then these communities will have nowhere to actually
169660	172540	get anything, and they'll just all be fucked.
172540	174540	What a shit show.
174540	178740	I'm literally shaking right now, because I just had a man approach me in a parking lot,
178740	181820	and it went fine, and I'm going to tell you why it went fine and how to address it, because
181820	185780	it was in a book I read, and this is how you're supposed to address it, but it scared me.
185780	187180	I'm literally shaking.
187180	196420	So this guy, I'm alone with my son, by myself, a woman, and a male approached me in a parking
196420	197420	lot.
197420	200380	He's like, excuse me, miss, and I don't know why in the hell he was approaching me or what
200380	206300	he was trying to do, and he was probably 30 feet from me when he said, excuse me, ma'am,
206300	211500	and I turned around, and I literally yelled at him, and I said, do not approach me.
211500	212500	What?
212500	217020	And he immediately started going in the other direction, and I just kept saying it over
217020	218020	and over and over.
218020	225180	I said, do not approach me, do not approach me, and he, of course, got like, what the
225180	228380	eff, like, he started cussing and yelling, like, what's your problem?
228380	233940	And I looked at him, and he started, he actually then crossed a couple cars down from my car,
233940	236100	and he didn't come anywhere near me.
236100	241060	He crossed a couple cars down from my car, and was like, what's your problem, and I said,
241060	243300	you do not approach women in a parking lot.
243300	245440	I just kept saying, do not approach me.
245440	248820	You do not approach women in a parking lot, like, yelling it.
248820	254500	No male, no male should ever approach a woman in a parking lot, ever.
254500	258040	No male should ever approach a woman in a parking lot, and if a male does approach you,
258040	262600	you need to turn around and use the strongest voice that you can possibly use with them.
262600	263600	Don't be polite.
263600	264780	They need to literally screw off.
264780	266520	No male should be approaching you in a parking lot.
266520	267520	Wow.
267520	272520	Okay, so I guess if a woman, you know, drops her wallet or something, guys, it's fair game.
272520	275440	You can't approach women in a parking lot anymore for any reason.
275440	277320	If you left her son behind in the cart, nope.
277320	278800	You got to leave that kid there.
278800	279800	Sorry, kid.
279800	281800	It's a, it's a sexist for me to approach your mother.
281800	287520	There are a thousand innocent reasons as to why you might go up to a stranger in a park,
287520	289320	in a parking lot, and say something.
289320	291280	To just immediately react like this.
291280	297040	This is like, this is pure, I don't know what you, what you want to call it, like, it's,
297040	298040	it's kind of schizo.
298040	299680	It's not really conspiracy brain.
299680	304960	It's just like, assuming that every single person has it out for you at all times.
304960	305960	Sometimes they do.
305960	306960	A lot of times they don't, you know?
306960	308960	Oh, this one's an old one.
308960	310960	You guys Americans?
310960	314440	You guys here to spread sodomy or what?
315440	319040	Isn't that what America's number one export is?
319040	321320	So these are like American soldiers in Poland.
321320	323480	Is it George Floyd culture or is it sodomy?
323480	325280	George Floyd culture!
325280	328080	Yeah, these are American soldiers in Poland.
328080	331480	What do you guys think about your health secretary being a fucking tranny?
331480	334960	Jesus Christ, dude, you're gonna get me fucking demonetized.
334960	341000	So yeah, this guy is just like harassing random soldiers because they're soldiers stationed
341000	342000	in Poland.
342000	349240	Defending a country that has, there's no meaning to be a citizen, like any, any Mexican crossing
349240	353440	the border is literally one of you.
353440	357640	Like regardless of his complaints, they're mostly stupid complaints too, but like regardless
357640	364800	of any of them, what is harassing for anal sex to Poland?
364800	367560	Like even he's laughing how dumb it is.
368560	372760	Like, you're just bugging for random soldiers, dude.
372760	375560	He's lucky they don't just like knock him out, you know?
