start	end	text
0	6680	So, it turns out that Lilith is late because she's making a meatloaf.
6680	7680	Yes.
7680	10680	I mean, I don't really blame Lilith.
10680	13840	I mean, that's infinitely more interesting than a TV show, so.
13840	14840	Meatloaf sounds tasty.
14840	15840	Thank you.
15840	16840	I'm glad you understand.
16840	17840	Meatloaf is great.
17840	18840	It takes priority.
18840	24720	I thought it would be done earlier, but I guess the slab of meat I was working with
24720	28560	today was bigger than the one I was working with last time, so.
28560	29560	I gotta be honest.
30120	31120	I've actually cooked a meatloaf before.
31120	32120	Oh, it's super easy.
32120	33120	Oh, yeah?
33120	40920	You just cut it up, season it a bunch, put it on a metal plate, and put it in nothing.
40920	42680	Do you stuff it with veggies?
42680	43680	Do you put like- No.
43680	44680	No?
44680	50200	When I make homemade burgers, what I'll do is I'll stuff the meat with garlic, with onions,
50200	51200	and with chopped kale.
51200	52200	Oh, you can do that.
52200	53200	You can do that, definitely.
53200	56800	Lots of people like to rub garlic into it.
56800	61160	If I had garlic, I would have done that, but I didn't, so I just used garlic salt today.
61160	62160	Right, right.
62160	69160	What you should be doing is you should be baking in egg and cheese.
69160	70160	Oh.
70160	73160	I've heard a lot about putting eggs in instead of breadcrumbs to find their meat together.
73160	75160	I did add a little bit of cheese on mine.
75160	76160	Yeah.
76160	78520	Yeah, the egg is an interesting solution to bread, or alternative.
78520	80520	So what do you do with the egg?
80520	84720	Basically, when you have the- you take the meatloaf first, and instead of making it into
84720	90280	the loaf, you have all the ground meat out in a long platter kind of thing.
90280	91280	Uh-huh.
91280	95120	Then you take the egg, you beat it up a little bit so it's nice and yellow and consistent
95120	98880	up, kind of like you're making omelet, and then you just pour that on the center, and
98880	103920	then you roll the meatloaf over it, and then you pack it in on both sides, so it's kind
103920	107360	of in the center of the meatloaf, and then you roast as usual.
107360	108360	Nice.
108360	109360	Okay.
109360	114200	Now this, you do need to cut into it to make sure that it's cooked on the inside, because
114200	118080	if it isn't cooked through, you're going to have raw egg inside of your meat, and that's
118080	119080	a problem.
119080	120080	Yeah.
120080	121080	Yeah, but like Sunnyside D.
121080	128080	But it is actually quite delicious, and it's- if you cool it down, it's eatable, it's almost
128080	129080	just like spread.
129080	132280	You slice off a thin piece, put it on bread, and eat.
132280	135160	So we're back together again to watch The Last of Us.
135160	140680	You know, when we were watching The Rings of Power, even though it was really, really
140680	144960	bad, it was kind of like a momentous occasion, you know, because Lord of the Rings is a much
144960	150100	bigger property than The Last of Us, and Rings of Power was a much bigger shitshow than this
150100	151720	show was turning out to be.
151720	154900	I don't know how I feel about watching a good show on my channel, or at least like a passing
154900	156280	show on my channel, you know?
156280	160600	Yeah, better stop then, because we're just development.
160600	161600	That's what we'll do.
161600	162600	I have to hate watch.
162600	169880	It could be better, because that's the thing, this is a passing show, but it's no Spartacus,
169880	171280	it's no Rome.
171280	175040	It's no the first few seasons of Game of Thrones, you know?
175040	177120	Game of Thrones, sub-tier to Rome.
177120	183920	And man, you know what, speaking of just passable shows, I watched season 3 episode 1 of Picard,
183920	188760	and I was surprised that it was mediocre, because Picard has been the worst show I've
188760	194240	ever seen in my fucking life for two seasons, and it's bumped up massively to just being
194240	195600	normal bad.
195600	200320	I tried to get into the Trek of the Stars, and I did so by trying to watch Picard.
200320	203600	So I'm like, yeah, I'll get in on the ground floor of this, let's see what everybody's
203600	204600	talking about.
204600	207640	I watched the first episode, and I was like, well, time's wrong again.
207640	208640	This is shit.
208640	210760	You start, hold on, your first episode of Star Trek-
210760	213260	That's probably not the best place to start.
213260	218840	Your first episode of Star Trek was the worst show of all time?
218840	223780	Actually, to be fair, my first proper Star Trek that I watched was STD, which I kind
223780	226140	of enjoyed, because it was just a stupid action show.
226140	227460	Oh, god damn it.
227460	230180	Go back and watch the good stuff, go back and watch TNG and DS9.
230180	231660	He doesn't like it.
231660	236180	He did try to give DS9 a swing, which I'll give him credit for that, but sadly it didn't
236180	238160	stick with him, which breaks my heart.
238160	243460	So when I started dating Naomi, Naomi's a Zoomer, she's younger than me, so I'm a millennial,
243460	245820	and she hadn't ever seen anything about Star Trek before.
245820	246820	Age gap.
246820	247820	That makes you a pedophile.
247820	250820	I'm gonna get cancelled for the age gap, yeah.
250820	254700	I'm gonna get cancelled by all the TikTok Zoomers.
254700	258780	So I sat down with her and I'm like, listen, Naomi, we're watching every single piece of
258780	262420	Star Trek in order of release, and we went through the whole thing.
262420	267700	We went through, we did the original series from 1967 or whatever, we did the animated
267700	272540	series, we did the movies, we did TNG, DS9, Voyager, we did all of it.
272540	279500	And she became a Star Trek hyper fan just in time to be let down by all the new Trek.
279500	284260	It's tragic, but that's actually kind of where I'm at with that, too, because I didn't
284260	285260	find-
285260	286260	Well, what's her favorite character?
286260	287260	Her favorite character?
287260	288260	Yeah.
288260	289260	Oh, Jesus.
289260	290260	That's gonna be a hard one, too.
290260	292260	Actually, I don't know what her favorite character would be.
292260	296260	Naomi, what is your favorite Star Trek character of all time?
296260	297260	Of all time?
297260	298260	Yeah.
298260	299260	I can't pick just one.
299260	300260	Come on, pick one.
300260	301260	Yeah, see?
301260	302260	That's a hard question.
302260	307100	Yeah, I knew it would be.
307100	308300	One of the entire franchise.
308300	309300	Oof.
309300	310300	I don't know.
310300	311300	Odo's pretty close.
311300	312300	I mean-
312300	313300	Odo?
313300	314300	Yeah.
314300	315300	I like Odo.
315300	316300	I could pick.
316300	317300	I can't pick one.
317300	318300	Can you pick one for each show?
318300	319300	Like, original series?
319300	320300	Original series is Spock.
320300	321300	Yes, of course.
321300	322300	And then TNG is...
322300	323300	Was obviously Picard.
323300	324300	But he was ruined by Picard.
324300	325300	Yeah.
325300	326300	Well, you know what?
326300	327300	We're not talking about Picard.
327300	334300	We're talking about the character of Picard in TNG where he was good.
334300	335300	Okay?
335300	338620	Well, to be fair, Picard also ruined Data.
338620	340620	So you can't even fall back on that.
340620	341620	Yeah, exactly.
341620	342620	Yeah.
342620	343620	So...
343620	344620	Odo and DS9, obviously.
344620	345620	DS9 was...
345620	346620	Yeah.
346620	347620	Odo for DS9.
347620	348620	Voyager?
348620	349620	Then Voyager...
349620	350620	Probably Seven of Nine, realistically.
350620	351620	Is that just because she's not-
351620	352620	No.
352620	353620	I like her character arc.
353620	354620	Oh, yeah.
354620	361260	She has lots of arcs going all over her body, I know.
361260	365620	I can tell based on your face that's what you were thinking of, too.
365620	366620	No, it wasn't.
366620	367620	All right.
367620	368620	You know me.
368620	369620	You're abandoned.
369620	370620	Dev.
370620	371620	Yes?
371620	372620	It's EMH.
372620	376420	The EMH Doctor is the best character in Voyager.
376420	377420	Not Seven of Nine.
377420	379820	You have to break up with him.
379820	381620	The EMH is actually an interesting character.
381620	382620	Yeah, the Doctor.
382620	386460	He's a great actor, and he's an opera singer, too, if I remember right.
386460	387980	There's one final thing I must confirm.
387980	388980	Okay.
388980	389980	What's up?
389980	390980	Naomi.
390980	391980	Dev.
391980	392980	Okay.
392980	394980	Your Enterprise character was T'Pol, right?
394980	395980	Oh, fuck.
395980	396980	The Enterprise.
397340	398340	Yeah, it's because of the curves.
398340	399340	I know.
399340	400340	Thank you.
400340	401340	All right.
401340	402480	Enterprise doesn't count.
402480	404180	It's been a long time.
404180	405180	I hate that intro.
405180	408820	I think we've sexually shamed Naomi enough for liking hot TV women.
408820	412340	Should we watch the zombie show now?
412340	413820	I mean, I guess we can.
413820	414820	I think it's time.
414820	415820	I think it's time.
415820	416820	We can commence.
416820	420700	Oh, I put mushrooms sometimes in my burgers, too.
420700	423100	Just chop them up like little tiny mushroom chops.
423100	425100	Little pieces and put them in the burgers.
425100	426100	Yeah.
426220	429220	Give me a gun.
429220	430220	Oh, shit.
430220	432220	I gotta turn on subtitles.
432220	434220	Give me a gun.
434220	435220	Whoops.
435220	436220	Henry, no!
436220	437220	By a black person.
437220	439220	Leading cause of death in America.
439220	440220	Wow.
440220	441220	Black person.
441220	443620	His arch celebrates.
443620	445020	That is very arch.
445020	446020	Ah.
446020	447020	Home.
447020	450140	Actually, it's a bit too flat to be home.
450140	456020	You always realized they're not doing the four seasons thing that Last of Us did.
456020	458740	Do you remember that, Lilith and Kibs?
458740	459740	Oh, yeah.
459740	460740	They went through the seasons.
460740	461740	Yeah.
461740	463740	They divided the game into quarters based on the season.
463740	464740	Motherfucker.
464740	465740	That's impressive.
465740	474220	Oh, this is going to be nine episodes, right?
474220	475220	Miniseries?
475220	476220	Nine or ten?
476220	477220	Oh, God.
477220	478220	Wow.
478220	484220	You've, uh, you've lived through the apocalypse well, honey.
484220	487340	Not bad.
487340	489020	You must be a very good hunter.
489020	491020	Who the hell are you?
491020	494620	There's someone passing through.
494620	495620	Take the gun out.
495620	496620	Two fingers only.
496620	497620	Put it out of reach.
497620	498620	Why did you shoot him?
498620	501620	The gun's all the way over there.
501620	505020	He didn't hurt me, by the way.
505020	508020	He's got a girl with him.
508020	511020	Can I con-jow?
511020	512020	No.
512020	513020	Henry.
513820	515820	What did I just say?
515820	516820	Joel, come on.
516820	517820	There's like a thousand.
517820	518820	Who's this little psycho?
518820	519820	Never mind her.
519820	521820	I need you to tell us where we are.
521820	522820	You got a map?
522820	523820	Why you lost?
523820	525820	You must have missed all the street signs in the enormous fucking forest.
525820	526820	Holy.
526820	531820	I like how they're just laughing at her.
531820	532820	Exactly where?
532820	534820	And your answer better be the same as your wife's.
534820	537820	Did you tell them the truth?
537820	538820	Yeah.
538820	541820	Are you telling me the truth?
541820	542820	Yeah.
543620	545620	What about the fireflies?
545620	547620	We get those in the summer.
547620	548620	Not the bugs.
548620	549620	The people.
549620	552620	There are firefly people?
552620	554620	Oh my god.
554620	556620	You got any advice on the best way to...
556620	559620	What are the best characters so far?
559620	560620	Gooey.
560620	565520	So having had a bunch of experience with like native people living on reservations in Canada,
565520	568220	they are exactly like this.
568220	569220	Don't give a fuck.
569220	571220	Just relax and chillin' out.
571220	572220	Put that back.
572620	573620	I don't know anything.
573620	575620	You're stealing a rabbit.
580620	581620	Joel?
581620	582620	Joel?
582620	583620	Joel, are you okay?
583620	584620	Joel?
584620	585620	Shut up.
585620	586620	Holy shit.
586620	587620	Are you dying?
587620	588620	I'm okay.
588620	589620	I'm okay.
589620	590620	I'm okay.
590620	591620	I'm fine.
591620	592620	No, no.
592620	593620	But are you?
593620	594620	Because just to remind you that you're dead.
594620	595620	I'm fucked.
595620	596620	I'm fine.
596620	597620	Okay.
597620	599620	It's just the cold air.
600020	601020	Oh, I saw you.
604020	606020	I think this is new.
610020	613020	I don't recall Joel having an old man sickness.
613020	617020	Yeah, I've been hearing something that they hinted at in the beginning episode.
617020	621020	That's new information, or made up information, whatever you want to call it.
621020	627820	If they're smart, they'll kill his ass via natural causes instead of the way he went
627820	630820	in that other game.
630820	633820	The unceremonious death by fucking golf club.
633820	634820	Uh huh.
634820	635820	Fuck.
635820	638820	And then they try to get you to sympathize with the character that killed him.
638820	639820	Yep.
639820	640820	Mm-hmm.
640820	641820	That didn't work out so well.
641820	642820	Don't be like that very much.
642820	643820	Close the dark.
643820	644820	No, nobody did.
644820	645820	There's some caves along the river.
645820	647820	We'll set up camp there, cross in the morning.
647820	649820	Yeah, it's a better way for him to go.
649820	650820	Just keep moving.
650820	651820	One could be so lucky.
651820	654820	That rabbit is so fucking fake, by the way.
654820	655820	Oh yeah.
655820	656820	Yep.
656820	659820	That's too big to be like a...
659820	660820	Well the eyes of a woman.
660820	662260	That size isn't necessarily wrong.
662260	664820	What gives it away is that thing is still flopping.
664820	668820	It's been dead for hours, it should be stiff as a board.
668820	670820	Can I have some?
670820	671820	No.
671820	676820	What, just to warm up?
676820	680220	Unscientific fact, alcohol does not actually make you warmer.
680220	683820	Nope, it just makes you numb.
684820	687820	Cough, cough, cough.
687820	688820	Yep.
688820	689820	So gross.
689820	691820	You know, I'm a grown man at this point.
691820	694820	I still don't like the taste of hard liquor.
694820	696820	I don't think anybody does.
696820	698820	It's fucking awful.
698820	701820	I would raise sheep.
701820	703820	They're quiet.
703820	705820	Do what they're told.
705820	707820	Actually, no.
707820	708820	Not in the slightest.
708820	710820	They're snarky as fuck.
710820	712820	They haven't been around sheeps, they're not quiet.
712820	714820	Nor do they do what they're told.
714820	716820	They're disobedient little shits.
716820	718820	What about you, where are you gonna go?
718820	720820	He's gonna be a sheep fucker.
720820	722820	Look at all that meat left on that poor rabbit.
722820	725820	Yeah, it's just grilling there.
725820	728820	They couldn't have been very hungry, I guess.
728820	729820	Yeah.
729820	731820	They've been doing pretty well with the journey, I guess.
731820	733820	No fetish in the morning.
733820	734820	What can I say, man?
734820	737820	I'm a natural.
737820	741820	What amazes me is that's a grown woman and that rifle still looks like it'll bowl her
741820	743820	over if she fired it.
743820	745820	Yeah.
745820	749820	She looks like a grown woman the same way that Greta Thunberg now looks like a grown woman.
749820	751820	Like, I know she's 18.
751820	755820	Yeah, well, she's 18, but she's tiny as fuck, you know?
755820	761820	And her parents specifically dress and groom her to look like a fucking 10-year-old.
761820	764820	When you say groom in the context of Greta Thunberg, it just sounds bad.
764820	767820	Well, I mean it in both contexts in this case.
767820	770820	Oh, no.
770820	772820	Fine.
775820	779820	Ah, yes, fire your gun and then wait for about five seconds.
779820	781820	Then walk out of cover.
781820	783820	That's pretty smart.
783820	786820	I'm sure anyone watching would have given up after the first three.
786820	788820	Actually, Arch, it's not just her parents.
788820	791820	Did you see that there were some...
791820	795820	I think they were rhinoids because they were coming at it from an anti-environmentalist perspective,
795820	800820	but they were talking about how now that Greta Thunberg is 18, she's certain OnlyFans.
800820	805820	I'm like, Jesus, guys. Calm the fuck down with that.
805820	807820	What?
807820	811820	I'm assuming how she's been raised for quite enough time, I think.
811820	817820	I just imagine a chick that has been repressed that hard by her parents and controlled that hard for this long.
817820	820820	Oh, there's going to be some behaviour there.
820820	823820	Oh, like going off to a party at university or something?
823820	825820	You don't know how to whistle?
825820	827820	Does it sound like I know how to whistle?
827820	829820	No.
829820	832820	Seriously, though, how the fuck do you do that?
832820	833820	Tyler.
833820	834820	Whatever.
834820	836820	You should teach me how to hunt.
836820	837820	Oh.
837820	840820	That's such a wise answer.
