start	end	text
0	7840	I have to warn you before we begin.
7840	11800	The annoyance level of this video is high, even by my standards.
11800	13960	Let me take you back about six months.
13960	18120	The outcome of the 2020 election isn't known yet, but it seems like Trump might actually
18120	24000	win a second term, and the anti-liberty types, well, they're getting a bit unhinged about
24000	25000	it.
25000	26000	Remember this lady?
26000	27000	Here, just in case you don't.
27000	28000	I'll jog your memory.
28000	30040	Listen, kiddo, I get it.
30040	31840	I don't like the two-party system.
31840	36120	I think our country's corrupt, and quite frankly, I don't want to vote for Biden.
36120	39880	It feels like voting for a Republican, but I'm going to do it.
39880	40880	You want to know why?
40880	43880	Because the alternative is a fucking fascist.
43880	45880	A fascist is a fascist.
45880	51880	Maybe we can have the conversation about dismantling the two-party system when a fascist isn't
51880	52880	running.
53280	56280	Maybe we can do that later, kiddo!
56280	57280	Champ!
57280	58280	Chief!
58280	61840	Maybe we can talk about it later!
61840	63240	You're welcome for that, by the way.
63240	67180	I still find it funny that leftists online call this woman a liberal.
67180	71560	I am in fact referring once again to that video that I made, where what leftists call
71560	74840	rad-libs are actually just part of the left they don't like.
74840	76340	But listen to her rhetoric.
76340	79160	She doesn't want to vote for Biden because Biden seems like a Republican.
79160	80960	She wants somebody further left.
80960	82400	How is this a liberal?
82400	87960	And of course, people like this are now coming back and saying, oh, Biden's actually in power?
87960	90180	Well, the 2022 elections are just around the corner.
90180	93300	It's too early to talk about reforming the Democratic Party now.
93300	96100	It's too early to talk about the two-party system this time.
96100	97100	These people are living hypocrites.
97100	98100	That's not the topic of the video.
98100	102960	What I'm actually talking about here is why the hell do these people keep like raging
102960	104740	out in their cars?
104740	105740	You notice that, right?
105740	109260	You know there's a trend, right, of these people who, you know, they seem to be pretty
109260	110480	well-to-do.
110480	114540	They're sitting in their vehicles and they're just raging at their phones and then uploading
114540	118860	that rage as if it's somehow a normal thing to their TikTok accounts.
118860	123540	Around the same time when Ruth Bader Ginsburg died, this woman put out a very similar video.
123540	124540	Holy ******* **** you guys!
124540	133540	I'm driving your car but I just got a notification that Ruth Bader Ginsburg died!
133540	137340	Holy ****!
137340	143200	Could this year get any ****ing worse?
143200	144200	Ruth!
144200	148180	You just had to make it to 2021!
148180	153600	Holy ****, at least the first one, like, was not driving while recording the video.
153600	154600	Christ!
154600	156160	Get off the ******* road, lady.
156160	157160	You're gonna crash.
157160	160040	Oh wait, that's already been done.
160040	161680	Are you ready to keep going?
161680	163360	Or have you already clicked off the video?
163360	170060	I don't know. I'm gonna enjoy looking at the the analytics of this one to see like within the first minute. Everyone just stops watching
193360	222680	Imagine being such an actual snowflake
222960	228000	That simply seeing a pro-life sign as you drive by
228480	234040	Causes you to go into a breakdown like this. What kind of a mindset does this person have to have?
234040	239800	I mean, I'm not even pro-life. I'm definitely on the pro-choice side of that argument, but Christ
239800	243000	I've like I've walked by like like anti-abortion
243640	246800	Protests before I'm just like, oh, this is stupid and I keep going
246800	252200	I don't lose my shit while still driving the car and then post it online for everybody to see. Oh my god
252200	258000	There's another please stop, please. I'm just been yelling in my car for 30 minutes because
259880	261880	Fucking parenting is hard
263800	265800	It's hard
267400	269400	Because they're little mirrors
271040	278400	If if I want my son to be a better person or to grow up
282200	284200	I
284200	286200	Have to be a good person
289200	291200	He mimics everything I do
292080	298440	He mirrors everything so if I have a fucking bad attitude, he's gonna have a god damn bad attitude
301400	304960	If I say fuck of course he's gonna say fuck
304960	306960	And
312800	317120	Your name your name's cat might be funny, I don't know I don't really find this funny, dude
317120	322280	I don't know what kind of a mindset you have to be in to be angry at the fact that you have to
322640	324640	Be a good person
324840	328560	It's it almost sounds ridiculous to say it but like yes
328560	331880	You have to be a good person not just because you have a kid though
331880	334800	That definitely is a good reason but for yourself, too
335000	341440	it sounds like this this woman has never once ever taken responsibility for anything in her entire life and
341640	346240	Now has a child and now has to learn the skill of being a responsible human
346760	352720	From zero the whole point of waiting to have kids is that you can build up your ability to be responsible
353280	360360	To the point that being responsible for a child is not nearly as hard as this and it really does seem like this this
360520	364320	Extended adolescence that all of us find ourselves living through right now
