start	end	text
0	9040	Hello, everyone. Welcome back to us watching The Last of Us. This will be episodes four
9040	13840	and five. We missed a few. So it turns out, Lilith, that you couldn't make it for episode
13840	17760	three due to some IRL shenanigans. So you got all caught up.
17760	22680	Yep. I watched episode three, actually just today.
22680	30920	And then episodes, basically, we missed episode four, because Arch, you had some sort of IRL
30920	33000	stuff to do with your job, right? You couldn't be around?
34280	37720	I was occupied, oh yes, I had to get up super early in the morning,
37720	39800	and I would have gotten about two hours of sleep.
42680	48040	And episode five, it turns out, actually came out a couple of days ago, but because it was,
48040	53640	it was preempted because tonight is the Super Bowl. And in fact, my IRL friends are off watching
53640	59480	the Super Bowl, and I'm a nerd, recluse, and I don't care about sports ball, so I'm here
59480	63880	watching The Last of Us with you guys. Let's talk about the sports ball. So as far
63880	67640	as I understand, there's a racist team against a group of birds.
68520	73320	Oh, is that how it is? Is it the Redskins or whatever? I don't know the teams.
73320	81240	One is called the Chiefs. I don't think they're Native Americans though, so that's really racist.
81240	85560	Yeah, because Arch, you're Norwegian, you don't really care about American hand egg.
85560	91800	And Lilith, you never seem like a sporty type to me. But Kibbs, you live in the American
91800	97800	heartland. How are you not watching sports ball like your brothers?
97800	107720	Sports boring. Well, there we go. He has a, he has a personal trauma with the hand egg.
107720	113480	So, oh, really can't watch it anymore. What's the story? What's the story? It fell on me in school.
113480	120280	I broke my collarbone. Is that true? That did. But that wasn't the reason why I don't watch sports.
120280	126520	I just, I don't like watching. Like, I, I like to play. No, I'm kind of the same much better reason
126520	132280	though. Like if, you know, you see the sports ball and you just imagine the enormous tuckas
132280	139640	coming towards you. No, it was his knee. And it would, like, it's not the, it's not the hands.
139640	144680	Well, here Kibbs, you know what? I, next time we play sports, I'll fall on you just,
144680	147960	just to round it out, okay? Devil, shoot you if you do that.
149640	152680	If I can, you know, move my arms, assuming, because what breaks.
153240	159080	Thanks. So we're, we're going to watch episodes four and five today. And, but first Lilith,
159880	166360	you wanted to give your take on episode three since, you know, a brief take because
166360	171160	you, you weren't here last time. Yeah, I thought it was pretty well handled. Like,
171800	177320	they depicted a libertarian character and who was like, libertarian representation.
178040	182760	Yes, libertarian representation with the don't tread on me and everything. And,
183640	188280	which is to be expected if you play like the game. Well, if you're familiar with the Bill character
188280	195160	who helps out Joel and Ellie and anyways, who's just basically like a prepper and a handyman
195160	201320	and can build all sorts of traps and resulted in one of the more memorable scenes in the game,
201320	207560	where it's like, Joel's just hung upside down by the leg and has to shoot zombies while Ellie gets
207560	212680	him down. Oh, that part was actually quite hard. I remember being very frustrated playing that
212680	215560	because like your controls are fucking inverted. Jesus.
217240	221000	You've got libertarians here, you've got gun-toting zero immigration
221000	224200	fucking build a fence now. It's like, that's woke. Is it?
224200	235080	It's about as chat as they get if, if only Frank was like a woman and like, it's like
235080	241400	perfect picturesque married couple living together, supporting each other and make,
241400	247800	making sure enriching each other's lives and having a homestead and harming and all that
247800	255080	trat stuff, but they don't like it because Frank is a man who speaks in gay or the crossing sword.
256760	263640	And like the, the actual like radical left gay stereotype are the people who are like
264280	269640	pissing all over each other on the pride float with, with children watching. And it's like,
269640	275240	that's not what these guys are about. You know? Yeah. The thing is, if you were to change,
275240	279240	if we were to go back change, the fact that it's not the last was take the same story arc
279240	283240	and literally change one of the characters into a girl. I guarantee you there's other people at
283240	288200	base to be speech. Like that's all that no one would have any problem with it. And that's okay.
288200	292680	So the director guy was like, Oh, I put the gay in there. It's like a trick. I fed it to you in
292680	297560	the brownie. I don't care. Like I've never been an opposition to gay people. And you've just
297560	303000	presented me with a perfectly fine conservative romance. Like, yup. You didn't trick me into
303000	306840	anything. You checked yourself, bro. They didn't really change anything. It's like,
306840	313240	uh, bill is gay in the game. Like, uh, the only difference was, uh, they changed the ending. Yeah.
313240	315960	This one, they had a happy ending where they didn't get separated.
317000	324120	Literally the only point of quote unquote propaganda is that it's a hyper idealized ending
324120	327640	and it is like all of their machinery is working. They still have fuel. They still have
327640	332520	fancy dinners. They still have fucking wine. Like, um, I was really surprised when they,
332520	339000	when they cast, uh, Nick Offerman as the, uh, libertarian survivalist bill, by the way,
339000	345320	it was like, that's like the perfect fricking casting because, uh, Ron Swanson and just like
345320	350040	the most memeable libertarian character in television. I watched it again with Naomi,
