start	end	text
0	3520	All right, now that the book of Bubba Fett is over, let me give you my take on it.
3520	4880	It was awful, thanks for watching!
5840	10160	Right, that's not going to hit the eight minute minimum for full monetization on YouTube, is it?
10160	12480	Naomi and I have had a ritual now for a few years.
12480	16160	Every Thursday morning we gather up all the episodes of the various shows that we're
16160	20800	currently watching, make a big breakfast and have coffee, and lounge about for several hours and
20800	26080	play catch-up. We do this with both old shows that Naomi's never seen that I can rewatch with her,
26080	29120	as well as new shows that have new episodes coming out every week.
29120	32000	Most recently we've done this with Twin Peaks, both old and new,
32000	35760	Star Trek, both old and new, Attack on Titan, and The Mandalorian.
35760	40720	The Mandalorian is a pretty interesting show, all things considered. Let's see if I can describe how.
40720	46000	When Disney bought Lucasfilm, something like 50 years of expanded universe canon was wiped out.
46000	51120	As if millions of voices suddenly cried out in terror and were suddenly silenced.
51120	54720	Disney announced that in order to make things less restrictive for their writers,
54720	59120	they weren't going to completely follow the EU canon. Where Luke gets with Mara Jade,
59120	64240	and Admiral Thrawn is going around being badass, and the Yuuzhan Vong invade, and Han Solo's son
64240	68720	Jason Solo becomes Darth Katius and is killed by his twin sister. No, I'm not worried about
68720	72480	spoilers of decades old stories that are officially non-canon now, as cool as they are.
72480	76160	And hey, you know what? I get it. How much of a surprise would it have been, and how
76160	80800	restrictive for the creators, if episode 7 was about Admiral Thrawn, episode 8 about the Vong,
80800	85840	and episode 9 about Darth Katius? Sometimes you just need room for new stories. I don't like this
85840	90720	whole wipe the slate clean tendency, when you should be cultivating properties, not destroying
90720	99360	them. But at the very least, Disney didn't wipe any mainline movies or whatever, so there's that.
99360	103280	Therefore, after Disney took control of Star Wars, the new canon looks something like this.
103280	108320	The prequel trilogy from 1999-2005, set during the first half of Anakin Skywalker's life.
108320	114800	The original trilogy from 1977-1983, set 20 years later. And the Clone Wars TV series. No,
114800	119920	not the good Tartovsky one, that was overwritten by the shittier CG version. Everything else was
119920	125760	made non-canon, and placed under the label of Star Wars Legends. From garbage-tier stuff like
125760	130000	the courtship of Princess Leia, to the story of the founding of the Rebellion from The Force
130000	134800	Unleashed, it was all rendered moot. Future Disney-owned outings would properly tell the
134800	139440	story of Princess Leia's romance, or how the Rebellion symbol came to be, thank you very much.
139440	144400	While some Legends characters would later return, reimagined for the new lore, the only thing that
144400	149440	was considered foundational as far as Disney was concerned, is the two trilogies in the Clone Wars
149440	154080	series. Afterward, they began to add their own new entries, and boy were they shit. I've already
154080	158480	gone over the sequel trilogy in detail in a previous video, but even beyond them, Rogue One
158480	163760	was shit, Star Wars Rebels was shit, Solo was so shit it caused the cancellation of the upcoming
163760	169200	Boba Fett and Obi-Wan films. While mainline Star Wars turned itself into a public mockery,
169200	173440	at Disney immolating the property for short-term gain and destroying its legacy in the process,
173440	178240	a subtler, less bombastic, and far more interesting show quietly released, and that
178240	183440	show was The Mandalorian. The Mandalorian's first episode came out on November 12th, 2019,
183440	188240	a month before Star Wars Episode IX, The Rise of Skywalker. And even though Episode IX was this
188240	192640	billion-dollar blockbuster, with constant advertising, and merch, and toys, this thing
192640	196400	was shoved everywhere you could fucking look, people really didn't like it. It made money,
196400	200240	yeah, but way less than it should have, especially considering its budget, and the story was
200240	206000	absolutely atrocious. But most importantly of all, it was completely upstaged and outshined by its
206000	210240	smaller, quieter brother, The Mandalorian. The Rise of Skywalker was this bombastic,
210240	214880	galaxy-spanning story about saving the universe from the first, uh, sorry, the final order now,
214880	219760	with huge space battles and thousands of star destroyers with Death Star cannons on them,
219760	223360	and there's a race against time to use an ancient Sith dagger to unlock a puzzle,
223360	226800	and there's the wreckage of the Death Star on Endor, and Emperor Palpatine returns as a
226800	230400	primordial Sith evil who's been alive for thousands of years, still not giving a shit
230400	235040	about spoilers, by the way, while The Mandalorian is a story about a bounty hunter who goes to the
235040	238960	seedy underbellies of planets to try and find work. The stakes are lower, and that's a good
238960	243120	thing. There's more room to breathe, there's more time for character development, there's no sensory
243120	247440	overload of a billion ships all firing at each other in a space battle to end all space battles,
247440	251360	at least until the next movie comes out. The Mandalorian knows when to have loud action,
251360	255760	and when to be quiet for a little while. Do you recall when Star Trek Picard was billed
255760	260560	as this quieter show about Picard in his old age, not getting into his own huge space fights,
260560	265280	but instead being involved in a smaller story around town? Which brings back Patrick Stewart,
265280	269760	as next-generation Captain Jean-Luc Picard embraces a more deliberate pace that matches
269760	275120	its 79-year-old star, finding Jean-Luc on his French vineyard as he spends time with his loyal
275120	280400	dog Number One. That means fewer space shootouts and more quiet introspection, and that's just how
280400	285280	the team behind Picard intended it. And then they turn Picard into a giant pile of space laser dog
285280	290800	shit. Well, The Mandalorian is actually for Star Wars, what Picard was advertised to be for Star
290800	294880	Trek. Another point in The Mandalorian's favor, which is equally important but a lot easier to
294880	298960	explain, is that in the timeline it takes place between the original and sequel trilogy. A lot of
298960	302800	extra Star Wars stuff takes place between the prequel trilogy and the original. The era of
302800	307600	The Rise of the Empire has been explored to death, but the time period between Luke and Rey is still
307600	311280	pretty sparse, even now, so it's refreshing to get another look at how The New Republic works,
311280	315920	or see the Empire in decline before the First Order shows up, especially from the point of view
315920	320240	of a character who is not aligned with either faction like The Mandalorian. Also, there's Baby
320240	324560	Yoda, which instantly became a meme, something that Disney was somehow not prepared for. So,
324560	329760	when Christmas Time 2019 came around, they had all of this worthless Episode 9 merch that nobody
329760	333840	wanted to buy, and they had to quickly rush out Baby Yoda branded stuff to meet the demand.
333840	339280	Check this out, this is The Mandalorian merch from 2019. Look at this shit, it's low quality stills
339280	343840	from the show printed onto shirts and mugs and phone cases. It looks like they quickly slapped
343840	349040	it together on cafe press. How is it that Disney thought this shit was going to go gangbusters,
349040	353440	but didn't even notice that the quiet little brother of Star Wars was calmly putting out a
353440	358640	money-making machine? The first season of The Mandalorian respects Star Wars lore while artfully
358640	362480	adding to it, positioning the Mandalorians as an order of people who are the mortal enemies
362480	366240	of the Jedi, and have used their mastery of technology and weaponry to counter the Jedi's
366240	370400	use of the Force. The Empire wants to experiment on Baby Yoda for some kind of Force-related
370400	373920	Metachlorian bullshit, the Mandalorian decides to rescue him, and the two of them go bopping
373920	378160	around the galaxy getting into trouble. There is an overarching plot, but each episode also functions
378160	381680	as a standalone, where the Mandalorian comes into town, takes a job, solves the problem,
381680	385760	and moves on. It's as much of a space western as Star Wars has ever been, and its simplicity works
385760	390000	wonders. Season two of The Mandalorian is where it starts going into the shitter, presumably
390000	393920	because at this point Disney noticed that they had tanked everything else Star Wars related,
393920	398160	and The Mandalorian was the only thing earning them both money and the love of their audiences.
398160	403280	The success of The Mandalorian season one, and the failure of both Solo and episodes eight and nine,
403280	408320	caused a massive reorientation in Disney's plan. The Bubba Fett and Obi-Wan movies became TV shows,
408320	412000	since people's attention has been shifting away from film and towards TV for over a decade now,
412000	416080	and season two of The Mandalorian became less about telling good stories like season one,
416080	420240	and more about setting up as many spin-off shows as possible. Bubba Fett shows up,
420240	424560	and his show is given that coveted post-credits scene at the end of season two. Ahsoka Tano makes
424560	428720	an appearance, and a full arc of the show exists solely to sideline The Mandalorian,
428720	433280	and serve as a backdoor pilot for her upcoming show. Rangers of the New Republic is also a
433280	437200	planned show, stemming from the recurring appearances of these guys. Basically, Disney
437200	440080	noticed that the only thing that was taken off that they had made was The Mandalorian,
440080	443840	so they hitched as many possible fucking things to it, guaranteeing that its own
443840	448160	momentum ground to a halt. I haven't even talked about the book of Bubba Fett yet,
448160	452000	and that's because you really do need to understand all of this stuff to know how much
452000	456960	of an unmitigated disaster it is. But now, we're here. Bubba Fett is an iconic Star Wars character,
456960	461360	but unlike the other iconic characters, he's a blank slate. Luke is young and naive, but
461360	465440	good-hearted. He confronts evil before he's ready, and he's scarred by it. He matures,
465440	469120	and conquers the enemy within and without. He's the hero. Han Solo is a bit more dirty,
469120	472400	he's in it for the money. He's not above underhanded tricks or scheming or stealing,
472400	475840	but when the chips are down, he'll do the right thing. Leia is the bureaucrat, trained in the
475840	479360	art of politics, but not accustomed to doing fighting herself, and she grows into a capable
479360	483600	military leader in her own right. Lando is the former scoundrel who goes straight. He now runs
483600	487680	a respectable business, but he can't quite shake his sketchy past. He's a smooth talker and deal
487680	492320	maker. Darth Vader is the quintessential villain, the tortured soul who regrets the mistakes of his
492320	496880	youth, but he's in too deep to quit now. Bubba Fett is the guy with the cool armor and the cool
496880	501120	ship, called Slave One even in the original canon, which Disney refuses to recognize ever
501120	509280	again, always referring to it as Bubba Fett's ship, or my ship now. And he does have a couple
509280	513040	of lines that make him sound like he's a ruthless dude, but most of the time he just stands in the
513040	517680	background looking cool, until he unceremoniously gets smacked in the back by Han Solo in episode
517680	522640	6, causing his jetpack to fuck up, sending him into the sarlacc pit. My point is, for some reason
522640	527440	that I think just boils down to the rule of cool, fans treated Bubba Fett like he was a main Star
527440	532240	Wars character, even though there wasn't really much to him. Even George Lucas was surprised that
532240	536240	he was so beloved, saying he wouldn't have killed him if he had known. In the case of
536240	541600	Bubba Fett's death, had I known he was going to turn into such a popular character, I probably
541600	547280	would have made a little bit more exciting. Bubba Fett was just another one of the minions,
547280	554320	another one of the bounty hunters and bad guys. But he became such a favorite of everybody,
554320	560720	he said for having such a small part, he had a very large presence. And now that his history
560720	566240	has been told in the first trilogy, you know, it makes it even more of a misstep that we wouldn't
566240	572320	make more out of the event of his defeat, because most people don't believe he died anyway. I'd
572320	576640	contemplate him putting that extra shot in where he climbs out of the hole, but you know, I figure
577440	581920	it doesn't quite fit in the end. It's because he first showed up in the Star Wars Holiday Special?
581920	586800	The Mandalorian Season 1 was Disney's way of making a Bubba Fett show without committing to it.
586800	590880	Din Djarin looks like Bubba Fett. He behaves like a reasonable extrapolation of Bubba Fett's
590880	594560	appearances from the original trilogy, and to a lesser extent his appearances as a child in
594560	599040	the Clone Wars series. This was Disney dipping their toes into the Bubba Fett waters, and because
599040	603600	it was extremely well received, they decided to fully lean into it. But in this case, fully lean
