start	end	text
0	5720	John Fetterman
5720	10560	The October 7th terrorist attack in Israel has truly melted people's brains.
10560	15040	I'm not yet prepared to do a deep dive video on that whole thing, and you know me, there's
15040	19100	a decent chance it'll be old news by the time I'm done, but I would like to quickly
19100	22260	talk about one funny quirk that has come out of the whole thing.
22260	24160	This man is John Fetterman.
24160	27940	He represents something very different to you if you're on the American left or the
27940	29140	American right.
29140	33400	If right, he's a sign in a long list of signs showing that American democracy has
33400	38300	failed, that the American people are either so stupid or so ideological that they would
38300	43800	elect a brain-damaged retard just as long as there is a D beside his name.
43800	46900	But if you're on the left, this conversation becomes a lot weirder.
46900	48540	Let's go back to the beginning.
48540	51600	John Fetterman described his upbringing as privileged.
51600	55900	He was born when his parents were both 19, but his dad made a good living working in
55900	56900	insurance.
56900	60560	He was a conservative entrepreneurial type, and Fetterman's life plan was to take over
60560	62360	his dad's startup after school.
62360	66600	However, while getting a Master's of Business Administration from the University of Connecticut
66600	71000	in 1993, Fetterman's best friend died in a car accident.
71000	75460	As a result, he felt compelled to join the charity group Big Brothers Big Sisters of
75460	79800	America, where adults mentor young people who don't have adult role models in their
79800	80800	lives.
80800	84520	He was paired with an eight-year-old boy whose father died of AIDS and whose mother was on
84520	85520	the way out.
85520	89300	It was Fetterman's experience working at the charity that ultimately caused his politics
89300	92880	to drift away from the rugged individualism of his parents.
92880	98200	In his own words, he became preoccupied with the concept of the random lottery of birth.
98200	103100	Fetterman continued his charity work until 2005, when he ran for the mayor of Braddock,
103100	104100	Pennsylvania.
104100	108200	He had moved to Braddock to start a charity in 2001, helping underprivileged youth finish
108200	109200	their schooling.
109200	111520	He won the mayoral race by just one vote.
111520	116480	In 2009's election for the same position, he faced Jamie Cox, who accused Fetterman
116480	121220	of simply bulldozing his opposition and failing to build consensus with the city council.
121220	125180	In response, Fetterman released local police records showing that Cox had been arrested
125180	126820	in 2004.
126820	131140	These records weren't public, and Fetterman abusing his mayoral authority to release them
131140	135560	constituted a violation of Pennsylvania's Criminal History Record Information Act.
135560	140160	Nonetheless, it was enough to tar Cox's image, and Fetterman won the 2009 election.
140160	146040	His popularity only grew after this incident, and he ran unopposed in 2013 and 2017.
146040	150980	It was during his tenure as the mayor of Braddock that Fetterman became a Democrat rising star.
150980	155160	The town only had 2,000 residents, one major employer in the local hospital, and the mayor
155160	157480	job only paid $150 a month.
157480	161920	This was a small pond, all in all, but Fetterman turned the town into his own personal fix-up
161920	164680	project, with both good and bad results.
164680	168480	He used his authority to purchase neglected buildings and fix them up on his dime.
168480	172240	He bought an abandoned church and lived in it himself for several months, while renovating
172240	173660	it into a community center.
173660	178100	He turned vacant lots into parks, public gardens, and in one case, the town's first public
178100	179400	basketball court.
179400	183200	There were no murders in the town for five straight years under his watch.
183200	187120	Before, Braddock had an abnormally high murder rate for its size.
187120	189560	But it wasn't all sunshine and roses.
189560	193400	Fetterman found the city council's perpetual gridlock annoying, so he bypassed them by
193400	196020	rooting all of his initiatives through his charities.
196020	199640	His father foot the bill for some initial plans, and he used his charity connections
199640	202220	to acquire funding for a lot of these projects.
202220	206260	This limited Democratic input from the residents of the town, and among Fetterman's opponents,
206260	210020	there was a feeling that he was bypassing the city council and unilaterally implementing
210020	214820	his plans because he knew he didn't have the political support to do it above board.
214820	218580	Nonetheless, Fetterman had become known in the Democratic party for his Braddock success,
218580	221100	and it was time for him to advance his career.
221100	225740	In 2018, he ran for the Democratic nomination for the lieutenant governor of Pennsylvania.
225740	229400	The Democratic incumbent, Mike Stack, was being investigated at the time for abusing
229400	233540	his staff and mistreating Pennsylvania state troopers, and Pennsylvania Democrats wanted
233540	235540	to be rid of the Stack scandal.
235540	239940	With several high-profile endorsements, most notably Bernie Sanders, he won the Democratic
239940	243980	nomination, and the Wolf-Fetterman ticket beat out the Republicans for the governor
243980	245300	of Pennsylvania.
245300	249860	As lieutenant governor, Fetterman kept what the Associated Press called a light work schedule.
249860	253100	They looked into his official work calendar and discovered that from his inauguration
253100	259300	in January 2019 until May of 2022, his official schedule was blank for one-third of all eligible
259300	260400	work days.
260400	264740	The days that he did work, he tended to only work on average for four to five hours.
264740	269400	In 2020, he presided over only half of the Pennsylvania state senate sessions, an official
269400	270980	duty of lieutenant governor.
270980	274740	In 2021, he was there for only a third of the sessions.
274740	277440	Lieutenant governor also oversees the state parole board.
