start	end	text
0	12440	What a song to listen to at the start of the day.
12440	13440	It's Sciitis!
13440	18800	Alright, so it's 10am, the next batch of plants should have come in, so Naomi and I are going
18800	24640	to go and hopefully pick up our cucumbers, since that's the last thing that we need to
24640	27840	get the garden going.
27840	34400	So Naomi, we're at the store again one week later, there's Naomi's feet, and what kind
34400	36760	of cucumbers do you want now that they're here?
36760	41280	English cucumbers, or Japanese cucumbers, no, Lebanese, sorry.
41280	43280	Do you need more tights?
43280	44280	Ow!
44280	46280	I thought you just cut myself off.
46280	47280	Regular cucumbers.
47280	48280	Regular cucumbers.
48280	49280	Do you have a preference?
49280	50280	Nope.
50280	52320	Actually, I think they're pretty much the same.
52320	58640	So we're going to grab four of these and head back home and finish up the planting
58640	59640	for this year.
59640	61640	Naomi, the car's a mess again.
61640	65240	It's your fault, stop fucking up my car with your goddamn plants.
65240	68160	Yeah, but you're still going to eat these cucumbers and like them.
68160	73400	Okay, we're back at the garden, and same situation as last time.
73400	78760	Take a hole, manure time, in it goes.
78760	81600	Cucumber in it, and then we just bury it up.
81600	84800	Yeah, there we go.
84800	85920	All four cucumbers are in.
85920	91600	Now, the trellis looks no good, but maybe it'll last one more year.
91600	93720	It's still holding together, right?
93720	98320	And with that, we have basically set the garden up for the year.
98320	103920	The cucumbers are in, peppers charred because we have too much kale, beans instead of peas
103920	105960	this year, and the tomatoes.
105960	108920	So, let's see how it all turns out.
114200	119440	I just saw this guys, oh no, it's frost time.
119440	123400	Take preventative measures to protect frost-sensitive plants.
123400	128640	Alright, so we're here in the middle of the night, and by we I don't mean Naomi this time,
128640	135880	I mean Dave, fresh off my Garogua playthrough, because Naomi cannot help me with the garden
135880	140360	right now, as she just had all four of her wisdom teeth pulled, so Dave's stepping in.
140360	144360	Um, where is the tarp?
144360	149360	Uh, I know we still have it here somewhere.
149360	153280	So there's gonna be frost tonight, actually I think tomorrow night too, so we gotta get
153280	157240	the tarp.
157240	160080	Garden looks good, even in the night time.
160080	162960	So because of the frost, we're gonna put the tarp on, we're gonna take it off tomorrow,
162960	167480	maybe nine or ten o'clock in the morning, hopefully this will work out.
167480	174080	Hopefully this won't do as poorly as that time when the rain hit.
174080	182400	That was, yeah, about water weight, so there should be some, there's these patio stones
182400	187280	that are hanging around, you can just get it mostly over the beans, that'll be fine.
187280	190920	Who knows if that'll actually work out, but maybe it will.
190920	191920	I guess we'll have to see.
191960	193600	Yeah, this'll probably work out.
193600	194600	Let's hope anyway.
194600	196600	I have a good feeling about it.
196600	201600	It's the next morning, let's hope everything survived.
201600	209960	Oh, it looks okay.
209960	211400	These two are broken.
211400	213240	This one's still going good, okay?
213240	216320	Tomatoes are a bit droopy, but still okay.
216320	218920	The beans are a bit droopy too.
218920	220600	Oh no.
220600	223320	Chard looks good, peppers look good.
223320	225840	It looks like most things survived.
225840	230360	That one pea over there doesn't look so good, and two of those cucumbers are dead.
230360	236400	Here we are one week later, and what I said was gonna happen did happen.
236400	238720	That cucumber died.
238720	239720	Everything else looks good.
239720	241960	My four cucumbers are only doing so-so.
241960	248960	This one's completely gone, this one's like half gone, there's one dead plant there, and
249040	256040	there's this one, and this one, and they look okay, but they have the dry edges.
256040	258560	I don't know if that means there's been too much water.
258560	262560	There's been a lot of rain recently, so maybe there's just too much rain hitting these guys.
267880	269800	Oh my god, guys, you need to see this.
269800	272640	You know that I've been fighting with frost and all this this whole year.
272640	280480	It is the 23rd of May, and if you look up here, we have a frost warning again, even
280480	283000	though it's 22 degrees Celsius.
283000	284000	Frost yet again.
284000	287600	Cover up plants, especially those in frost prone areas, of course, of course, of course.
287600	291840	Well guess what, unlike last time when we just put the tarp on, no big deal, check out
291840	292840	the hourly.
292840	297520	It's 22, 21, 19, lovely spring evening.
297520	301560	By 10 p.m. it starts raining, rain, rain, rain, rain.
301560	308280	It gets real cold, and then at about 5 a.m. it goes down to below freezing until 10 a.m.
308280	313480	So I can't even put the tarp on before I go to bed, because the rain will weigh it down
313480	315080	and crush all the plants.
315080	320600	I'm gonna have to get up at 5 a.m. and put the tarp on for this like four to five hour
320600	324240	window to prevent them from getting frosted.
324240	325240	Fuck my life.
325240	335720	Here we are, it's five in the morning.
335720	346800	Getting the old tarp out yet again, actually, first, it rained a lot last night.
346800	349200	Getting it down again now.
349200	351360	Good morning Naomi, how do you feel?
351360	352360	Fucking awful.
352360	353360	Yeah, same.
353360	360480	So I was touching the plants and stuff, and like they seem not wet, and I thought they
360480	365960	might be, because I was thinking like if it's just wet from the rain, it's still gonna freeze
365960	372200	whether or not we put a tarp over it, because like rain and then instantly into frost might
372200	377000	just be like the garden's done anyway, I don't know, this still might not work, but I guess
377000	378000	we'll see.
378000	379000	We'll try.
379000	386880	There we go, tarp out again, it is a week before June and we're still getting frost
386880	387880	warnings.
387880	390560	I hope that this is the last time we have to do this.
390560	397600	All right, it's the morning, what a terrible night, and we just noticed part of it blew
397600	399720	over and Naomi, you said they might look frosted?
399720	402320	No, no, I can't tell if they're here.
402320	403320	Let's see.
403320	408320	They seem okay, yeah, I think they're okay.
408640	411640	Well, did they have a fault anyway because that was your side?
411640	412640	Yeah.
412640	415640	Yeah, my side was perfectly fine.
415640	422360	Here, lift it up, and walking forward, walking forward, wait did this pepper die?
422360	430000	It's not dead, it's just bent, stand up straight, it's a little bit floppy, and we gotta do
430000	433680	this again tonight, I think the garden's just not gonna work out this year, there's so much
433680	436200	frost and so much heat at the same time.
436600	438600	Ready for climate change.
438600	443160	Look how floppy this one is too, I don't know man, this might be, this might be a disaster
443160	444160	this year.
444160	449480	Hey guys, I'm recording from the upstairs window right now and as you can probably hear,
449480	455480	if not see, there's a ton of rain, it's been like this for about two or three days now.
455480	459840	This is not like last year where the rain almost destroyed the garden and it's certainly
459840	463920	not cold enough like earlier in the year where there was a bunch of frost, the temperature
463920	468520	is fine, there's just a lot of water, so I haven't been watering the garden recently.
