start	end	text
0	9000	I've spoken at length about Black Lives Matter on this channel before.
9000	14140	In August of 2020, I made a video called Where Does the BLM Money Go, tracing the financials
14140	17500	of the various donations from the website, BlackLivesMatter.org.
17500	21520	Most of those donations went to ActBlue, a Democrat slush fund, though some of them obviously
21520	25420	found their way into the hands of the people who run the various Black Lives Matter groups.
25420	29980	We know this because I put out another video in April of 2021 called Living Your Principles,
29980	33900	where we talked about the fact that the BLM organization leader Patrisse Khan-Cullors
33900	35260	is a trained Marxist.
35260	39220	A video clip of her talking about Marxism went viral that everyone on the internet has
39220	40220	been using in their videos.
40220	62740	Yeah, that one.
62740	63740	Don't worry though.
63740	64740	For variety's sake, I found another.
64740	84340	It came out in the spring of last year that Khan-Cullors used the BLM money to buy multiple
84340	87180	homes, including a secluded compound in Topanga Canyon.
87180	91980	I did a few other BLM videos over the years, mainly talking about various individual acts
91980	97100	of violence, both committed by and committed to black people, and how those events related
97100	101340	or didn't relate, contrary to popular opinion, to Black Lives Matter as a movement.
101340	103900	But we're talking about the financial side of things again today.
103900	104900	The reason why?
104900	108640	Well, because I came across this tweet, BLM is missing $60 million.
108640	111300	The headquarters doesn't exist, and the leaders have disappeared.
111300	112300	Where is the money?
112300	116000	Also, as a side note, nice job, Dr. Evil.
116000	118140	First time I've ever seen a double looting.
118140	119140	Oof.
119140	121500	Jokes aside, what the hell is actually going on here?
121540	125020	Well, let's start with this article from the Washington Examiner.
125020	129060	BLM's millions unaccounted for after leaders quietly jump ship.
129060	132260	No one appears to have been in charge of Black Lives Matter for months.
132260	136900	The address it lists on tax forms is wrong, and the charity's two board members won't
136900	139780	say who controls its $60 million bankroll.
139780	144680	BLM's shocking lack of transparency surrounding its finances and operations raises major legal
144680	148660	and ethical red flags, multiple charity experts told the Washington Examiner.
148660	153100	Like a giant ghost ship full of treasure, drifting in the night with no captain, no
153100	157660	discernible crew, and no clear direction, charity watch executive director Laurie Stritten
157660	158860	said of BLM.
158860	164260	BLM co-founder Patrice Kahn-Cullors appointed two activists to serve as the group's senior
164260	168540	directors following her resignation in May amid scrutiny over her personal finances.
168540	170640	That's right, I didn't do a video on this.
170640	175380	This went down after it went viral that Kahn-Cullors was buying so many houses with the BLM money.
