start	end	text
0	16440	So, over on the ol' video channel, I tried out the Kyle Rittenhouse meme game that went
16440	20040	viral a week or two ago, acquitted Self Defense vs. the Braindead.
20040	24800	The story goes, you play as this generic American teenager who just so happens to look like
24800	25800	Kyle Rittenhouse.
25800	30320	He's just received his not guilty verdict for his textbook self defense killing of leftist
30320	31320	activists.
31320	36040	And due to that highly publicized event, another horde of leftist activists have appeared at
36040	37040	the courthouse to protest.
37040	41240	You need to defend yourself with lethal force once again until it's time for your next court
41240	42260	date for that killing.
42260	45400	The joke being that it's a top down shooter with tower defense elements.
45400	49400	And the time in between waves of enemies is the trial judging your actions during the
49400	50400	previous wave.
50400	51400	I get the joke, it's pretty clever.
51400	55200	And the game is also full of equally clever little easter eggs.
55200	58120	Not just the story and the fact that the kid is clearly Kyle Rittenhouse.
58120	61840	The zombie who attacks with a skateboard is missing his bicep, referencing the wounds
61840	63560	of one of the people who Kyle shot.
63560	68920	Some zombies attack with bike locks, referencing a 2017 Berkeley riot where Eric Clanton, a
68920	73160	professor as part of an Antifa black bloc, hit his victims with a bike lock.
73160	77040	Other zombies appear to use spin kicks as their primary method of attack, referencing
77040	81800	a 2018 event in Toronto where a progressive soy boy kicked a pregnant woman who was filming
81800	83460	him during an abortion protest.
83460	88080	The generic female zombie is clearly Big Red, though the game randomizes her hair color
88080	89080	for flavor.
89080	92560	And though a lot of people are calling the first boss zombie Trigglypuff, I'm not exactly
92560	93560	seeing the connection.
93560	95880	The size might be there, but the hair is all wrong.
95880	99040	Same with the second boss zombie and the it is ma'am person.
99040	102340	But nonetheless, everybody can understand the stereotypes being appealed to here.
102340	106280	The soy boy hipster, the black bloc communist, the radical feminist, the ham beast, each
106280	110400	of them taking on this all-American kid who is cut straight from the cloth of somebody
110400	113920	like Mike from StarTropics or Zeke from Zombies Ate My Neighbors.
113920	117640	In fact, the game plays a lot like Zombies Ate My Neighbors too, both of them being top-down
117640	119840	shooters where you take on hordes of zombies.
119840	123820	Though acquitted, not being confined to a Sega Genesis can put a whole bunch more zombies
123820	124820	on the screen.
124820	128960	In fact, the game it feels the most like, at least in so far as style is concerned,
128960	132200	is Death Road to Canada, another top-down shooter where you take on hordes of zombies.
132200	136200	But rather than being a wave-based tower defense game, Death Road to Canada is a roguelike
136240	140080	where the maps and the loot within are randomly generated and what events you encounter on
140080	141840	the road are also entirely random.
141840	145660	The reason I'm bringing all this up right now is because I know that acquitted is the
145660	150240	meme game right now and people with a more libertarian political persuasion are laughing
150240	153360	their heads off thinking how triggered the libs must be.
153360	154360	And you know, they are.
154360	155800	All you have to do is go on Twitter and see it.
155800	159680	However, a thematically similar game coming from the socialist perspective, Tonight We
159680	163160	Riot, came out last year and the situation was entirely reversed.
163160	166920	Terminally online commies were praising it for its humor and gameplay, and those few
166920	170720	right-leaning people who actually heard of it groaned in exasperation at yet another
170720	172380	bit of cultural subversion.
172380	175200	Each side treated each of these games exactly as expected.
175200	178980	I will say, though, I got acquitted on sale for five bucks, it's ten now, sorry, while
178980	180440	Tonight We Riot is fifteen.
180440	184040	According to the Steam database, Tonight We Riot doesn't really go on sale all that
184040	186960	much, though that one 90% discount was pretty nice.
186960	188920	The database gives us more information to look at, too.
188920	192560	The highest number of concurrent players of Tonight We Riot was its launch day with
192560	193680	84 people.
193680	197940	It did have a shit ton of Twitch viewers, though, but those were almost all Hassan and
197940	199500	his orbiter streaming the game.
199500	203440	They all played it exactly once, all at the same time, on launch day, and never touched
203440	204440	it again.
204440	208560	The game remained dead until acquitted came out, when people started comparing the two,
208560	211680	at which point it hit its second peak of 17 players.
211680	216100	So we can sit here and laugh at the failure of Tonight We Riot, how Hassan's massive
216100	219460	viewership probably did more to hurt than help, since it clearly didn't translate
219460	223680	into sales, and how the meagre social media presence of the game has basically devolved
223680	227860	into virtue signaling and commie posting, except that one tweet about them by Andy Ngo
227860	231660	that went viral, where they ended up hiding the only reply that called them pedophiles.
