start	end	text
0	4960	Are there more differences between groups or within groups? The liberal answer is within groups,
4960	9520	that differences between individuals are more vast than differences among groups of individuals.
9520	14480	Here's an example. We know that there's a correlation of 0.6 regarding women being more
14480	18960	agreeable than men. What this means is, if you have a group of women and a group of men,
18960	24080	and you take a random person from each group and bet that the woman is more agreeable than the man,
24080	29120	you'd be right 60% of the time. But there's enough overlap between men and women that 40%
29120	32720	of the time, the man would be more agreeable. And the biological differences between men and
32720	37520	women are much larger than, say, the biological differences between the races. This is why
37520	41920	liberals are fundamentally individualists. They believe that there's more variation between
41920	46720	individuals within racial groups than the groups themselves. And therefore, it's the individual
46720	50320	that has a different temperament and point of view. It's the individual that generates the
50320	54720	different ideas and solutions that society needs. The progressives believe the opposite.
54720	59360	Their answer is between groups. They believe that differences between groups of people are larger
59360	63840	than differences between individuals within that group. That two individuals from different groups
63840	68320	have less in common with each other than any other random individual from their own group.
68320	72480	In their view, any random white person will always have more in common with any other random
72480	77360	white person than any random black person. This is why they consider diversity to be inherently
77360	81680	moral. Because the only way to gain access to different ideas and points of view are through
81680	85680	token inclusion of people from other groups. You need representation from a puerality of
85680	90400	different races, ethnicities, sexualities, and whatever else, because their points of view are
90400	95440	so unique that their inclusion is the only way to gain access to that knowledge. I think this is
95440	100000	true to some very limited degree. A white person who's lived in a majority white country, in a
100000	104560	majority white neighborhood, probably hasn't experienced too much racism, and may benefit
104560	109280	from the knowledge of somebody who has. But the progressive point of view, that simply having
109280	114000	black skin is enough to qualify the person as the keeper of that knowledge and the educator
114000	118400	of the ignorant, even if the individual in question is quite privileged in other ways,
118960	124720	seems to be a rather racist argument. In fact, the idea that there is more difference between
124720	130400	the races than between the individual is one of the fundamental racist ideas. It's what the Nazis
130400	134880	said when discussing the non-Aryans, it's what the KKK said when discussing black people, and it's
134880	139760	what progressives say today, that you are so different from me due to your race that there is
139760	145120	no common ground between us, and that you are so similar to all people within your race that now
145120	150000	that I know what race you are, I know what kind of person you are. If that sounds racist to you,
150000	154720	that's because it is. This idea of comparing progressives with racists isn't new, and the
154720	158480	progressive tendency towards racism has been lampooned pretty consistently in the past few
158480	186640	years. Yes, most white progressives are simply white supremacists with a guilty conscience.
186640	191280	I've been reading D'Angelo's White Fragility, I knew I'd have to deal with this thing eventually,
191280	195600	and she says as much in the book. She admits to being a white supremacist, she believes all
195600	200000	white people are white supremacists by virtue of them being white, and that the only way to achieve
200000	204240	black liberation is the constant, eternal shaming and restriction of all white people.
204880	209200	Let's talk about open borders advocates, and if it seems like I'm suddenly shifting gears here,
209200	214160	I'm really not. There's been a specific sect of politics on both the left and the right
214160	218640	that has been entirely pro-open borders, pro-migration, and pro-globalism.
218640	223440	On the left, there's a racial component to it. It's racist to not help those poor brown people
223440	227600	into our country, they need our help, and we stole the land from them anyway. On the right,
227600	232000	the attitude of big business is that it's good for the economy, meaning large corporations,
