start	end	text
0	9860	Alright guys, IRL is hitting me real hard, I've got no time for a video today.
9860	15000	I keep seeing this clip from December of last year go viral and re-viral, it keeps popping
15000	16880	up on the front page of YouTube for me.
16880	21100	It's from Courtney Ryan, no clue who this is, which guy would women choose?
21100	27020	I've been dipping my toes into some red pill stuff, not because I believe in it, I don't,
27020	29960	but I do find it interesting to look at some of these communities that I'm not really part
29960	32560	of on YouTube and in the streaming space.
32560	36480	And I've got a spare 30 minutes, YouTube keeps recommending me this garbage, so I might as
36480	38760	well finally give in and check it out.
38760	39760	Let's go.
39760	42720	Welcome back to my channel, if you're new here, I'm Courtney Ryan, and today we're playing
42720	45840	a little game with a group of girls called Would You Rather.
45840	50200	So what I do, I give them guy number one, and guy number two, and each guy comes with
50200	54600	some baggage or some things going on, and they have to choose which guy that they would
54600	56200	rather date.
56200	59560	Sounds good to me, I've got all the baggage.
59560	64160	Guy number one who makes 200k, but he struggles with infidelity and will have one to two affairs
64160	68480	during your life together, or guy number two who makes 40k and is loyal.
68480	72500	Oh, so the girls are gonna like choose between one of these two, okay, I see what's going
72500	73500	on here.
73500	79920	Hmm, $40,000 a year and is loyal versus $20,000 a year and has one to two affairs during their
79920	80920	lifetime.
80920	86020	That's an extra $160,000, like after a few years, that's like a house.
86020	89060	This is a big, I know a lot of them are probably gonna choose the loyal one because that's
89060	93060	what society expects, but I actually think that's a lot closer than that, because that's
93060	94260	a lot of money.
94260	98500	I'll do guy number two, guy number one.
98500	101180	At least she's honest.
101180	106460	The 40k and is loyal, obviously, well, for me, obviously.
106460	108820	That is, that's an easy one.
108820	113540	I guess I'll say the guy number two because I couldn't deal with infidelity no matter
113540	114940	how much money you make.
114940	115940	Loyal.
115940	118820	I would choose $40,000 and loyal.
119060	120580	Loyalty important to you.
120580	121580	Mm-hmm.
121580	122580	Okay.
122580	125180	Definitely the guy who makes 40k and is loyal.
125180	128220	I can already hear all the red pillars saying, no, this is all fake, but they're all gonna
128220	133340	choose the high value male who has more money but cheats sometimes and it's like, in actuality,
133340	135380	no, most women aren't like that.
135380	138580	Most women view their partners as investments.
138580	143940	That's why the whole I can fix him thing is so prevalent and also why women have such
143940	148420	a hard time leaving abusive partners, because they feel like they can invest in a man who
148420	149900	will then produce for them.
149900	153180	The whole alpha male harem status thing.
153180	157340	That's not nearly as common as red pillars like to believe it is.
157340	163140	Next one here is guy number one who is 50 pounds overweight and makes 120k or guy number
163140	168420	two who is fit, nice arms, six pack, great endurance and makes 35k.
168420	171100	Oh, I wonder.
171100	172460	This one's a bit tougher, isn't it?
172460	176780	Because you could lose the 50 pounds and then keep your 120k.
176780	179580	Also, this does say something with their personalities, though, doesn't it?
179580	183100	Because if you're like, you're 50 pounds overweight versus being in shape, that shows like certain
183100	185300	types of habits and your habits are your personality.
185300	187580	So like, um, you could also make more money too.
187580	188580	I don't know.
188580	189580	I don't know about this.
189580	190580	Oh, my God.
190580	191580	Oh, Jesus Christ.
191580	192580	Guy number one.
192580	193580	I'll take the first guy.
193580	194580	Yeah, 35k.
194580	195580	That's like McDonald's.
195580	196580	I'll go with number one.
196580	197580	35k is McDonald's?
197580	199580	Listen, this woman is too good looking to be working retail.
199580	202580	Maybe she actually does think 35k is McDonald's.
202580	203580	What the fuck?
203580	207580	$15 an hour times 40 hours a week.
207580	210580	You're not getting 40 at a part time job, let's just say.
210580	213580	$600 a week times 52.
213580	215580	Making $31,000.
215580	219580	If you have 15 minimum, you're making $31,000 at McDonald's.
219580	220580	Jesus.
220580	222580	Of course, you're not getting 15 minimum at 40 hours a week.
222580	224580	There's not going to be a lot of money.
224580	226580	There's not going to be a lot of money.
226580	227580	Jesus.
227580	229580	Of course, you're not getting 15 minimum at 40 hours a week.
229580	230580	There's no fucking way.
230580	236580	Unless you're a McDonald's manager or something, you're getting shitty 8 to 1s or 1 to 5s or
236580	238580	7 to 10s or something.
238580	239580	These garbage tier shifts.
239580	241580	That's what part time work is like.
241580	242580	At least that's what it was like when I was younger.
242580	244580	I haven't worked in retail in a long time.
244580	249580	That's hard because I don't really value money or...
249580	251580	Well, I guess I value health.
251580	253580	You've got to value something.
253580	255580	I guess I would say the fit guy.
255580	256580	Okay.
256580	259580	Because I care about health, like physical health, because I think it...
259580	261580	It's just like your well-being.
261580	264580	Yeah, I guess that one.
264580	267580	I think being fit is important.
267580	270580	I want a guy who takes care of his health.
270580	275580	50 pounds overweight is really not that bad, especially if...
275580	276580	There's still hope, guys.
276580	277580	There's still hope.
277580	282580	I have a more active lifestyle, so I wouldn't mind helping him be more active.
282580	283580	50 pounds is not that bad.
283580	288580	Guy number one who is a three and has a boat and a second home that's an oceanfront condo,
288580	292580	or guy number two who is an eight but lives at home with his parents.
292580	293580	Oh my God.
293580	297580	Number one has so much more going for him, but he's a three.
297580	299580	What is a three out of 10?
299580	303580	We're talking deformities, lost an eye, scarring, lost a limb.
303580	304580	What are we talking about here?
304580	305580	We're talking about three.
305580	307580	Like morbidly obese.
307580	308580	Three is bad.
308580	309580	That's a lot of money though.
309580	311580	A boat, second home.
311580	313580	Yeah, three is like a Harvey Weinstein or something.
313580	314580	Hold on.
314580	316580	Minus the allegations.
316580	318580	Probably the first one.
318580	319580	Okay.
319580	321580	Just because he's doing better in his life.
321580	322580	Okay.
322580	323580	Fair enough.
323580	325580	I'm not really good for appearances.
325580	330580	I care about physical health, but other than just being healthy, I mean, you don't have
330580	335580	to be super fit or attractive just as long as you're taking care of yourself.
335580	337580	A three though, dude?
337580	339580	... areas of his life.
339580	341580	Oh, that's a good one.
341580	343580	We're talking like deformities at that point.
343580	347580	Probably the eight who lives at home with his parents, especially in times like these.
347580	350580	If he's saving his money...
350580	352580	Just blame on COVID, dude.
352580	355580	I mean, obviously it would be better if a guy had his own place.
357580	358580	Got number one.
358580	359580	All right.
359580	363580	Whenever I see this woman, she always looks like she's about to get her hair cut the way
363580	364580	she's dressed.
364580	365580	I'd say the second guy.
365580	366580	Okay.
366580	368580	Because that doesn't have to be forever.
368580	369580	And how old are you?
369580	370580	I'm 28.
370580	371580	28.
371580	376580	So is there an age where living at home with the parents would be a deal breaker for you?
376580	381580	I'd say life happens and if you need help, you need help.
381580	387580	But typically by the time we're 30, maybe it's time to get on out of there.
387580	388580	All right.
388580	390580	You don't want to be bringing home girls to your parents' house.
390580	391580	That's weird.
391580	392580	I knew a few.
392580	396580	They weren't 30, but I knew a few guys who did that in their late 20s and it's like,
396580	397580	oof, dude.
397580	398580	All right.
398580	402580	Guy number one who is 5'4", 5'4", and makes 250K a year.
402580	406580	Or guy number two who is 6'2", and makes 70K a year.
406580	407580	Ooh.
407580	410580	As a kind of short guy, this one's rough.
410580	415580	I'm 5'7", Naomi's 5'1", so we ended up working out well in terms of height.
415580	420580	Before Naomi, I dated two Asian girls who were also both pretty short.
420580	424580	I've never had any luck with any girls that were as tall as me or taller.
424580	426580	And I know the play to the short man.
426580	427580	I'm not super short.
427580	429580	I'm not like 5'4", 5'2".
429580	431580	There are some guys I've seen walking around.
431580	432580	It's like, Jesus, dude, I'm sorry.
432580	434580	But 5'7", that's not bad.
434580	438580	It is below average, but it's still workable in terms of finding girls.
438580	441580	But yeah, 5'4", versus 6'2".
441580	443580	250 versus 70,000.
443580	444580	Hmm.
444580	450580	70,000 is still enough to live a pretty decent life in a lot of places, so I think the girls
450580	452580	are going to overwhelmingly choose 6'2".
453580	457580	You know, the reason so many guys lie about being 6' when they're actually like 5'11",
457580	460580	sometimes, Dave, is because they know the power of the 6'0".
460580	463580	You know what I mean, when it comes to dating apps or whatever?
463580	465580	So yeah, that's what I think.
465580	468580	Well, I'm 5'10", so 5'4'' is a little too short for me.
468580	472580	I mean, if you're 5'4'' and you're super confident, that's really sexy.
472580	473580	Fair enough, fair enough.
473580	474580	Sometimes there are tall girls out there.
474580	478580	5'4'' is, like I said, I'm 5'10", so 5'4'' is a little too short for me.
478580	479580	I'd prefer a taller guy.
479580	481580	5'4'' 200,000.
481580	482580	250.
482580	483580	Oh, 250.
483580	485580	Or 6'2'' and make 70.
488580	489580	You might go for the 6'2'' guy.
489580	490580	6'2''?
490580	491580	How tall are you?
491580	492580	I'm 5'1".
492580	493580	Jesus!
493580	497580	Even though the 5'4'' is still taller than you, you would still choose the 6'2'' making
497580	498580	less money.
498580	501580	Okay, now we're getting, now we're getting black-pilled guys.
501580	502580	6'2'' guy?
502580	503580	Yeah.
503580	504580	How tall are you?
504580	505580	Yep, black-pilled.
505580	506580	5'6".
506580	507580	Okay.
507580	508580	Oh, guy number two.
509580	510580	How tall are you?
510580	511580	5'1''.
511580	513580	Oh my gosh, so you would still choose the 6'2'' guy?
513580	514580	I had a feeling she would.
514580	515580	Oh, for sure.
515580	516580	My boyfriend's 6'4''.
516580	517580	Jesus Christ!
517580	518580	Oh my gosh.
518580	519580	Okay, so...
519580	520580	This chick's getting impaled!
520580	522580	...than the guy who makes more money.
522580	523580	Yeah.
523580	524580	Okay.
524580	527580	And what is it about the tall factor that stands out to you?
527580	531580	I just feel like taller guys, I'll feel more protected because I'm so short.
531580	534580	I want a guy where if we're out in like a...
534580	535580	Okay, that's BS, alright?
535580	536580	Listen, listen, listen.
536580	541580	I know lots of girls say this, they wanna feel protected by a larger guy, a taller guy,
541580	542580	but that's like...
542580	543580	How do you think it's gonna play out?
543580	546580	Like if you're getting mugged, the mugger pulls out like a gun, are you gonna use it
546580	547580	as like a body shield?
