start	end	text
0	10800	Kibi Farms is, or was, I don't know if it's coming back, a forum dedicated to the discussion
10800	11800	of lolcows.
11800	16120	A lolcow is a person the forum designates as worthy of following solely to laugh at
16120	17120	their exploits.
17120	20880	The people they follow range from YouTubers and streamers to celebrities and journalists,
20880	23840	to people who just happen to have a large Twitter following sometimes.
23840	28800	They began as the Cwicky forums, CWCicky forums, I don't know, devoted to the following of
28800	33080	Chris Chan and laughing at all of the ridiculous drama that came out of him, but gradually
33080	35600	evolved to keep tabs on pretty much everyone.
35600	39920	I can understand the Kiwi Farms impulse, frankly, they're a bunch of autistic data hoarders,
39920	40920	and so am I.
40920	42640	They like to watch a good trainwreck, just like I do.
42640	46320	But Kiwi Farms is, overall, an extremely distasteful place.
46320	49720	They're rude and bigoted beyond belief towards the people they follow.
49720	53760	They engage in regular troll operations against people who fall under their eye.
53760	58840	They stalk, they dox, and they're not above IRL harassment, including 4chan prank shit
58840	61880	like ordering a bunch of pizzas and taxi cabs to someone's house.
61880	66480	Now, the users of Kiwi Farms are also smart enough not to post that shit on the site,
66480	69520	like saying, her, der, I just sent PewDiePie 100 pizzas.
69520	71760	So they outwardly appear to be innocent.
71760	73680	But come on, how dumb do you think I am?
73680	76440	I've got a thread on Kiwi Farms, for no real reason, frankly.
76440	81080	I have no drama, no skeletons in my closet, with the exception of, I guess, being horrendous
81080	85000	with deadlines for projects, and some people in my community are kind of mad about that.
85000	86000	Fair enough.
86000	90000	The vast majority of my thread is just made-up bullshit, and it's pretty funny to see what
90000	92080	internet schizos think about you sometimes.
92080	95560	In case you guys ever get your site back, the next time you want to do weird sex rumors
95560	100200	about me, you might want to remember that Naomi isn't Lilith and Naomi isn't trans.
100200	103880	But overall, I'm not too bothered regarding what they say about me because I know it's
103880	104880	not true.
104880	106720	Nonetheless, I still don't like Kiwi Farms.
106720	109960	They've bothered a few of my friends, and their thread's coming up under the Google
109960	114200	search for my friends' real names has caused quite a few IRL problems.
114200	117920	And even if the people I cared about weren't affected, I would still consider the site
117920	119360	an absolute cesspit.
119360	123160	It is wild the length that these people can go to to throw false rumors around and wreck
123160	124280	people's lives.
124280	128120	Multiple people have committed suicide, with the media blaming Kiwi Farms for it.
128120	129760	June 29th, 2016.
129760	134160	Julie Terryberry hung herself, with news articles speculating that it was Kiwi Farms' obsessive
134160	135880	documenting of her life that led to it.
135880	137680	June 19th, 2018.
137680	139360	Chloe Sagal set herself on fire.
139360	143600	Kiwi Farms began documenting her life in 2013, after there was evidence she took money
143600	147720	from her indie game fundraiser and used it instead on gender-affirming surgery.
147720	153240	On June 27th, 2021, another trans indie dev going by the online handle of Nier also killed
153240	155120	themselves after getting harassed by Kiwi Farms.
155120	158880	There's a chicken-and-egg conversation here regarding Kiwi Farms' involvement.
158880	161040	Clearly, what they're doing is morally reprehensible.
161040	163680	But many people get shit on by Kiwi Farms and don't kill themselves.
163680	166620	Me, Sargon, Destiny, Ethan Ralph, Vaush.
166620	170100	If you're even a D-tier E-celeb, you've got a Kiwi Farms threat.
170100	173600	And most people aren't offing themselves when a Kiwi Farms user shows up in the chat
173600	174760	to be a little weiner.
174760	179480	So it seems to be factually incorrect to say that Kiwi Farms killed these people, or even
179480	181660	that Kiwi Farms drove them to suicide.
181660	184140	These are people who already had lifelong problems.
184140	186100	Chloe Sagal was homeless at the end of her rope.
186100	188460	Nier was extremely depressed and dysphoric.
188460	192620	Before Kiwi Farms ever got involved with these people, they were already spiraling downward.
192620	196940	In fact, it was the opportunity to laugh at their downward spiral that attracted Kiwi
196940	197940	Farms to them in the first place.
197940	201460	This doesn't absolve Kiwi Farms, but it's entirely possible that these people would
201460	202860	have killed themselves anyway.
202860	207020	In case I'm not being clear enough, I don't approve of what Kiwi Farms does.
207020	210580	And yet, the title of this video is, In Defense of Kiwi Farms.
210580	214980	Because as distasteful and grotesque as they are, I do think that sticking to my principles
214980	216780	means that I need to draw a line somewhere.
216780	219860	And that line has to be forcing Kiwi Farms offline.
219860	222100	In order to talk about this, we've got to talk about keffles.
222100	226260	I will have to do a full video on her at some point, because she's also a truly grotesque
226260	227820	person who has hurt a lot of people.
227820	228820	But that's not for today.
228820	232100	Today, we're only going to focus on her campaign to get Kiwi Farms kicked off the
232100	233100	internet.
233100	236500	On August 5th, 2022, keffles was swatted at her home in Ontario, Canada.
236500	238860	Her description of this event changed multiple times.
238860	248860	First, keffles said she woke up to an assault rifle pointed at her face.
248860	252340	Then later, while being interviewed for global news, she said that she had the rifle pointed
252340	263460	at her in the hallway of her house.
263460	267220	The police later clarified in a public statement, saying that officers did not conduct what
267220	270460	is sometimes referred to as a dynamic entry into keffles' residence.
270460	274460	Rather, they knocked on the door, announced themselves as police, and occupants answered.
274460	278020	Kefles was arrested for uttering threats based on information officers had at the time.
278020	279700	She was polite and cooperative.
308020	326980	The proof
326980	330460	for this is an evidence bag using her former family name, which she was able to show to
330460	331460	global news.
331460	333400	The police's statement cleared this up, too.
333400	337100	While I can't confirm any conversations which might have transpired during keffles'
337100	341400	initial arrest, activity in our holding cells is monitored by audio and video equipment.
341400	345180	At no time while she was in our holding cells did members of our police service address
345180	347140	keffles by her dead name and gender.
347140	351180	I have personally reviewed the recordings and found our officers were polite, respectful,
351180	352180	and professional.
352180	356300	The reference to keffles' former name appears to stem from the existence of prior police
356300	357300	reports.
357300	361080	Police are not normally notified when somebody legally changes their name.
361080	365060	It appears the bag in which keffles' personal property was held in was labeled with her
365060	366900	dead name for tracking purposes.
366940	370220	In other words, keffles has a record from before she transitioned and her old files
370220	373700	hadn't been updated because, presumably, she hadn't been arrested since then.
373700	378660	What the actual swatting was, was two 911 calls directing the cops to keffles' house
378660	382740	with the claim she was going to shoot up city hall, along with an extremely cringe letter
382740	386660	that reads like a person who's never encountered a trans person before trying to write in the
386660	389100	voice of a trans person who hates cis people.
389100	392560	It's pretty clearly a troll op, but I understand the police have to take these things seriously.
392560	396880	The media attention keffles gained from basically lying about all the details of her arrest
396880	402140	eventually ballooned into a $100,000 GoFundMe for keffles' legal fund against the police
402140	404580	department for being the victim of a hate crime.
404580	407800	Kefles moved out of her residence into a hotel, but she posted pictures of the hotel room
407800	408800	online.
408800	410040	Those pictures were reposted on kiwi farms.
410040	414120	People discovered what hotel it was in those pics, and began ordering pizzas to her room.
414120	419000	She moved again, this time to an Airbnb, and her Uber account got hacked to send her food.
419000	423560	After this, she moved to Northern Ireland, where she stupidly posted her location again,
423560	426820	when somebody local to the area who follows these troll communities showed up at her
426820	427820	apartment building.
427820	431680	I really do have sympathy for people who get doxxed, but if you are repeatedly posting
431680	435680	identifiable information after it happens multiple times, then it's either one of
435680	436680	two possibilities.
436680	439960	One, you're incredibly, ridiculously fucking stupid.
439960	444440	Or two, you actually want this to happen, because maybe you love the media attention.
444440	446200	Maybe it's good for your channel.
446200	450020	Maybe you've got a fundraiser for legal fees that's funding a two-month vacation
450020	451160	to Northern Ireland.
451160	455160	What you don't do, though, is start setting up an IRL streaming backpack, unless you're
455160	458680	actually trying to monetize these people who are following you around, which requires that
458680	460200	they don't lose your trail.
460200	463400	Anyway, Kefles is claiming that this all comes from Kiwi Farms.
463400	464400	And fair enough.
464400	467880	When Kefles posts her hotel room to social media, and then it gets posted to Kiwi Farms,
467880	470240	and then suddenly pizzas show up, there's a missing link there.
470240	474160	There's nobody in the Kiwi Farms Kefles thread screaming, I am the one who ordered the pizzas,
474160	476560	but it's a reasonable assumption that somebody there did it.
476560	478920	The question has to be asked, though, whose fault is it?
478920	481960	I mean, it's clearly the fault of the guy who did the ordering, obviously.
481960	485560	But is it Kiwi Farms' fault for hosting the images that Kefles herself made public?
485560	486560	I don't think so.
486560	489840	I don't intend for anybody to do anything whenever I publish a video.
489840	493080	In fact, I explicitly say, don't bother the people I'm talking about.
493080	496360	But if one of you listening decides to be an idiot and go against my wishes, is it my
496360	497360	fault?
497360	498420	No, of course not.
498420	500360	Because I'm me, and you're you.
500360	504380	Taking Kiwi Farms down doesn't mean the individuals who are actually responsible have vanished
504380	505420	off the planet.
505420	507880	And yet, Kefles moved to take Kiwi Farms down.
507880	511800	Following the trending hashtag, Drop Kiwi Farms, they started by targeting Cloudflare,
511800	513760	the domain register for KiwiFarms.net.
513760	518160	Cloudflare initially resisted, saying it would set a bad precedent for a private corporation
