start	end	text
0	9480	Yes, I must admit, I am a Linus Tech Tips cuck.
9480	13880	The politics of his employees are insufferably progressive, while Linus himself doesn't
13880	16920	seem to understand politics beyond surface level Good Things Good.
16920	18840	But darn it, his videos are actually really fun.
18840	22360	I'm a tinkerer and a tech head myself, so I'm pretty much the target audience for
22360	23640	most of the stuff he puts out.
23640	27140	However, I don't have the time to watch his podcast, The Wan Show, so I tend to only
27140	28840	check out the clips that really interest me.
28840	32760	And this one, Never Build a PC for Family, really interested me.
58840	62360	Okay, so here's the situation.
62360	68200	I built a PC for someone back in… wait, this can't be right.
68200	70200	I think I know who this is.
70200	74240	Okay, well, whatever, it was a while ago, it was a couple months ago or something like
74240	75240	that.
75240	79600	In February, early February, I get a message, I'm just wondering how to get my monitor
79600	83240	to 144 hertz, because apparently it's 60 right now.
83240	90800	I kind of go, all right, it was definitely at 144 when I gave it to you, which is all
90800	92440	I care about.
92440	100640	This is one of those situations where the PC wasn't free, but it was very not retail,
100640	103580	if you know what I mean.
103580	108700	There was some wheeling and dealing that happened to make sure that this person who was a family
108700	114580	friend definitely got something a lot better than they would have walked out of Best Buy
114580	115580	with.
115580	116580	Sure.
116580	120300	So as far as I'm concerned, I have done my good deed already.
120300	121780	Business over, yeah.
121780	125680	Our transaction is now complete.
125680	128380	So I kind of go, are you using HDMI or DisplayPort?
128380	130900	HDMI may be stuck at a lower refresh rate.
130900	131900	Basic troubleshooting.
131900	132900	Yep.
132900	133900	I don't know what that means.
133900	135900	Sorry, how can I check?
135900	139140	And I kind of go, you're going to have to look up how to check.
139140	140140	Use Google.
140140	141140	Okay.
141140	143260	All right.
143260	148160	Two weeks later, I've been having problems connecting my headset mic.
148160	149660	When I checked, it's not registering.
149660	151020	It doesn't say the model of headset.
151020	152660	Here, I'll show it to you screenshot.
152660	154340	I'm like, I don't know.
154340	157420	If I was in front of it, I might be able to figure it out, but you might just have to
157420	159100	find some troubleshooting guides.
159100	168700	I get no fewer than 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12 messages over the next three
168700	171500	days.
171500	179420	That go as far as, okay, I really think this is urgent.
179420	180420	Please reply to this quickly.
180420	183780	I can't do anything on my PC.
183780	194760	I'm sitting here going, what's my incentive to do a favor for anyone at that point?
194760	198100	If you're anything like me, you've probably experienced this too, back when you lived
198100	199100	at home.
199100	202420	The minute you reveal that you know anything about technology, suddenly you're the one
202420	206300	on the hook doing free work for every single person in your extended family.
206300	209020	Oh yeah, my son's really good with computers.
209020	211220	I see him playing video games all the time.
211220	214740	Of course he'll come over and set up your laptop and your home network with your printer
214740	216980	and your TV's new surround sound system.
216980	219900	Second cousin we see like once a year, he'd be happy to do it.
219900	222640	No payment required.
222640	226760	And of course, if anything goes wrong, even 10 years later, it's your fault.
226760	227760	You screwed it up.
227760	230300	They're completely right to be angry at you because you were supposed to handle it.
230300	233860	No, it couldn't be all the fucking viruses they installed on their machine, from going
233860	238620	to porn sites or installing the new episode of the latest boomer TV show, .exe.
238620	239620	It has to be you.
239700	241780	Heaven forbid this happened to you when you were a kid.
241780	245380	Boomers always believed that a family computer couldn't possibly be fucked up by all the
245380	248200	weird toolbars and bonsai buddies they installed.
248200	250260	It had to be the fact that you were playing video games on it.
250260	254020	I even experienced the weirder, lesser known variant of this.
254020	257660	The idea that playing console games on a TV would damage the TV.
257660	259220	It's just a picture signal, dude.
259220	260580	How the hell is it any different from cable?
260580	262220	But these are all millennial stories.
262220	265980	And we're old people now, apparently, complaining about how people even older than us used to
265980	268700	treat us with regards to new technology back when we were kids.
268780	271300	And there's sort of a through line here with technological advancement.
271300	274740	Since I would guess the start of the industrial revolution, no we're not talking about Uncle
274740	278820	Ted today, the rate of technological change has been significantly faster than before.
278820	282540	In the before times, you might have had to get used to a new innovation like once a generation
282540	286900	or something, when somebody invents a slightly better medieval weapon or a way to use a draft
286900	287940	animal or some shit.
287940	292500	But once we started using science to build machines to accomplish jobs for us, the paradigm
292500	295580	of labor has completely changed every generation.
295580	299620	This necessitated each person acquiring a completely new set of skills than even what
299620	303620	their parents had learned, and each generation having a completely different sense of what
303620	305780	should be considered common knowledge.
305780	306900	Music is an obvious example.
306900	310340	Back in the day, you had to have people who could actually play music right there if you
310340	311340	wanted to hear it.
311340	314300	In 1896, the pneumatic piano player was invented.
314300	317180	You know what I mean, that piano with the cartridge in the front with a roll and a bunch
317180	319900	of notches in it, where when you activated the machine, the roll would feed through the
319900	322780	device and the notches would trigger mechanisms to play the piano on its own?
322780	325600	With this invention, you didn't need somebody present to actually play the piano.
325600	327700	You simply needed the roll with the song that you want.
327700	329820	You install it in the piano and then let it play itself.
329820	334220	The record player was invented earlier as the phonograph in 1877, but the quality of
334220	338620	music it produced was far inferior initially, and the first records were made out of tinfoil,
338620	340460	not wax, making them extremely fragile.
340460	344500	It only really began to take off after the tech improved enough in the early 20th century.
344500	347900	Now you don't need a whole-ass piano playing a giant reel, you need your turntable and
347900	348900	a record.
348900	353720	Story goes for the 8-track, the cassette, the CD, the MP3, and now streaming services.
353720	358540	Each one is a new way of saving a prior musical recording for future consumption, divided
358540	363220	by generation, and the knowledge required to use, appreciate, and create each medium
363220	366260	is, for the most part, specialized to that generation.
366260	370180	This same divide exists with pretty much all entertainment media, movies, shows, games,
370180	371180	books.
371180	374300	It exists with vehicles, it exists with fashion sense and food taste and employment.
374300	378220	Hell, my parents still struggle with their own smart TV, and I'm regularly employed
378220	381540	to set up whatever movie we're watching whenever I visit, even though I rarely go
381540	384620	back to my hometown and they know they're set up way better than I do.
384620	389100	A core component of modernity is the rate of technological advancement is so fast that
389100	393500	the previous generation's knowledge and rules about how the world is becomes obsolete
393500	398040	much faster than before, hence the phenomenon of my generation running rings around our
398040	399840	parents with computers and the internet.
399840	404260	The millennial experience is one of actually getting away with shit online when we were
404260	407860	kids, from pirating TV shows or games on the family computer, to downloading porn on a
407860	411020	file-sharing program when you're really too young to be watching porn.
411020	414500	Parents always have their values and their rules, and kids always chafe against those
414500	416140	values and rules as they get older.
416140	417140	That's pretty normal.
417140	420320	But technology gave kids the decisive victory in that fight.
420320	423660	What hope do parents have about smarting their kids on the internet when they can barely
423660	426540	set up the speed dial on their first non-rotary phone?
426540	430540	However, what Linus is talking about here actually isn't about helping an older relative
430540	431540	with new technology.
431540	433340	It's about helping a younger one.
433340	434340	Yeah, seriously.
434340	435340	Listen to this.
435340	439980	I feel like this is one of those, am I the a**hole things, right?
439980	445260	For basically just saying, so my response to this wall of text is, sorry, I really can't
445260	446380	dig into issues like this.
446380	449100	If there's a problem, you'll have to shut it down for now and take it to a computer
449100	450100	shop.
450100	451880	Or you can try and fix it yourself.
451880	455980	I didn't have anyone to help me troubleshoot and things usually worked out okay.
455980	458760	Tongue, smiley face.
458760	463680	A little bit of sass on the end, a little bit of unnecessary sass on the end.
464360	465360	Here's the thing.
465360	466360	I mean, okay.
466360	468000	Have you, have you read these articles?
468000	472900	And I've heard anecdotally from some, a couple of people I've talked to this about recently,
472900	477000	one who's a teacher and one who worked in an office.
477000	480820	And I've read articles about this too, that apparently the younger generation in spite
480820	486880	of growing up with computers is entering the workplace with fewer functional computing
486880	487880	skills.
487880	491640	They grew up with less computer problems because things worked more often.
491640	494180	So that's the thing, right?
494180	496200	Is this just tough love?
496200	497800	That's that's what I thought I was doing.
497800	500840	Like, look, no, if you want to solve this, if you want to play video games, I didn't
500840	503460	want to pry, but is this a younger person?
503460	504460	This is a younger person.
504460	505460	Yes.
505460	506460	So I got that vibe.
506460	507460	Yeah.
507460	511560	And in that case, I mean, I, it seems more fair.
511560	512560	I don't know.
512560	515920	Cause I mean, realistically, what do young people even do?
515920	517640	Honestly, you're done.
517640	521400	You're done your obligations for the day by like three o'clock.
521400	522400	Is that when school ends?
522400	523400	I don't even remember.
523400	524400	Yeah.
524400	525400	So figure it out.
525400	530440	Like, I, I, I'm not trying to be a jerk about it or anything, but that was how I learned.
530440	534760	The only reason that I'm doing this today that I know any of this stuff is because I
534760	540200	was highly motivated to fix my computer because I wanted to play video games.
540200	544320	This is something that I think I've intuitively known for a while, but it's weird to finally
544320	545640	hear somebody else say it.
545640	550280	The trend of younger generations being acclimated to newer technology and running circles around
550280	553160	older generations with it has seemingly been broken.
553160	555920	Zoomers actually do have less tech skill than millennials.
555920	558080	I think Luke's explanation is partially true.
