start	end	text
0	9740	The last video was all about the train wreck that is Santa Inc, go watch that if you missed
9740	10740	it.
10740	14340	One of the best barometers of just how bad Santa Inc is, and this also works for the
14340	18660	Star Wars sequel trilogy, for the cowboy bebop live action remake, ghostbusters 2016, or
18660	23560	really any shitty woke modern retelling of a classic story, is the ratio it got on Rotten
23560	24560	Tomatoes.
24560	28900	Rotten Tomatoes is a website for movie reviews founded in 1998, boy looking at this brings
28900	29900	back memories.
29900	33880	It was meant to be a place where anybody could log in and leave reviews of any movie, following
33880	38940	in that late 90s and early 2000s trend of internet services as democratizing cultural
38940	39940	forces.
39940	42740	The system is easy enough to understand, there's a series of professional film critics who
42740	44580	contribute to a film's fresh score.
44580	50560	A total average score of 60% or higher indicates a fresh film, 59% or lower a rotten one.
50560	56860	A certified fresh score indicates 70% or higher with at least 80 reviews and 5 from top critics,
56860	58140	whatever that refers to.
58140	60400	Meanwhile the audience score is more simplistic.
60400	63700	The audience can't rate from 0 to 100, but from 1 star to 5.
63700	68460	A full popcorn bucket means that more viewers rated the film 3.5 stars or higher, and an
68460	72980	empty popcorn bucket means that more viewers rated the film as lower than 3.5 stars.
72980	73980	Seems real simple right?
73980	74980	What could go wrong here?
74980	78460	Could it be that given enough time and political interest, the creator class and the audience
78460	82340	class would have diverging interests, leading to those two scores representing entirely
82340	83740	different things than advertised?
83740	86080	I mean it's 2021 so yeah that's exactly what happened.
86080	90360	The critical score seems to be balanced heavily in favor of left-leaning politics, and that's
90360	93800	no surprise to me, it makes sense that a more left-leaning person would have the personality
93800	95880	type that draws them to professional film critique.
95880	99960	But that doesn't mean that the audience score is a mirror of that, being heavily balanced
99960	101960	in favor of right-leaning politics.
101960	105520	In fact the audience score seems to be more balanced in favor of the apolitical.
105520	109700	Leftists, rightists, and centrists all have access to the audience score, and I'm not
109700	112400	surprised that a more neutral take would shake out of that.
112400	116520	So when you see a film that has a high critical score but a low audience score, your best
116520	120720	bet is that it's a bunch of woke garbage that explicitly pushes a prog message to the
120720	121960	detriment of quality.
121960	126040	While if you see a film that has a low critical score but a high audience score, it's either
126040	130180	explicitly anti-woke, which is kinda rare nowadays, or more commonly it's a series
130180	134060	that has ducked the revisionist trend as of late and held off in the politics in order
134060	136300	to create a more authentic experience.
136300	140540	Also keep in mind that this effect can still take place even if the film itself is apolitical.
140540	145060	If a writer, director, or actor makes a very public political statement, or finds themselves
145060	148860	in some kind of controversy online, then this effect will still happen, and it can bend
148860	150860	either way, left or non-left.
150860	152180	Here let me show you some examples.
152180	156100	Let's begin with Santa Inc, that godforsaken series that's kicked off my dive down this
156100	157100	rabbit hole.
157100	160260	Yep, it's still at a 4% audience score and no critical reviews.
160260	163180	Not even the establishment is trying to prop this dumpster fire up.
163180	167080	Back in 2019 it was a bit of a controversy that film critics were shitting all over Rambo
167080	171200	Last Blood, before Rotten Tomatoes even opened up the movie for audience voting.
171200	176800	This massively enlarged prostate of a film can only make you wince with its badly acted
176800	183460	Geronto ultra-violence, its Trumpian fantasies of Mexican rapists, and a hilariously insecure
183460	188980	US border, and its crass enthusiasm for rape revenge attacks undertaken by a still-got-it
188980	192720	senior dude 73 years young on behalf of a sweet teenager.
192720	198140	Gabriella falls prey to a Trumpian array of bad hombres, including a pair of central-casting
198140	200040	cartel sex slavers.
200040	204680	Rambo has long been a symbol of imperialistic rage, and Last Blood is no exception.
204680	208520	Transplaining the action to Arizona provides the natural setting for a border drama that
208520	212560	plays into Trump-era fear-mongering, right down to its ominous shot of a border wall
212560	215160	as Rambo heads south in search of justice.
215160	216160	Trump Trump Trump.
216160	217920	Jesus, I forgot what things were like during the Trump era.
217920	221600	I wonder if these idiots are all still screeching about Trump nowadays, especially considering
221600	224920	that the reality of the situation on the Mexican border occasionally turns out to be
224920	226760	exactly like the movie.
226760	232180	Nowadays, Rambo Last Blood has a 26% from critics and an 81% from audiences, almost
232180	235240	like the screeching outrage of the progs only made people like it more.
235240	237540	But it could also be more simplistic than that.
237540	240280	Sometimes people genuinely like simplistic movies, or even bad movies.
240280	246160	And I don't mean in an it's-so-bad-it's-amazing kind of way, like The Room, Troll 2, or Birdemic.
246160	249880	These movies generally end up with extremely low critic scores, with audience scores that
249880	251040	are all over the map.
251040	255480	Consider that The Road to El Dorado, A Goofy Movie, Hook, and Jumanji are all movies that
255480	259240	are just sort of okay, but nonetheless have a lot of nostalgia attached to them.
259240	263160	I'm not surprised that the audience score is higher based on love of the idea of The
263160	265360	Thing rather than the quality of The Thing itself.
265360	266800	You know the new Batwoman show?
266800	270800	One where they made her black for political reasons, and the costume design looks so shit
270800	275640	that the Batwoman porn parody had better costumes, and the director of said porn laughed at the
275640	276640	show about it?
276640	279600	Yeah, we've got an 80% from critics and a 16% from audiences.
280160	283800	I don't know if the show is actually good, probably not, but even if it was, public disrespect
283800	287620	for the source material by the creators is another reason for audience backlash.
287620	291840	You can see similar trends for stuff like Sausage Party, Ghostbusters 2016, The Last
291840	293380	Jedi, and Captain Marvel.
293380	297520	It turns out people don't want to eat shit, no matter how much the reviewers polish that
297520	298520	turd up.
298520	302680	In recent years, the various scores on Rotten Tomatoes have actually proven to impact a
302680	306720	film's success or failure, to the point that studios have begun to take notice.
306720	310120	There's been complaints from a whole bunch of different people about how movies are flopping
310120	312440	due to having a bad score on Rotten Tomatoes.
312440	314660	The answer to this, of course, is to make a better movie.
314660	318280	But Rotten Tomatoes itself has had its own share of controversies over the years.
318280	322360	Back when Joker came out, people noticed that a 3 out of 5 rating for the film was given
322360	326640	a Rotten Icon, but other movies around the same time, given the same rating, were given
326640	327640	a Fresh Icon.
327640	331840	The person who posted the reviews in question didn't know why it looked that way, and
