start	end	text
0	17760	So, I've been playing Elden Ring on the gaming channel with my editor and lackey Dave recently.
17760	19880	Yeah, that thumbnail's a work of art, I know.
19880	22000	The comment section is right down there, tell me about it.
22000	23000	And you know what?
23000	24000	It's actually a pretty good game.
24000	27760	The combat is exactly the way that a Souls-like game should be, though to be honest, the summons
27760	29880	make things a bit too easy sometimes.
29880	34160	The dungeons you can find throughout the game feel exactly like an area in Dark Souls.
34160	37620	The bosses all have that same feel, the lore, it's all just great.
37620	41160	The addition of an open world feels a bit disjointed, I'm not going to lie, but for
41160	43060	what it is, it's done very well.
43060	47300	Open worlds in games always feel empty, because, well, they are.
47300	51240	The reason most open world games are set in a post-apocalypse is because it's an easy
51240	54440	excuse to not fill the world out with people and stuff to do.
54440	57960	Don't get me wrong, games like Fallout or Breath of the Wild have stuff to discover
57960	62920	in their sandboxes, and those are great games, but generally open worlds, due to this emptiness,
62920	66060	make the player feel like they're actually the last person on Earth, running around a
66060	67960	depopulated landscape.
67960	70160	Sometimes this fits the setting well, like with Fallout.
70160	73060	Other times it goes against the conventions of the franchise, like Zelda.
73060	75320	But with Elden Ring, it's a perfect pairing.
75320	79400	Souls games, lore-wise, always have this general idea that you're fucked.
79400	81160	The entire world's fucked, and you've got to fix it.
81160	85840	The land has fallen into decay, the civilization is crumbling, and the few friendly creatures
85840	89360	that are still left are just subsisting within its rotting corpse.
89360	91560	The only hope is that you can rejuvenate the whole thing.
91560	94800	It's not like Fallout, where the land might be fucked, but there's a lot of good healthy
94800	95800	people still running around.
95800	99200	It's not like a zombie setting, where the people are fucked, but infrastructure is still
99200	100920	kind of intact, at least at the start.
100920	105920	In Souls games, the story generally is that reality itself is fucked on some fundamental
105920	106920	level.
106920	110560	Everyone and everything is cursed, including yourself, but you need to march on if there's
110560	112060	going to be any hope of fixing it.
112060	115120	The open world of Elden Ring perfectly compliments this feeling.
115120	119520	The UI is sparse, no quest log, no mini-map, a compass of only limited usefulness.
119520	123120	You're dropped into the world with a general idea of where to go, Stormveil Castle, and
123120	128400	the most direct route, while nearby, is guarded by a punishingly hard boss, Margit the Fel.
128400	131520	If you're good at the game, you can beat him right out the gate, but the game expects you
131520	132740	to search the area.
132740	137040	There are bosses right out in the open, like that mounted golden knight guy or the dragon
137040	141500	you fight on horseback, that drop a lot of experience, as well as unique powerful items.
141500	145760	There are also mini-dungeons to discover and explore, not marked on the map, containing
145760	147900	treasure and the opportunity to get stronger.
147900	149700	In other words, the game doesn't hold your hand.
149700	153460	It gives you a goal that you probably can't accomplish, a world full of things to discover
153460	157860	that will incrementally move you closer towards that goal, and then says, have at it.
157860	162220	That type of game design really helps hammer home the everything and everyone is fucked
162220	164180	feeling from this genre of game.
164180	169540	So is anybody surprised that the NPCs who make up Western game development raged at
169540	172700	Elden Ring's success, and at the gamers who enjoy it?
172700	175840	Here is a public conversation on Twitter between several developers.
175840	180340	One of them is an Ubisoft dev, another is a programmer, and the third one is from Guerrilla
180340	182460	Games, the people who made Horizon Zero Dawn.
182460	187660	The fact that Elden Ring scored a 97 on Metacritic is proof that reviewers don't give a flaming
187660	193280	poop about game user experience, nor PC graphics stability and performance apparently, nor
193280	194600	quest design really.
194600	198540	This exchange went viral because it showed just how out of touch these people are with
198540	200620	what gamers actually want.
200620	205100	Somebody made this mockup of what these people think a good user experience is, and this
205100	208060	looks exactly like the trash these people put out.
208060	212580	The screen is cluttered with shit, constant popups and alerts of nearby objectives or
212580	217100	quests, button prompts are everywhere, the character uselessly narrating to nobody, and
217100	219000	of course, microtransactions.
219000	222220	This was the kind of thing we memed about on V over a decade ago.
222220	223540	No really, this was the meme.
223540	227100	The guy from Guerrilla ended up locking his account over the whole thing, because he really
227100	231420	showed his ass in this conversation, worse than when he made Alloy look like Nakato Avocado.
231420	235840	The original poster, meanwhile, also stated that the user experience is generally awful,
