start	end	text
0	10280	Oh boy, it feels like I've been asleep for, um, how long?
10280	11480	Asleep for five days.
11480	13480	Yeah, sorry about that.
13480	18200	While I slept, Biden's 2022 State of the Union went down, and I want to talk about
18200	19200	it a little bit.
19200	22960	For those of you not in the know, somehow, the yearly State of the Union comes from Article
22960	26340	2, Section 3, Clause 1 of the US Constitution.
26340	30460	The President shall, from time to time, give to the Congress information of the State of
30460	34780	the Union and recommend to their consideration such measures as he shall judge necessary
34780	35780	and expedient.
35780	39900	Notice that it says from time to time and not yearly, but at this point it's become
39900	43700	traditional that the State of the Union speech happened once a year, generally sometime in
43700	45220	the first couple of months.
45220	50300	Some notes of the first State of the Union from 1790 still survive, but for over a century
50300	56060	until 1913, the State of the Union was a written letter read off by a clerk, not a speech.
56100	60840	As Americans, being reasonably anti-monarchy in their sentiment, tried to distance themselves
60840	64500	from the similarly-purposed British tradition, the speech from the throne.
64500	68540	But when radio became the next big thing, people recognized the value in actually hearing
68540	69780	the President speak.
69780	74820	And so, it's become a broadcast event ever since, transitioning to TV and later internet
74820	75820	streaming.
75820	79380	I'm providing this context to make a point, despite that anti-monarch sentiment that the
79380	84140	Americans are attached to, there's still a lot of pomp and ceremony surrounding the State
84140	85140	of the Union.
85140	88300	There's a certain level of decorums expected during the event, more so than a normal day
88300	89300	in the house.
89300	92420	Every time you watch a State of the Union and there's a large pause in the speech, and
92420	97420	there's like 30 seconds of applause, yeah, it drags out what should be a half-hour talk
97420	99060	to sometimes over an hour.
99060	100820	But the spectacle of it is the point.
100820	104220	On the Wikipedia page for the State of the Union, a passage regarding the applause reads
104220	105220	as follows.
105220	109520	The applause is often political in tone, with many portions of the speech being applauded
109520	111780	only by members of the President's own party.
111780	116220	As non-political officeholders, members of the Supreme Court or the Joint Chiefs of Staff
116220	120020	rarely applaud in order to retain the appearance of political impartiality.
120020	123580	In recent years, the Presiding Officers of the House and the Senate, the Speaker and
123580	128100	the Vice President respectively, have departed from the neutrality expected of the Presiding
128100	133420	Officers of Deliberative Bodies as they, too, stand and applaud in response to the remarks
133420	136300	of the President with which they agree, citation needed.
136340	142940	Well, while I was in my, um, recent malaise, I decided to challenge this citation needed,
142940	146060	and see for myself, by watching past State of the Unions.
146060	149460	Uh, a lot of past State of the Unions.
149460	152320	Sometimes I wish my brain would allow me to work on things properly, you know?
152320	155900	A consistent thing in older State of the Unions is that everybody applauds when the President
155900	156900	first comes in.
156900	160400	Doesn't matter whether it's your party's guy or the other party's, including, generally,
160400	164180	those Presiding Officers who are expected to maintain some impartiality.
164180	168460	But historically, after that, they actually didn't applaud during the speech when the
