start	end	text
0	12000	As far as I can tell, there's two types of responsibility, or maybe it's more accurate to say there's two layers of responsibility.
12000	18000	The first is the responsibility of doing what's expected of you, what a normal person would do in any given situation.
18000	23000	The second is the responsibility of doing what is required to handle the situation, regardless of anything else.
23000	29000	Let's call the first layer generic responsibility and the second final responsibility.
29000	33000	Here's an example. Let's say your house is on fire. What would a normie say your responsibility is?
33000	40000	Well, one, to get out of the house. Two, if possible, bring other people inside out of the house too, but not if the fire is too big.
40000	45000	And three, calling the fire department. What's the responsibility of the firefighter to put the fire out?
45000	53000	From the normie perspective, you as a regular person do not have the responsibility of ultimately stopping the fire or even undertaking huge risks to save others.
53000	57000	Your responsibility is to stand clear and alert the authorities. That's it.
57000	60000	Now let's say the house fire spreads and destroys other people's homes.
60000	66000	Assuming that you didn't start the fire yourself and assuming that you got yourself and your family out and then called the fire department,
66000	72000	nobody reasonable would consider you responsible for the disaster, even though you didn't chip in and physically fight the fire yourself.
72000	77000	But they might hold the firefighter responsible for the spread if he was negligent in his duties.
77000	83000	After you've called the fire department, your main responsibility is fulfilled, but the firefighter has to handle the situation.
83000	88000	There's nobody he can call, no higher authority he can appeal to. He's the authority. He's the one who has to do the job.
88000	96000	Of course, he can call for backup if he needs it, but it's the difference between somebody's responsibility being to alert the authorities and somebody's responsibility being to handle the situation.
96000	104000	A regular person might yell for Superman to come save him, but there is nobody for Superman to yell at himself. He has to do the job of saving.
104000	109000	For you to have generic responsibility, final responsibility has to be vested somewhere else outside of you.
109000	112000	After all, you can't call the authorities if there's no authority to call.
112000	118000	And of course, this arrangement applies to more than just house fires. When we were children, this sometimes made sense.
118000	124000	We all remember a situation where we had to appeal to our parents to be a decision maker rather than work something out ourselves.
124000	127000	We all remember being told not to fight bullies but get a teacher instead.
127000	134000	But as you get older, this logic starts to sound off. Don't own guns, just call the cops. Don't try to fix your stuff, just buy new stuff.
134000	138000	Don't risk it all and open a business, just collect a paycheck from somebody else.
138000	141000	Don't go through the headache of purchasing property, just rent it.
141000	146000	Don't have final responsibility for your life, just settle for generic responsibility.
146000	150000	Like a lot of stuff we talk about on this channel, it's obvious where this paradigm applies to leftoids.
150000	153000	But that doesn't mean that rightoids are immune to it.
153000	159000	Every time a traditionalist or religious person makes an appeal to culture or God, there's a good chance they're putting themselves in the same position.
159000	166000	The authority they appeal to doesn't have to be a person. All it has to do is bind your reasoning such that you end up neutering your own sense of responsibility.
