start	end	text
0	8740	Answer? Me. There, I beat you to it.
8740	12640	People throw the word grifter around a lot, so I figured it's probably best to actually
12640	16620	talk about what it means. From a historical point of view, the root of the word comes
16620	21820	from graft, which appeared around the 15th century in botanical context. You know, like
21820	26940	grafting plant shoots and such. Through the botanical influence, by the 19th century,
26940	31520	the maximum amount of soil you could dig up with a shovel or a spade in one scoop was
31520	36680	known as that tool's graft. And shortly thereafter, the act of digging was known as
36680	39880	grafting. This later generalized to any kind of hard work.
39880	46360	By 1865, graft was considered a slang term for obtaining profit or advantage by dishonest
46360	52460	or shady means, especially bribery, blackmail, or the abuse of a position of power or influence.
52460	57160	The shift from honest hard work to dishonest tactics that nonetheless still may require
57160	62540	hard work to pull off is also attributed to the term's origin in botany. Grafting techniques
62540	67940	of that era often created excrescences in the plants, an excrescence being a distinct
67940	72780	abnormal outgrowth of a living organism that is malformed or diseased in some way. The
72780	77680	implication is obvious. While a graft may require as much effort as honest work, it
77680	82320	is not actually honest work. By the turn of the century, grift was considered a diminutive
82320	87060	form of graft, which is commonly done in the English language by replacing a word's
87060	92240	vowel with the letter I. A grafter was considered to be somebody who engages in political corruption,
92240	97360	and a grifter was a small-time confidence man or a carnival swindler. And while grafters
97360	102360	usage in this way has fallen out of popularity, mingling with its botanical and hard-working
102360	106920	variants, grifter has remained to the present day. It currently refers to a person who is
106920	111900	willing to say or do anything to make money, but not in a positive, hard-working context,
111940	116440	but rather in a negative, dishonest context. They have no problems with lying, cheating,
116440	120360	or stealing. They will say things that they explicitly know to be false, or they will
120360	125040	completely abandon the idea of consistency in their pursuits. To be a grifter, it helps
125040	129200	to be a sociopath, but it's not exactly necessary. You just have to know how to manipulate
129200	133140	people and to make them think they want to give you their money, at least long enough
133140	136640	for them to actually give it to you. Boy, I knew that English degree would pay off one
136640	140080	day. Hit up my subscribe store if you want to help me pay for it. Unless you actually
140080	143620	consider me a grifter, then I guess it's okay. But that's the rub, isn't it? If
143620	147760	I were a real grifter, and as part of the grift I was trying to create a reputation
147760	153040	based on honesty and voluntary action, I would say things like, here's my donation, Lynx
153040	156480	guys. You don't have to donate if you can't afford it, though. Who knows if I'm being
156480	160540	compassionate towards my viewers, or I'm just cultivating an image of compassion in
160540	163860	order to get paid without actually meaning it. Who knows what level of the game each
163860	167780	of us are playing at? And the truth is, you can't really know. A perfect grifter will
167780	172000	never let you. Nowadays, if you hang around political YouTube, you'll notice the terms
172000	176820	grift or grifter tossed around quite a bit. There's a commie channel called The Serfs,
176820	180300	fitting name considering that's where their ideas lead, that really seems to love those
180300	185040	terms. Let's analyze a few examples. It's simultaneously hilarious and rage-inducing
185040	188860	that anyone threw money at this grift, said in reference to the Lincoln Project, which
188860	192880	is an organization that appeals to the broader left and Democrat voters for donations in
192880	197480	order to combat Trumpism from a rightist position. They did so by supporting Republicans that
197480	203100	— while they were anti-Trump — were still not Democrats or leftists. Are these people
203100	207780	grifters? I mean, maybe. They did take money from left-leaning sources who were too dumb
207780	212140	to think beyond orange man fascist, and never really made it clear where that money was
212140	216580	going until they started endorsing anti-Trump Republicans. Just a friendly reminder that
216580	221120	the free marketplace of ideas is a complete grift, said in reference to Dave Rubin blocking
221120	225120	them over some Twitter trolling. I don't really know about Dave Rubin being a grifter,
225120	229420	although Joe Rogan seems to think he is nowadays. Kanye was the wrecking machine, but I actually
229420	234220	think, I think in the grand scheme of things, Candace is much bigger. I really believe that
234220	235220	in terms of —
235220	236220	Why?
236220	239700	Because I think she could be a direct line to all of the political parts of this if she
239700	243940	decides to go that route, because I think she could, I think she could run for Senate
243940	244940	or —
244940	245940	What?
245940	246940	Yeah.
246940	247940	You said you watched the podcast I did with her.
247940	248940	Yeah.
248940	249940	Okay.
249940	250940	Yeah. I watched, I don't know, maybe at least an hour and a half of it or so.
250940	251940	Okay.
251940	252940	Yeah. Why?
252940	253940	Why what?
254760	256760	I don't know. Why are you saying it that way?
259760	263680	I mean, I don't want to name any names, but there's a bunch of people that do it blatantly.
263680	267840	You see them, and I've even seen them switch teams, and you see them switch teams, and
267840	271680	I don't buy their rationalizations when it comes to ideology. What I think is what they're
271680	275240	doing is they're switching teams because they realize there's an in on this team.
275240	276240	Right.
276240	279040	And they can just say, this is the problem with the team I used to be on, those fucking
279040	284980	losers, and they're really Benedict Arnold, right? And like, they probably have as much
284980	289620	of an affinity to the ideas of one side as they do the other side. They just go all in
289620	292020	on one side to get acceptance from the group.
292020	296740	Will you go on Joe Rogan's podcast, and will you have Libertarian presidential VP candidate
296740	301640	on your show before the election? Will I go on Rogan's podcast? I asked him, and our PR
301640	307300	people asked him about a bajillion times to go on for my book. We did not get a response
307300	312200	as far as I know, so I don't know what happened there. A little weird for me to say that publicly.
312200	314600	I don't know what happened.
314600	320880	Even if you disagree with the way people feel about so many different things, it doesn't
320880	326280	mean you can't be their friend. It doesn't. And I'm telling you, we got it wrong. Here's
326280	332200	what's important. What's important is whoever that person is, they got to be sincere. Now,
332200	337660	as soon as you feel like someone's a grifter, you got to cast them out. You got to cast
337660	341700	them out, because they got to figure that out on their own, and they got to apologize.
341700	346620	That's cool, man. You got, listen, you can be wrong, but you have to be honest. And if
346620	349700	you're just bullshitting, then I can't hang out with you.
349700	354220	And I got to say, it is kind of funny to see Lance regurgitate a repainted, so much for
354220	358220	the tolerant left style argument. So your platitudes were utterly meaningless and you
358220	363080	were a grift all along, thanks for clearing that up, said in anger out of Andrew Yang
363080	369320	supporting Biden over Bernie. So is making moves out of political pragmatism a grift?
369320	374160	Because that's literally what you and every other breadtuber and nearly every other leftist
374160	378000	ultimately did when you decided you were riding with Biden a few months later. I think it's
378000	382980	probably funniest to juxtapose these two examples, though. The joy of being a leftist is wearing
382980	386960	your values like a badge instead of a grift in response to Tim Pool's assertion that
386960	391420	some moderates are afraid of speaking about their values publicly due to the far left.
391420	396860	And your woke grift is tired when Paul Joseph Watson talks about the dominant religions
