start	end	text
0	9540	Every three months or so, I'll peek back at my Kiwi Farms thread, just to see what's
9540	10540	going on.
10540	12860	And it's usually a whole lot of nothing, because I'm a pretty boring guy.
12860	16580	One person even did the Gotta Hand It To Him thing, which hey, I can appreciate.
16580	19300	But there's one bit there that got the ol' wheels turning.
19300	20380	Check out this interaction.
20380	24100	I feel like this dude exists solely to argue with his own fanbase at this point.
24100	28080	The funny thing is, in the past he has had videos where his opinion was fairly unpopular.
28080	30800	His fanbase argued, but it was never this vitriolic.
30800	33160	At this point, he seems to outright hate his fans.
33160	36200	It's the end of the journey for the Le Superior Centrist Grift.
36200	38840	Sooner than later, his new audience will overlap with Vosch.
38840	42520	It's what happened to Adam and Sitch, geez, tell me you don't watch Adam and Sitch without
42520	43520	telling me.
43520	47680	They might do too many Vosch reactions for my taste, yeah, but I'm not sure Vosch's
47680	50960	audience are all going to be watching dudes who spend half of their total upload time
50960	52280	making fun of Vosch.
52280	56440	I feel like he's regretting staying on the Centrist Grift for this long, and didn't
56440	59480	become a breadtuber a few years back when the pickings were good.
59480	60480	Well, no.
60480	63400	I didn't become a breadtuber for one reason, I'm not a socialist.
63400	64400	Simple as that.
64400	67140	But the important bit is the fighting with my audience stuff.
67140	69320	That has happened a lot recently, eh?
69320	73200	Yesterday's Sip, showing how libs of TikTok were factually incorrect with one of their
73200	76980	claims, that got some people pretty angry in the chat, frankly, irrationally.
76980	79420	Or when Lilith and I covered the Mar-a-Lago raid.
79420	81840	Or when Lilith and I talked to Richie, the detransitioner.
81840	83480	Or that Purity Spiral video.
83520	86960	In total, there may have been a dozen times that my audience has vehemently disagreed
86960	91000	with me so far this year, to the point that we openly argue in the chat or the comments.
91000	92000	And you know what?
92000	93000	That's okay by me.
93000	95960	I don't actually hate you guys, even when we have very strong disagreements.
95960	96960	I'm not spoonie.
96960	99720	I may say you're wrong, I might even call you dumb, but I don't hate you.
99720	101800	I don't want you to leave and never come back.
101800	105160	But I'm also not going to say anything I don't think is true, just to keep you around
105160	106160	either.
106160	109200	At the end of the day, I do value my integrity more than being successful.
109200	111720	This video isn't actually about the Kiwi Farms thing, by the way, they just got the
111720	112720	noggin joggin.
112960	115720	They'll say a YouTuber is going downhill because whenever they reply to criticism in
115720	118980	the comments, they're just coping and seething, and they clearly hate their audience.
