start	end	text
0	6480	Hey guys, Dev here. Work does in fact continue on those Canadian election videos that I was
6480	12240	talking about. However, I am not able to put one out today just because, frankly, they are quite
12240	18080	large projects and I've been working on them a fair bit. I want them to actually be reasonably
18080	22160	high quality when they come out. I want them to be, you know, kind of, I want them to be larger
22160	27280	video essays rather than short one-offs, so I'm going to keep plugging away. But that also means
27280	31760	I didn't really have anything to put out today. So while I was looking at Twitter for updates on
31760	36880	the whole Blizzard boycott Hong Kong protest thing, I noticed that Twitter was actually
36880	43280	pushing this hashtag. It's called Day of the Girl with its own little icon there. Now, I don't know
43280	48320	what Day of the Girl is. Is it International Women's Day? That's probably a different,
48320	54960	it wasn't that like in the spring. I mean, could it be International Girls Day or is Day of the
54960	60720	Girl just a different intersectional holiday than International Girls Day? Is this the Gender Wage
60720	64640	Gap Day? Because we are getting to the point in the year where people like to talk about the
64640	69600	Gender Wage Gap Day where women stop making money because they make less for the same amount of work
69600	73840	or so they say. But I don't think it's any of those. I think Day of the Girl is just the next
73840	78720	new thing that they're pushing. At the same time, they're also pushing for today Coming Out Day.
78720	85040	So it's both Day of the Girl and Coming Out Day, I guess. It's two intersectional holidays today
85040	89440	for the price of one. The very first thing that I see when I click on that Day of the Girl hashtag
89440	99200	is something from Reese Witherspoon retweeted by Bob Chipman. Movie Bob himself. This Day of the
99200	105520	Girl, I'm joining activists around the world and sharing my favorite fierce fictional female. We
105520	110560	need to see more roles like Shiri from Black Panther so girls can dream big. You know that
111600	116560	there were actually female leads in movies, strong female leads in movies,
116560	124240	before the Marvel Cinematic Universe? It's not like pop culture was a wasteland before 2009.
124240	128240	You know that, right, Reese Witherspoon? You know that, Bob Chipman? I mean, it really seems
128240	133280	like everyone's forgotten about Captain Janeway from Star Trek or Sigourney Weaver playing the
133280	137840	lead in Aliens and things like that. Or quite frankly, and I know this labels me as a weeb,
137840	143280	but all of the amazingly strong anime protagonists that are women. Let's keep scrolling here.
143840	148640	Sesame Street. From doctor to journalist to astronaut, girls can be anything they want to be.
148640	152480	Girls are strong, determined, and capable of accomplishing their dreams.
153040	158560	Happy International Day of the Girl. Okay, so if this is like a youth-focused thing,
158560	163040	you think it would also be very important to have like an international day of the boy.
163040	166800	You know, it does seem like boys are doing worse and worse in school all the time. They're getting
166800	171600	more and more medicated. Maybe some kind of positive encouragement for young boys would
