start	end	text
0	8760	I received an Amazon package today, as you sometimes do, and I noticed that the packing
8760	15800	tape was Lord of the Rings, Rings of Power packing tape wrapped around the box.
15800	17800	That's not a good sign, Des.
17800	20140	And I'm just like, oh Jesus, so hold on.
20140	22280	Every package Amazon's sending out.
22280	25740	Because Naomi and I went for a walk today and we saw like packages and like other porches
25740	26740	and stuff.
26740	29540	And I'm not a porch pirate, but I kind of went up because like during the day everyone's
29540	32100	out to work and I'm a lazy YouTuber sitting at home.
32100	34020	So you know, the suburbs are emptied of people.
34020	37940	So I walk up onto this porch of somebody else's house and I just look and it's like here's
37940	41500	Amazon package and it has Rings of Power tape and then here's another one with Rings of
41500	42500	Power tape.
42500	43500	And I'm just like...
43500	48540	Imagine being an OHE making $15.50 and just like your upper up just comes up, okay, now
48540	54820	you gotta use this packing tape and just endless Lord of the Rings, Lord of the Rings, Lord
54820	55820	of the Rings.
55820	60020	I can't think of any other Prime Video show that's done this, where they've just converted
60020	62340	all the Amazon boxes to advertise for it.
62340	66300	I think they did one time before, but I can't remember what it was for.
66300	70780	I remember seeing some advertisement stickers for something on the like the little duct
70780	71780	tape they use.
71780	72780	Normally they advertise...
72780	75300	This is also, this is their big thing.
75300	76860	This is the big thing.
76860	81200	If this fails, they've basically said that Amazon Studios fails, which is why they've
81200	84620	also basically said that they'll do anything to make it succeed.
84620	88100	I don't know if you saw, but there's been two claims I've seen.
88100	94480	One suggested that it had like 1.8 million actual views, but not tracking all devices.
94480	98700	And then Amazon claims that they got 28 million views.
98700	102900	That's one hell of a discrepancy and if you look at the reviews themselves, last time
102900	105820	I checked, I think there was like 10, 12, 13,000?
105820	108220	Hold on, Kibbs, you have it up.
108220	109780	What does it say on yours?
109780	112420	It was like 3.3 or something like that.
112420	113420	Here, hold on.
114420	118620	The Amazon rating is currently at 3.3 out of 5.
118620	119620	Yeah.
119620	121900	And that's out of 13,000 global ratings.
121900	128960	So 25 million views, 13,000 people bothered to give it a rating.
128960	129960	I don't know.
129960	134600	There should probably be more reviews than that, but it kind of feels like, this is just
134600	138700	me being a conspiracy brain here, but it kind of feels like they're only letting through
138700	145660	enough reviews, like approving certain reviews, just to keep the number like above three.
145660	146660	Probably.
146660	152980	I will say on IMDb, the reverse review bombing campaign has, well, it has been gaining ground
152980	157580	over the negative reviews, which is why I keep saying people need to review it.
157580	163200	It's at 6.9 now and this is a genuine cultural battleground.
163200	164660	And here's the reason why we know that.
164700	171820	I don't know if you three have seen this article published by somebody named Stephen Colbert.
171820	173260	It's just a coincidence.
173260	176900	It's not Stephen Colbert, just a coincidence.
176900	183460	This article is, the rings of power viewership numbers proves audience ratings are useless.
183460	184580	I did see that one.
184580	188700	I try to avoid the screen round whenever I can, but I didn't see that title.
188700	189700	Yeah.
189700	190700	Already bracing it.
190700	191700	Yep.
191780	196260	This article, it's promoting, first of all, it's promoting She-Hulk and it's promoting
196260	201260	House of the Dragon and it's promoting the 25 million viewers watching rings of power.
201260	207260	And it's saying basically that all of the places where, where viewers can put in their
207260	213500	own reviews, Rotten Tomatoes, IMDb, Amazon itself, it's all just being review bombed
213500	215260	and the reviews don't matter.
215260	219300	Obviously from their perspective, this is the first step in trying to get rid of reviews
219300	222060	because this is an obvious signal to people.
222060	225860	That's why I keep saying we do need to review it because the norm is just look at the rating.
225860	230380	If there wasn't a rating, the only narrative around rings of power was that anyone who
230380	234420	hates it is a racist and that Amazon had 25 million viewers.
234420	238060	There's also, I've seen varying usage of language.
238060	244180	Like I've seen, for example, they say 25 million or 28 million viewers, not views, which makes
244180	250420	me think like, okay, were there just 25 million people logged into prime at that time?
250420	254300	Or maybe they're, they're like estimating like, oh, well on average, one person's watching
254300	255300	it with someone else.
255300	256300	So that's two viewers.
256300	259340	If there's one click, I guess the last thing to talk about too, before we get into the
259340	265900	video real quick is what they're using to defend what exactly what's happening, a statement
265900	271260	issued by prime video and the cast of the show just straight up said middle earth is
271260	278860	not all white and they refuse to ignore or tolerate harassment and abuse from fans directed
278860	280500	at performers of color.
280500	282180	They're correct.
282180	286580	Middle earth is not all white, but they chose to place their story in the place where there
286580	288540	are nothing but white people.
288540	295100	So they came out and said that Tolkien created a world which by definition is multicultural,
295100	301100	a world in which free peoples from different races and cultures joined together in a fellowship
301100	303140	to defeat the forces of evil.
303140	306620	Our world has never been all white, fantasy has never been all white and middle earth
306620	308820	is not all white.
308820	314860	So I'm just like, that's interesting because that's not canon because the fellowship fails.
314860	315860	That's true.
315860	316860	The fellowship does fail.
316860	320480	So, so they're multiracial, multiethnic, you know, Alliance falls apart.
320480	321480	That's true.
321480	324940	At the same time though, you know, the fact that you had Aragorn and Gimli and Legolas
324940	327660	altogether, that was kind of a unique situation in the lore.
327660	329460	So I get, I get, I get their point.
329460	330460	Fair enough.
330820	337680	That's my point for that, but the overall, you know, story and lore and setting of Lord
337680	342400	of the Rings is that, yeah, it is a multicultural world, but all of these cultures, they kind
342400	349480	of have this desire to remain separate and not be brought under, let's say one, one banner,
349480	355300	one empire, one multiethnic empire, like Sauron's for example.
355300	360580	The thing is too, the focus was never on the cultures or the race.
360580	366300	Like that is a, it is an irrelevancy because it is good versus evil, which is why the men
366300	372220	of the East are portrayed as evil because in the story, that's all they need.
372220	375580	Honestly, Lord of the Rings is kind of like a world full of ethnostates.
375580	381180	Uh, unironically, yes, and after the war ends, it kind of remains that way.
381180	387180	When they reformed the kingdom of Arnor and Gondor, when they combine, uh, King Aragorn
387180	393900	basically grants the Shire as a, a, uh, sovereign state within his new kingdom and also forbids
393900	395500	men from entering it.
395500	399220	It is actually unironically an ethnostate.
399220	404700	So wait, does that mean that we can't go down there and get any, any hubbitusi?
404700	406840	Basically, yeah.
406840	408780	And the problem is always remains also though.
408780	409780	Okay.
409780	410780	All right.
410780	411780	Sure.
411780	412780	Absolutely.
412780	413780	And it was never all one.
413780	414780	All right.
414780	415780	Fine as well.
415780	420060	Uh, why didn't you place your story there then like, why aren't you telling the tale
420060	421060	of the Haradrin?
421060	423640	Uh, some of them might've been resisting Sauron.
423640	424860	You can make this shit up.
424860	430020	You own the rights to it now or in, um, Cund or in Uruun.
430020	431860	Why isn't there any of the story placed there?
431860	432860	Oh, that's right.
432860	434220	Because nobody fucking cares.
434220	435540	That's the hard truth.
435540	440700	And making us care is as the rings of power has demonstrated well beyond the capabilities
440700	442500	of the current show it on us.
442500	443500	Okay.
443500	445780	I think it's time for us to Jesus Christ.
445780	447980	Look at the episodes are getting longer.
447980	451860	One hour, five, one hour, seven, one hour, an hour, 11 minutes.
451860	458020	Holy shit guys finale will be two hours at some point.
458020	465420	Sorry arch, you know, why don't you just let's procrastinate, arch, why don't you just sleep
465420	467300	and get up at like five or something?
467900	471500	Here's me while I lean into my microphone here just for a second.
471500	476940	Oh God, let me just take my headphones out.
476940	480940	Because that'll really fuck up my sleep schedule, Dev.
480940	484100	It was still loud even with the mom.
484100	488220	Wait, what's your normal sleep schedule?
488220	489220	Not good.
489220	490740	And this looked like it was.
490740	493660	Meanwhile, Lilith, you sleep for about 18 hours a day.
493660	494660	Oh my God.
494660	495660	That's not true.
495660	500620	I sleep 20 hours a day.
500620	506100	Lord of the Rings, the Rings of Power, episode four.
506100	507660	What's the title, Gibbs?
507660	508660	The Great Wave.
508660	509660	The Great Wave.
509660	510660	Okay.
510660	511660	That's the plan.
511660	512660	Maybe someone will drown.
512660	513660	That'd be funny.
513660	516500	Maybe it'll be me.
516500	517500	Oh God, a gun.
517500	518500	I wish I had one.
518500	519500	Marshalls.
519500	520500	Wham.
520500	523940	I tried to watch that show there, by the way.
523940	525700	She was like, oh, action show.
525700	526700	That's cool.
526700	527700	It's just porn for women.
527700	532660	And I was sitting there like, I realized that this is what this is.
532660	533660	Oh my God.
533660	535380	They're just undressed men all the time.
535380	536380	Yes.
536380	538980	How come we don't get that for men?
538980	541820	Well, that's because we're misogynists.
541820	544900	But unfortunately I showed my mother the first episode and she said, this is a very good
544900	545900	TV show.
545900	546900	I was like, mm-hmm.
546900	547900	I guess.
547900	554460	God, I hate that fucking plot twist so much, by the way.
554460	556460	Should I get your map?
556460	557460	Just a map of Mordor.
557460	558460	Where?
558460	560940	A fucking orc can figure it out, but a Galadriel's like, huh.
560940	565420	The cliche with like, uh, people don't know what's going on with the math board until
565420	567500	some random woman scribbles it.
567500	568500	Yeah.
568500	569500	It's upside down.
569500	570500	Oh, shoot.
570500	571500	Oh.
571500	573140	Whoops the board upside down.
573140	574140	All right.
574140	575540	We can skip this this time.
575540	576540	Fuck it.
576540	577540	Let's get through it.
578180	579180	Watch it.
579180	580180	Like the fucking button.
580180	581180	Are you positive?
581180	585980	Like the fucking devs needs to be tortured with the interim.
585980	588260	Oh, they don't need to skip parts of it.
588260	590380	Yeah, we still got it.
590380	591380	We had to see the big name.
591380	593180	That way it's burned into a redness.
593180	595180	Hey, look, it's Minas Tiras.
595180	597300	Wait, are they doing that?
597300	598300	Yeah.
598300	600300	Didn't you see the, the house outstretched?
600300	601300	Yeah.
601300	602300	Yeah.
602300	605020	Are they, are they saying this is like, no, it's not the same place, but like the same
605020	607020	architecture, I guess.
607020	610820	This is literally for the foreigner.
610820	611820	It's too bad.
611820	612820	There wasn't an R in that name.
612820	613820	She could have rolled it.
613820	615620	I think my nose broke from the symbolism again.
615620	618620	Oh no, the island's going to sink.
618620	619620	Yeah.
619620	623340	And in case you were wondering, this is going to be a dream sequence, isn't it?
623340	625220	It's going to be like a premonition to the future.
625220	628860	She's going to wake up and like, Oh my God, my island's collapsing.
628860	636420	This fall of Númenor, this will be a sudden escalation if it wasn't.
636820	638820	Now that tower wasn't actually touched by anything.
638820	641700	So that just, that was just, you know, shoddy building.
641700	643700	That is a massive ass bed.
643700	645020	For one person to sleep on.
645020	646020	Yeah.
646020	647020	She wasn't even sleeping on it.
647020	650180	She's on a chair and she's fully dressed.
650180	654980	I had a comment on one of my videos basically saying, wouldn't it be amazing if Númenor
654980	657540	was just filled with chads and stacies, et cetera.
657540	663380	And yes, it would like like a chance in Amazon's, I think just lots of beautiful, massive, muscular
663380	664380	people.
664380	667500	Cause these are supposed to be a superior race to humans.
667500	671500	Like it should literally be filled with just massive ass Hercules dudes.
671500	674340	They're long lived, very, you know, healthy.
674340	677260	Aren't they like humans though, but like better humans?
677260	678260	They were.
678260	679260	Yeah.
679260	680780	These people are what we would call Arians.
680780	686340	Which is a bit cruel, dear, but yes, that is theoretically correct.
686340	692620	Hey, listen, nothing wrong with loving elves.
692620	700820	The only thing they're good for.
700820	703820	You tell them, Karl Marx.
703820	710340	Oh no, I think I got a little book for you.
710340	713340	I think he's the bad guy.
713340	716860	Bad guy always says, trust me.
716860	719340	Wait, from where?
719340	723180	Oh, they're just going to bring them out from somewhere?
723180	724180	Magic.
724180	734300	Here's the thing, whenever I, at this point, whenever I see a character like this in a
734300	736820	modern show, I always wonder like, are they going to do a Trump?
736820	738820	Are they going to make him like a Trump style guy?
738820	741980	He's at a podium and like rallying up a crowd.
741980	743980	Make Númenor great again.
743980	762060	And they got away, both of them.
762060	763060	I like that.
763060	764060	Okay.
764060	774780	You're not going to comment on the fact that everyone believes Sauron died like a couple
774780	775780	hundred years ago?
775780	776780	No?
776780	777780	Okay.
777780	778780	Nope.
778780	789260	They're going to skip over the, I don't believe Sauron's back, part of the story.
789260	798020	Now you jumped off a boat and almost got eaten by a big fish.
798020	799020	Well, that didn't work out.
799020	800020	You're in jail.
800020	801020	You know what?
801020	802020	I don't mind that.
802020	804020	Like this is, this is okay.
804020	805020	Okay.
805020	806020	There's a few good things.
806020	810980	I think it's mildly funny, but at the same time, this is supposed to be Galadriel.
810980	816060	Like she isn't just an angry wench.
816060	820860	She has to show how empowered she is, Starch.
820860	822860	Are you a sexist?
822860	823860	Yes.
823860	835980	If I let go of this rope, the ASMR voice will whisper to me again.
835980	836980	Oops.
836980	837980	Yeah.
837980	841700	Haven't we seen this scene already?
841700	848740	I think he thought about it last time and he didn't do it.
