start	end	text
0	2240	YouTube's had a lot of problems with children, hasn't it?
2240	3240	Elsagate?
3240	4680	The whole child actor thing?
4680	7440	Removing comments and metrics for videos with kids in them?
7440	11280	It's almost like YouTube's an incompetent company that has no idea how to actually run
11280	12280	itself.
12280	15960	But, for once, the COPPA situation is actually not YouTube's fault.
15960	19480	I released a podcast with Scrump on this topic if you want to listen to it, because in it
19480	24040	we go over the particulars, but the basic idea is, in 1998, Bill Clinton signed into
24040	28280	law the Children's Online Privacy Protection Act, intended to provide protections for people
28280	29520	under 13 years old.
29520	33080	It placed additional responsibilities on websites regarding their dealings with children, it
33080	36440	prevented those sites from collecting certain types of data from children, and it regulated
36440	38480	the contents of a website's privacy policy.
38480	42080	COPPA came about in response to the actions of a website called Kidscom.
42080	44920	That's kidscom.com, because boomers.
44920	49460	Kidscom was launched in 1995 as a virtual world where users could navigate the earth,
49460	51020	play games, and chat with others.
51020	54720	It was no Google Maps, but it was probably the best you were going to get back in 95.
54720	58040	However, Kidscom did, in fact, collect data from its users.
58040	62040	Yes, this garbage was happening back then, too, and COPPA was put forward as a regulatory
62040	63040	response.
63040	65600	COPPA's had multiple high-profile enforcements before YouTube.
65600	70200	The once-big blogging site Zanga, as well as the infamous Bonsai Buddy, both had to
70200	74160	pay fines for COPPA violations, regarding their data-harvesting practices.
74160	78920	More recently, TikTok got slammed with a $5.7 million dollar fine in February of this year,
78920	83080	which they responded to by partitioning the app into TikTok and TikTok Kids.
83080	84760	Which brings us to YouTube.
84760	89980	Back in September, YouTube was fined $170 million dollars due to widespread COPPA violations
89980	95280	on the site, including data collection of minors for use in their targeted ad algorithms.
95280	99820	In response, YouTube determined that by January 1st, 2020, all content creators will have
99820	104100	to designate whether every single video they've uploaded is kid-friendly or not, by checking
104100	106080	a box during the upload process.
106080	109480	Content creators can also set their entire channel to be kid-friendly or not in their
109480	110480	channel settings.
110480	114520	YouTube has already confirmed that in order to be compliant with COPPA, videos marked
114520	121280	as kid-friendly will have no notifications, no comments, will not be searchable on the
121280	126700	main YouTube platform, will not be suggested or recommended, and will make 60-90% less
126700	128640	revenue due to a lack of targeted ads.
128640	131320	All of these features require data collection to implement.
131320	134960	And if no data collection is allowed, these videos can't participate in those features.
134960	138880	The only feature listed that doesn't necessarily require data collection is the comments.
138880	142080	And YouTube has been disabling comments on all videos with kids in them, as a matter
142080	144260	of course, in the name of protecting children.
144260	147840	As I mentioned in that Dumping with Scrump earlier, I have a source that I can't reveal
147840	151660	who stated that YouTube's long-term plan is to eventually split the platform into YouTube
151660	156060	and YouTube Kids, much like TikTok did, where YouTube Kids will contain only those videos
156060	159800	marked as kid-friendly, and most people are hoping that that will allow the bulk of YouTube
159800	162840	to continue on as over 13-oriented content.
162840	164760	Except it still might not.
164760	166240	And here's where we get to the heart of the matter.
166480	169680	There's a lot of YouTubers out there who are way bigger than me talking about this
169680	170680	issue right now.
170680	174120	And I think that most of them don't actually have the situation right.
174120	178600	They recognize it serious, yeah, but they don't recognize it as a full-on game changer,
178600	182500	but rather just another dumb YouTube event where the platform is made incrementally shittier
182500	183500	yet again.
183500	184500	But no, this isn't minor.
184500	185720	This is a game changer.
185720	189800	This is not just rolling your eyes at a false D&CA claim, and then filling out the same
189800	193560	meaningless form three times over the course of three months, until the false claimant
193560	196760	drops it because no one's actually going to bring you to court over this unless they're
196760	197760	retarded.
197760	198760	No, no, no, no, no.
198760	201440	This is not just another layer of the YouTube bureaucratic nightmare.
201440	203120	This is entirely different.
203120	206640	Here's the full text of COPPA, and I'd like to read a few choice bits from it.
206640	211160	The regulations issued under the subsection shall A, require that any website directed
211160	215840	to children that collects personal information from children provide clear, prominent, understandable
215840	219480	notice of the information collection and use practices of the website operator through
219480	220480	the website.
220480	225000	B, maintain verifiable parental consent for the collection, use, or disclosure of personal
225000	228000	information for children who are under the age of 13.
228000	232200	And B, require that the commercial website operator concerned establish and maintain
232200	238400	reasonable procedures to ensure the confidentiality, security, accuracy, and integrity of personal
238400	240900	information collected from children through the website.
240900	244000	And here's what COPPA defines as a website targeted to children.
244000	249760	A commercial website that is, one, targeted to children, obviously, two, directed to children
249760	256200	by reason of the subject matter, visual content, age of the models, language, characters, tone,
256200	260360	message, or any other similar characteristic of the website.
260360	265800	Or three, used by a commercial website operator to knowingly collect information from children.
265800	270220	The biggest problem here is section two, because that's actually quite vague.
270220	274920	But thankfully the FTC has provided a handy dandy guidebook on what exactly qualifies
274920	277320	as kid targeted content.
277320	282700	The subject matter that is appealing to children, example, kids jokes, music, kids games, video
282700	289440	or computer games, children's TV shows or children's TV stars, cartoon characters, sports, stories,
289440	295200	toys, children's books, fantasy, children's arts and crafts, pets, products primarily
295200	299600	purchased or consumed by kids like snack food or cereal.
299600	302720	You can tell this legislation was made by boomers who don't understand that the primary
302720	307480	audience for things like video games, comics, and Marvel movies is no longer kids but 30
307480	308480	year old soy boys.
308480	311400	Plus, there's also a lot of adults who are interested in things like sports.
311400	314280	There's a lot of adults who eat cereal or snack foods.
314280	318080	Just because something appeals to some children doesn't mean that it also doesn't appeal
318080	319800	to some adults.
319800	322700	Language of the website, such as language that is simple enough to be understandable
322700	324600	to children 12 and under.
324600	326400	Short, colorful descriptions.
326400	328080	Slang and pop culture phrases.
328080	331880	Example, a kid's site may be identified by such language as kids only.
331880	332880	Fun.
332880	333880	Free stuff.
333880	334880	Whatever.
334880	335880	Cool.
335880	336880	Duh.
336880	337880	Games.
337880	338880	Ask your parents.
