start	end	text
0	4560	Hello everyone, welcome to TikTok Tuesday. Before we get going, I want to announce two things just
4560	10080	very quickly. If you're watching this on release, I'll be streaming. I'm doing a Euro-friendly
10080	15920	gaming stream for once, which will be starting around 1pm my time, 6pm BritBonger time. And
15920	20400	secondly, the reason I'm doing that is because I'm going on WIC-TV's channel tonight. I'm going
20400	24720	to do another interview, I think with Brianna Wu again. There's always more things to talk about.
24720	29440	It always feels good to occasionally dip my toes into the Twitch politics sphere. So after you've
29440	32880	watched this video, please go and check those out. I really appreciate it. Let's get on with
32880	36800	the TikToks though. What have you guys sent me this week? Oh wait, wait, there's music. Hold on.
37600	42480	Okay. Decided I'm going to misgender my entire family on Thanksgiving so they know how it feels.
44240	52240	Okay. I mean, that can be kind of funny, right? However, just real quick, what gender is this
52240	56800	person? Is this one of those like women who are very clearly women just calling themselves
56800	62400	non-binary? Is that what this is? I don't know. Oh, it's a marriage.
64960	68720	Oh, wait, wait. What kind of wedding dress is that?
71680	78560	Even he's like, what the fuck? He's got to sit down for a minute.
78560	88720	I know it's supposed to be very traditional that the groom doesn't see the bride on the
88720	93920	wedding day, doesn't know what the dress looks like or anything. The surprise is a traditional
93920	98160	part of a wedding, I think. But I'm pretty sure in modern times, they don't do that anymore.
99600	104400	Isn't it normal for guys to have seen the wedding dress before the wedding actually starts
104400	108160	nowadays? I don't know. He looked legitimately surprised though. He's like, oh my God.
109840	114800	It looked like a maid outfit than an actual wedding dress. Confusing strangers and NPCs. Okay.
119440	124080	The wild animals are coming tonight. There's no way you'll be able to fight.
124080	130640	Oh, why? They're vicious. They're hungry. They want to eat the whole country.
131600	132800	What the fuck?
135680	141680	Is that just like acting intentionally cringe and awkward just to get people's reaction,
141680	145600	even though it makes no fucking sense? Is that becoming a thing again? It was a thing in like
145600	153360	2008, 2009. I remember it very well. Is it becoming a thing again? I hope not. Jesus Christ.
153360	158800	I have no clue what she's saying. I have no clue what she's saying.
159840	163120	I'm just going to mute her. I'm just going to mute her. I have no clue what she's saying, dude,
163120	169280	but like this is maybe Sargon and Akamek agent were right with the tomboy abs guys.
169280	172960	If this is the end result, if you stick your dick in this chick,
172960	177360	it will just come out flattened. We're at actual death by snooze new levels here.
183360	191040	The kids just giving him shit. Are we trying to play the game?
200880	204880	Like, I think he knows better than to actually confront the audience directly,
204880	207840	but you could tell he heard that when it was like, what the fuck?
209280	213040	You know, it's always kind of fun to see kids trolling and being little shits probably because
213280	218640	I was once a troll in little shit back in the day. Hi. Hi. My name is Tempest. I see
218640	225600	those pronouns. And if you don't want me to step on your toes. Yeah. Move your fucking feet.
227200	236880	What? Is that supposed to be a threat? Also, okay. That's a very feminine person. Yeah,
236880	241200	they're very old, right? But like it's still very feminine. What about them is they them?
241200	245760	Forget about the, the Neo pronoun bullshit. Like that's just fucking ridiculous. But like,
245760	251200	what about this person is in any way masculine. This is just a punk girl. We didn't consider,
251200	255680	we didn't consider punk, a different gender back in the two thousands guys. In fact,
255680	261520	I'm calling it now. They took away your punk and your goth GFS by turning them into not GFS at all.
264240	269680	This is an actual Nazi March on. There's some hidden faces. They could be glowies,
269680	273520	or they could just be wanting to hide there. Who knows? Right.
279440	282720	Nope. Well, whatever they are, they're marching around.
290560	294720	You know what? I don't like them, but if we're going to be having, you know,
294720	299040	other political groups, March around in the streets with masks and intimidating people,
299680	303360	this, this is, this is the world that we've built now. It's fucking disgusting. But here we are.
306080	313680	Whoa. A lot of them don't though. A lot of them haven't though.
314560	321040	I want to stab all of you to death as many times as I can. I want to stab you in the throat and
321040	327520	twist it like I'm carving a fucking pumpkin. I want to shred you into tiny fucking pieces.
327520	333360	I want to tear your fucking bones. Oh my God, dude. I want to scoop your brains out with a
333360	341440	fucking spoon. I want to eat your fucking flesh. Holy shit. Okay. How much of that is
