start	end	text
0	6320	Merry Christmas everyone! I'm recording this on Christmas Day! But you're getting it on Boxing Day,
6320	12000	December 26th, which is still technically within the Christmas season. Though I've heard Americans
12000	17360	don't actually celebrate Boxing Day, so TLDR, if you're in an English-speaking country that isn't
17360	23840	America, the UK, Canada, Australia, etc., we all celebrate Boxing Day. And it's part of the
23840	27440	Christmas lineup for us. So even though this is coming out on Tuesday, it's still the season,
27440	32000	at least for me. I hope you've all enjoyed your Christmas, and let's take a look at some
32000	33760	Christmas TikToks. Here we go.
37840	42720	I wonder what's wrong with the car. Oh no, RIP. I wonder if that's like a mode you can set up in
42720	47920	your car, or if that car is actually just borked. Also, I just noticed VLC, which is what I use to
47920	53120	watch all the TikToks I've accumulated. It has a little Christmas thing going on today. Oh wow,
53120	57840	is that only on the 25th? It's the Grinch!
62880	65760	Oh god, the kids think he's here to steal the Christmas!
68080	74000	And they're fighting! You can't take my Christmas! Oh my god, these kids are losing it.
74000	86800	Oh my god, they're really... I'm stealing your gifts, kid!
94720	98480	Like those kids were, like they were true believers, they were actually losing it!
98480	103040	That the Grinch has come to legitimately take their Christmas, oh my god. I wonder if that
103040	106400	would traumatize them, you know? I mean, probably not, but who knows?
106400	110320	Oh god, speaking of traumatizing kids, I've seen this next one, guys.
110320	113840	Parent hack. Wrap fake presents when kids don't want to listen,
113840	118080	and throw the fakes in the fire. Instantly straightens them up. Oh god.
126880	127840	Take the fake gift.
133040	137840	I wonder if that...
146160	147200	I mean, yeah, the kid...
153200	159360	Oh, see? Yeah, they're being bad, but like, this is probably traumatizing.
159360	161840	I mean, they might deserve it, who knows how bad they're being, but still.
163680	167760	Oh, I guess you're vacuuming your room now!
171600	175600	I remember being like a defiant little shit when I was a kid, you know?
175600	180720	Like, stuff getting taken away, I didn't care. I got grounded, I would just like shrug it off.
180720	185760	Punishing me didn't really work. In fact, I was much more likely to not do what they said
185760	189200	after they punished me, you know? Just like, it's like, oh, you want to do that to me?
189200	193120	Now I'm really not cleaning my room, fuck you. Like, that was my attitude as a kid.
193120	194960	I was a defiant little shit, that's for sure.
195920	198320	The difference between black and white Santa.
201040	202400	Merry Christmas, ho ho ho.
205760	206260	Okay.
210720	214080	That's gotta be a troll. Okay, someone splice that in.
214080	220880	That's not real, guys, come on! I mean, it's funny, but still, that's not real.
222720	223760	There's another Grinch one?
226720	231520	It's the- it is! This one's energetic. Oh, oh my god, he stole the whole tree!
232480	246720	Oh my god, yeah, that kid's sad, but...
249600	255040	Okay, that Grinch, like, the other guy, he was like trying to duck being hit by the kid.
255040	260960	This guy just flies in, steals the tree. Oh my god, dude, man.
262080	266560	These are some quality trolls, I will say. I hope it doesn't leave these kids scarred.
266560	270000	And if it doesn't, then these are some excellent trolling.
270000	273200	This one's got no audio. Looks like a guy holding a- what is that?
