start	end	text
0	5120	Welcome to Trailer Talk and we watch movies and we're actually about to go in and see
5120	14560	Star Trek Into Darkness and this time I won't be going on at length because unlike Lord
14560	17720	of the Rings I am not really a Star Trek fanboy.
17720	18720	I like the shows.
18720	20240	I'm a Star Trek fanboy.
20240	21240	More than me.
21240	22640	Definitely more than me.
22640	28120	But yeah, watched a few of the series, if I could go back and watch Next Generation
28120	29120	I probably will.
29120	30120	It's on Netflix.
30120	36080	But anyways, the original series, never watched that much but it seeped our culture so god
36080	39720	damn much that this is, it is a cultural phenomenon.
39720	42200	How much have you heard of the movie?
42200	43200	Not much other than...
43200	44280	You've been avoiding all the spoilers?
44280	47260	I've been avoiding everything about it.
47260	52000	This is probably going up tomorrow but we're watching it on Tuesday and it came out last
52000	53000	Friday.
53000	54000	Yeah.
54000	55000	Cheap night.
55000	58080	Yeah, it's cheap on Tuesday so we're going on Tuesday night.
58080	59880	No service heading.
59880	68600	But like, I have looked up some stuff and I mean, for the longest time, up to a year
68600	73920	before this fucking thing was being hyped, everyone's like no no, Benedict Cumberbatch
73920	75280	is not Khan.
75280	76280	He's not Khan.
76280	81320	They have a new villain, they're not doing Wrath of Khan again, he's fucking Khan.
81320	85640	And I'm not saying I read a spoiler, I'm saying he's fucking Khan.
86320	89000	They are going to be that stupid and make him Khan.
89000	90320	I think.
90320	94560	Um, I could have sworn that he was supposed to be like a...
94560	99760	I thought you said something like from an original series episode.
99760	100760	An original series episode.
100760	102960	It was like a psychic guy and yeah yeah.
102960	107400	I heard that too but I really think they're gonna...
107400	108400	You know what?
108400	109400	You know what?
109400	111120	He can't be any worse than Eric Bana was.
111120	114840	I'm sorry but I like Eric Bana.
114840	119000	He's pretty decent in some movies but as, I don't even remember the fucking character's
119000	120000	name.
120000	121000	Nero.
121000	122000	Nero, right.
122000	123000	He was Nero.
123000	124000	As Nero.
124000	128120	I didn't really find him very believable and I really, I didn't find him very likable.
128120	129120	I mean.
129120	130120	He wasn't supposed to be likable.
130120	131120	He was supposed to be just massive.
131120	136400	I know, I know, he's like, but there's usually some kind of redeeming trait in a villain,
136400	139920	especially now they're making him more complex.
139920	145660	When The Dark Knight came out, it started this sort of trend in movies marketed towards
145660	153400	our generation, our demographic, where the villain had to be somebody who was hardcore,
153400	158360	he was a one man army, and he would destabilize social order.
158360	159760	That had to be a thing.
159760	160760	The Joker did it.
160760	161760	Yeah.
161760	162760	They tried to...
162760	163760	An agent of chaos basically.
163760	164840	They tried to recreate it with Bane.
164840	169760	They tried to do it in Iron Man 3 with the Mandarin.
169760	170760	And that fucking sucked.
170760	173540	I haven't seen it yet.
173540	178940	The only Star Trek character that has that agent of chaos flavor to him is Khan.
178940	184000	This trailer, all the trailers, which were really good trailers by the way, they are
184000	188500	all very much a destabilizing social order type of movie.
188500	189840	So it's going to be fucking Khan.
189840	190840	All right.
190840	191840	Well.
191840	196160	We're going to figure this, Dev, you're going on it like, we're going to actually go watch
196160	197160	the movie.
197160	198160	Yeah, yeah, yeah.
198160	199160	We're going to actually go watch the movie.
199560	203560	We're going to come back later and we're going to actually discuss whether or not the shit
203560	205400	actually went down or not.
205400	209080	And hopefully I'll be putting Dev in his place because he seems to have this complete mindset
209080	210720	it's going to be a piece of shit.
210720	211720	And I think it's going to be great.
211720	212720	I do think it's going to be great.
