start	end	text
0	4560	You know, I've had this video in me for a while, and I'm actually pretty happy that
4560	11760	I decided to record it after yesterday's Vampire the Masquerade stream over on ArchWarhammer's
11760	16880	channel, which by the way, you should go watch if you haven't already. Arch is DMing, it's me,
16880	23760	Sargon, Rags, and Uzulu playing in a Vampire the Masquerade game. Oh, also Kyle's there too,
23760	27440	he's a new guy. But we're playing Vampire the Masquerade, a tabletop game, we're playing it
27440	32880	online, and it's a lot of fun, it's called In the Claws of the Eagle. In any case, during one of
32880	38160	these streams, which by the way happen every Wednesday at 2.30pm EST, we were looking through
38160	41840	the Vampire the Masquerade rulebook, the most recent one, the one that we're using for the game,
41840	46640	and we found this passage, advice for considerate play. I'm not going to read it all because it's
46640	50080	huge, but here's a few choice quotes. One of the best things about role-playing is that you can
50080	54960	play someone different from yourself. No gender, ethnicity, sexual preference, disability, class,
54960	60480	or position in society is off limits, but remember that this freedom comes with a responsibility
60480	65680	to your fellow players. For instance, your table may include people who identify as trans, and
65680	70000	whether they plan to transition or not, they will probably not feel comfortable if you portray the
70000	75120	trans experience as a simple preference or a condition to be cured, or if you just assume
75120	80720	that all of their characters are also trans. Always respect your players' identities. Vampire
80720	87280	the Masquerade is not a fascist-friendly game. If you are a neo-nazi, alt-writer, or whatever it is
87280	92160	you're calling yourself nowadays, we urge you to put this book down and call someone who you trust
92160	98080	to talk about where you went wrong in your life. That said, Kindred culture is inherently monstrous.
98080	102480	Part of the political horror of Vampire the Masquerade is surviving in a culture that
102480	108560	worships the bad old ways. Large parts of Kindred society, especially the Camarilla and the Sabbat,
108560	113600	adhere to cults of tradition, ascribe to the idea of humiliating their enemies with overwhelming
113600	118560	wealth and force, and praise religious fundamentalism or even pre-modern ideas.
118560	122960	Even so, it's pretty easy to steer the game away from totalitarian perspectives.
122960	127600	Emphasize the differences between individual vampires. Tell stories about infighting,
127600	132800	surprising kindness, and new ideas. Play as thin-bloods, katif, or anarchs.
132800	138000	Portray Kindred society in all of its malicious and fascist glory, but let the player characters
138000	143200	oppose the system. What if someone wants to play a fascist, though? Or the storyteller wants
143200	148480	fascist NPCs? There are plenty of those throughout the world of darkness. Monsters with pretty faces.
148480	153760	They can be a tragic villain, or a former friend who fell. They might be the Brugge neo-nazi,
153760	158960	the far-right Ventrue billionaire, or the semester eugenicist. Whatever face they present,
158960	162400	the player characters should be given the satisfaction of redeeming or destroying them
162400	167040	eventually. After all, the player characters are something unique and special,
167040	170720	something fascists cannot abide. Well, thankfully, in Arch's campaign,
170720	175200	we're all playing a bunch of Nazis fighting against Russian communists during World War II.
175200	179120	We're German soldiers on the Eastern Front who also happen to be vampires. And the campaign
179120	183360	is set largely outside of the influence of the Camarilla, because the Nazis have always had this
183360	186640	weird thing going on with the occult. You must remember Indiana Jones, right, where they go
186640	190400	looking for artifacts and stuff to try and help the war effort. We're kind of playing those type
190400	196240	of Nazis. So there's basically like a paranormal research unit that the player characters are
196240	201520	attached to, and it's honestly a lot of really goofy, schlocky fun. Like Sargon is literally
201520	207200	the villain from Raiders of the Lost Ark. Rags is playing as a gangrel who can shapeshift into
207200	212880	a walrus. I'm playing as the obligatory 1000-year-old vampire loli. In whose lieu is
212880	218800	Jurgen Panzersen, which is just a Nazi retelling of Jordan Peterson. He even has a best-selling
218800	224240	book, 12 Rules for Reich. But my point is, Vampire the Masquerade, when it was originally conceived,
224240	229120	didn't used to be this. The point of the game, and in fact it even says it in the rule book
229120	234560	elsewhere, the point of the game is that there are no heroes in vampire society. At some point,
234560	239440	every single character you encounter has to take blood from somebody. And they might have these
239440	244880	societies or these traditions or these methods by which they hold themselves together, but deep
244880	249680	down they're all in some way monstrous. And in fact that's often the objection to running vampire
249680	254160	campaigns, is that there's no heroes. You can't play a heroic character. And this passage actually
254160	260160	talks about character archetypes that make complete sense in the vampire lore. The Brugge Neo-Nazi,
260160	264400	the far-right Ventrue billionaire. You don't need to know the specifics of those clans to
264400	268320	understand what kind of characters they are, and they actually make complete sense within the lore.
268320	273520	But because I guess everything is run by social justice nowadays, we need a page in the rule book
273520	277760	saying, yeah we might have put the stats in the book for some reason, but you shouldn't play as
277760	283360	this. Don't. Don't do it. The tabletop situation needs to be a friendly and open and welcoming
283360	289040	space. I mean, at least according to the BBC. No offense, but Dungeon and Dragons isn't just for
289040	294080	nerds anymore. Not just for a bunch of beardy boys in the basement. It's for everybody and anybody.
294080	298960	It's so social, the most social game you have to play in fact. All you need is a few friends and a
298960	304160	dungeon master or game master to kind of run the game and tell you your story. It's this wonderful
304160	308560	escapism from real life, like acting or writing, but you're doing it as a group. And it can be
