start	end	text
0	11280	A clever few of you noticed that, in my last video, I mentioned a thing called the Pronouns
11280	12280	Wiki.
12280	13280	And yeah, that's real.
13280	17920	I was confused about the difference between Neopronouns and Xenopronouns.
17920	21640	Neopronouns are any set of singular third-person pronouns that were directly created or adapted
21640	25380	within the language instead of evolving with it, and are frequently not officially recognized
25380	26720	in the language they're used in.
26720	31780	In English, there are four sets of recognized exipronouns, she-her is considered feminine,
31780	36080	he-him is considered masculine, and they-them is considered neutral, and less controversial
36080	37920	than the fourth set, it-its.
37920	42240	In my original recording of that passage before doing another take, I expressed shock at the
42240	45680	existence of the word exipronouns, but I let that hook dangle.
45680	46680	Not today, though!
46680	49720	Let's fully dive down the rabbit hole of the Pronouns Wiki.
49720	55120	Exipronouns, also called Palaeopronouns, archpronouns, or tradpronouns, is a term to refer to the
55120	58800	standard traditional existing pronoun sets of a language.
58800	63760	Someone who uses exipronouns would be called exipronominal, oh jesus christ.
63760	70760	The term exipronoun was coined by Tumblr user anacrossic on June 30th, 2020.
70760	75400	Also on that post, tradpronouns was coined by Tumblr user transkian.
75400	76400	Why is this a wiki?
76400	78200	Like, why does this thing exist?
78200	80720	Is it just to document Tumblr stupidity?
80720	83280	Here's what Xenopronouns actually means.
83280	88940	Xenopronouns are a type of hypothetical neopronouns that cannot be understood by humans and or
88940	91560	expressed through human language.
91560	95960	Theoretical examples of xenopronouns include pronouns that involve concepts that humans
95960	101320	don't have words for, pronouns whose meanings cannot be translated into any human language,
101320	105480	pronouns that include sounds that would be impossible for humans to make if spoken, pronouns
105480	110800	that include movements that would be impossible for humans to do if signed, pronouns expressed
110800	113920	through a form of communication that humans can't use.
113920	117920	If I were trans, I would be fucking embarrassed at this, I'm not gonna lie.
117920	120640	Like let's say you're the average trans woman, okay?
120640	124000	You're born male, and as you get a bit older you're attracted to more feminine things,
124000	127400	you view yourself as a bit more feminine, you get pushback from those around you for
127400	131520	this and it makes you feel bad, you get older still, and you realize you want to present
131520	134000	and behave as the other gender, and eventually you do.
134000	137600	You're not interested in any of this crazy shit, you don't want to deconstruct gender,
137600	141320	you don't want to be viewed as an eldritch abomination from beyond the stars, unknowable
141320	145480	by normal human minds, you just want the other gender identity than the one that aligns with
145480	146480	their biological sex.
146480	151800	I think this is why the most successful, popular and emotionally stable trans women present
151800	153600	and behave like cis women.
153600	158080	No specific examples of xenopronouns can be provided because, by their nature, it would
158080	160720	be impossible to express through human language.
160720	166160	For those that do use xenopronouns, for communication in human language they may use auxiliary or
166160	171320	alternate pronouns, or wish to be treated as null-pronomenal, oh what fresh hell is
171320	172320	this?
172320	177240	Null-pronomenal, also known as non-pronomenal, un-pronomenal, a-pronomenal, pronounless,
177240	183480	void-pronoun, or impronoun, is the act of not using third person pronouns of any kind.
183480	186440	Oh my god, they've got flags for all of this shit too.
186440	191160	You know, for being so anti-nationalist, leftoids love to divide themselves up into camps and
191160	193900	wave banners signifying their allegiance.
193900	197620	The Phrae-pronomenal flag by fandom user femboyquinn.
197620	200260	What the fuck is Phrae-pronomenal?
200260	205960	It is a form of pronoun non-conformity and may be considered a de-human pronoun depending
205960	206960	on the user.
206960	208780	What the fuck is a de-human pronoun?
208780	212620	Being non-pronomenal may overlap with name-self pronouns.
212620	214500	What the fuck is name-self pronouns?
214500	219140	I wanted to go back to the auxiliary pronouns page from the last passage, but every link
219140	222580	I click on, there's three more terms I don't understand.
222580	225340	This is worse than link-surfing on TV-tropes.
225340	229660	Denny-pronomial is a term for someone who is normally null-pronomial but occasionally
229660	230980	uses pronouns.
230980	235860	This may overlap with one being pronoun fluid, however it doesn't have to.
235860	239540	I'm going to guess that pronoun fluid is that you change your pronouns sometimes, right?
239540	244980	Pronoun fluid is the act of switching or transitioning between two or more pronoun sets over time.
244980	249100	One's pronouns may change over the course of hours, days, weeks, or months, and the
249100	252860	gender of the person does not matter and does not have to change with the pronouns.
252860	258740	Oh, okay, so you can be a girl, fully biologically female, gender is woman, not even a trans
258740	263020	man, you're a cis woman, and you can use he-him pronouns because you're pronoun non-conforming.
263020	266760	Wait a second, pronoun non-conforming is something different, it's just using pronouns in a
266760	267760	non-standard way.
267760	272140	Okay, okay, what I'm talking about is what this wiki calls cross-pronominal.
272140	273140	Fuck me, dude.
273140	277140	The cross-pronominal flag looks like a candy you might have found in a cheap paper bag
277140	278700	at the corner store back in the day.
278700	282100	It was made by Beyond Mogai Pride Flags.
282100	284180	Is this your greatest contribution, dude?
284180	287780	Making these fucking flags that will never actually fly anywhere IRL?
287780	289060	Is this how you spend your time?
289060	291820	Alright, let's jump a few stages back.
291820	294460	Cross-pronominal to pronoun non-conforming to pronoun fluid.
294460	301260	Core fluid, no, core fluid is a term for someone who is both gender fluid and pronoun fluid,
301260	304540	and whose pronouns change to correlate with their gender.
304540	310660	Pronoun fluid, also known as neofluid, is when one is pronoun fluid only between neopronouns.
310660	316980	A neofluid individual may also have exipronouns so long as they are only fluid in neopronouns.
316980	325740	Muto-pronoun, or mutopronominal, is a term used to describe when one's pronouns change
325740	327420	in certain situations or contexts.
327420	328740	Okay, this one I kind of understand.
328740	333300	It's like how drag queens out of drag use he and him, but use she-her in drag.
333300	334300	I've got it.
334300	336780	The reason, though, is because Naomi likes to watch Drag Race.
336780	342420	Emotopronounfluid, also known as emotopronominal, is a subset of pronoun fluid where one's
342420	345780	pronouns change depending on one's mood, emotions, or state of mind.
345780	350260	Oh, is this the source of the was-were joke, when your state of mind is dead?
350260	354380	Pronoun fae, or pronoun doe, is the act of switching or transitioning between two or
354380	358100	more pronoun sets over time, but only feminine pronouns.
358100	363920	Pronoun fawn, or pronoun fawn, is the act of switching or transitioning between two
