start	end	text
0	8500	It's finally time for a Canadian-centric video.
8500	12040	After all this time, I know there's been a lot of demand for certain Canadian topics
12040	13040	in recent months.
13040	15340	I've seen all those comments, so let's get right to it.
15340	18260	After all, a giant truck is headed our way right now.
18260	19260	And wouldn't you know it?
19260	20260	It's full of medical supplies!
20260	22900	What, uh, what do you think I was going to talk about today?
22900	27100	I had a conversation with MadriBread a year or two ago, where we briefly talked about
27100	28540	the ethics of euthanasia.
28540	32760	I pointed out in that conversation that while as a self-owned individual you do have the
32760	37200	right to take your own life, if you create an institution around legal suicide, you create
37200	39520	the possibility for perverse incentives.
39520	42760	I described to him a hypothetical future, where an old man who is a member of a poor
42760	46160	family, rather than become a financial burden on the medical system during the final years
46160	49440	of his life, the government offers him the chance of euthanasia and his family gets a
49440	50440	cash payout.
50440	54000	The point I was making was, if you legalize something, a necessary part of that process
54000	55640	is creating incentives for it.
55640	59460	This is one of the stronger arguments against legalization of recreational drugs.
59460	63340	Even if a person who's doing drugs and committing no other bad actions is ultimately committing
63340	67540	a victimless crime, making the drug use legal has downstream consequences.
67540	71320	People who would commit other crimes while high now have easier access.
71320	74700	People who wouldn't do drugs if they remained illegal now might do them.
74700	77520	The culture shifts towards permissibility of something that really isn't that good
77520	78520	for you.
78520	82080	And most importantly for this conversation, now there's a new financial motive for more
82080	84180	people to get into the drug market.
84180	86960	Doing almost anything leads to new incentives.
86960	92320	In Canada, MADE, Medical Assistance in Dying, became legal in 2016 to end the suffering
92320	96120	of terminally ill adults, after a 2015 legal decision from the Supreme Court.
96120	100520	That case, Carter vs Canada 2015, revolved around Kaye Carter, who was a victim of degenerative
100520	106060	spinal stenosis, and another woman, Gloria Taylor, a victim of amyotrophic lateral sclerosis.
106060	110840	The ruling gave Canadian adults who were mentally competent and suffering intolerably and endurably
110840	113200	the right to a doctor's assistance in dying.
113220	117720	The original 2016 MADE legislation specifically disallowed assisted death on the grounds of
117720	122700	mental illness, long-term disability, or any curable condition, and did not make euthanasia
122700	124140	available to minors.
124140	128280	In 2021, the legislation was amended to allow for death on the grounds of mental illness,
128280	132380	and relaxed other stipulations, giving Canada the most permissive assisted suicide laws
132380	133380	in the world.
133380	137140	Nonetheless, the law only applies to Canadians, to prevent suicide tourism.
137140	141500	As per the letter of the law, patients who qualify must sign a written request expressing
141500	145080	their wishes to end their life in front of one independent witness who can confirm it
145080	146720	was done willingly free of coercion.
146720	151020	Then, two medical personnel must confirm their own written agreement that the patient's
151020	154660	condition is in an advanced state of irreversible decline, and that the patient is capable and
154660	156380	willing of receiving euthanasia.
156380	161400	The 2021 amendment added that if the patient's death is not reasonably foreseeable in the
161400	164880	future, another expert in the underlying condition also needs to sign off.
164880	168380	As a safeguard against abuse, none of the witnesses or physicians involved can have
168380	171480	any legal or financial interest in the outcomes of the patient.
171480	175920	The patient must repeatedly express consent, not just imply it, including at the moment
175920	177360	before their death.
177360	179820	Consent can be revoked at any time, in any way.
179820	183320	There are no consequences for revoking consent, and no limits on how many attempts you can
183320	184320	make.
184320	188080	These all seem like reasonable safeguards, especially since, in the absence of them,
188080	191920	you'd probably see a lot more abuse of the system, and also because people who kill themselves
191920	194760	outside the system also have infinite chances to do so.
194760	198100	I personally think that while you do have the right to kill yourself, in almost all
198100	201940	situations, you shouldn't, and society is made worse the more permissive exercising
201940	202940	that right becomes.
202940	207100	I do like the letter of the initial law as it reads, though I think the continued easing
207100	209180	of restrictions over time is quite bad.
209180	212800	It's important, though, to look at how the law actually functions in reality.
212800	217020	Over this past summer, the claim that MADE is the sixth leading cause of death as the
217020	220540	poor and disabled begin to check out of Canadian life went viral online.
220540	224420	This claim was roundly debunked by the fact checkers over at AFP, who said that the MADE
224420	227400	program is not a cause of death, but rather a manner of death.
227400	231440	Well, that's a great distinction, but it kinda sidesteps the criticism, doesn't it?
231440	234680	The core of the issue is whether or not Canada is euthanizing poor people.
234680	237680	It's one thing to say my condition is irreversible and I'd rather be dead.
237680	240880	It's another thing entirely to say I would rather keep living but it's too expensive
240880	242120	so I might as well die.
242120	246320	It seems like the line that all of those safeguards was meant to guard against was quickly crossed
246320	247960	by the Canadian government anyway.
247960	250640	I know what you might be thinking, Canada's got universal healthcare.
250640	253680	The wait times might be bad, yeah, but at least all your shit is paid for.
253680	257420	In America, if you can't afford care, you just go bankrupt or die without any help.
257420	260120	In Canada, that financial incentive is taken out of the equation.
260120	264100	That is the argument that a lot of pro-universal healthcare people make on this topic.
264100	266000	The removal of the financial incentive.
266000	269500	I still think that goal is achievable, at least somewhat, but Canada's done it so
269500	273280	poorly that at least on this topic, you might as well have no help at all.
273280	275340	Check out these examples and you'll see what I mean.
275340	278480	This testimony was given in parliament on November 10th, 2020.
278480	279780	My name is Roger Foley.
279780	281080	I'm 45 years old.
281080	285680	I was born with Spinocerebellar Ataxia, which is a severe neurodegenerative disease.
285680	289900	With the assisted dying regime in Canada, I have experienced the lack of care and assistance
289900	290900	I need to live.
290900	292360	I have been denied food and water.
292360	295500	I have not been assisted to transfer, take my medications, and go to the bathroom.
295500	299600	I have been abused and berated because I have disabilities and told my needs are too much
299600	300600	work.
300600	301600	My life has been devalued.
301600	306020	I have been coerced into assisted death by abuse, neglect, lack of care, and threats.
306020	309660	For example, at a time when I was advocating for assistance to live and for self-directed
309660	313600	home care, the hospital ethicist and nurses were trying to coerce me into an assisted
313600	318760	death by threatening to charge me $1,800 per day or force discharge me without the care
318760	319760	I needed to live.
319760	324200	I felt pressured by these staff raising assisted dying rather than relieving my suffering with
324200	326280	dignified and compassionate care.
326280	328760	Hospital staff failed to provide me with the necessities of life.
328760	331680	I was starved and denied water for up to 20 days.
331680	335120	An expert who reviewed the case concluded a failure to provide necessities of life and
335120	336480	gross negligence.
336480	340260	Foley leaked a recording to the Canadian press of doctors trying to get him on board with
340260	341260	euthanasia.
341260	346460	Roger Foley went from being active and healthy to disabled and helpless because of a rare
346460	348460	neurological disease.
348460	353100	For the past two and a half years, he's been in hospital in London, Ontario, part of a
353100	354960	health care standoff.
354960	357060	He wants assisted home care.
357060	360860	Instead, he says he's being offered a medically assisted death.
360860	365960	I have not received the care that I need to relieve my suffering, and only being offered
365960	367700	is dying.
367700	372680	And Foley is releasing audio tapes he took of what he says are two health care workers
372680	378400	who keep raising that option when he talks about getting home care teams of his choosing.
378400	383000	If I had self-directed farming, then I'd be fine, but...
383000	389960	But if you weren't, you just, you can just apply to get assisted if you want it in your
389960	390960	life.
390960	391960	Like, you know what I mean?
391960	394700	You don't have to do it in some dramatic manner.
394700	397940	You can apply for assisted, you know.
397940	404420	In the second, Foley is told he will be charged more than $1,500 a day if he doesn't go home,
404420	408100	with the suggestion he can apply for the right to die.
408100	410300	What's the plan that you know of?
410300	413020	Roger, this is not my show.
413020	418160	I told you my piece of this was to talk to you about if you had interest in assisted
418160	419160	dying.
419160	426200	In essence, the tape speaks about encouraging him or asking him if he's interested in assisted
426200	432460	dying rather than working with him to provide the services that he needs.
432460	433460	And he's not the only one.
433460	436600	A woman in Ontario chose maid after failing to get affordable housing.
436600	439820	The logic the medical system used to approve her was that the house she was stuck in was
439820	444740	not free of cigarette smoke and chemical cleaners, making her diagnosed extreme sensitivity to
444740	448000	chemicals in an advanced state of irreversible decline.
448000	451500	She posted a video a week before her death where she said, the government sees me as
451500	455180	expendable trash, a complainer, useless, and a pain in the ass.
455180	458820	Another woman applied to die because her medical problems required dietary restrictions that
458820	462160	she couldn't afford and COVID lockdowns ended her ability to make money.
462160	464660	She's not the only person who blamed COVID restrictions.
464660	466700	Another woman, this one from Vancouver, said the same thing.
466700	471300	A third woman, suffering from a concussion, had her care so postponed by COVID shutdowns
471300	475120	that her condition exacerbated to the point that her personality drastically changed.
475120	477880	She became irritable, unpredictable, and unable to focus.
477880	481180	She also ended up getting euthanized, and the family has brought charges against the
481180	484980	government claiming that she clearly did not have the capacity to consent based on her
484980	485980	condition.
485980	489540	Another man chose death because the quality of government healthcare was so poor he viewed
489540	491060	euthanasia as preferable.
491060	494940	When his family arrived at the long-term care facility to be with him during his final moments,
494940	498820	they found a room full of trash, piss and shit on the floor, and mold on the walls and
498820	499820	in the sink.
499820	502140	Family members claimed that their shoes were sticking to the floor as they walked through
502140	503140	the room.
503140	506380	Several photos were released to the press of the state of the room, but one photo wasn't
506380	507560	out of respect for the victim.
507560	511280	It showed him lying in a bed filled with his own filth, unable to help himself.
511280	515100	Another man had his story go viral recently, even though it happened several years ago.
515100	517400	He had some medical issues, but none of them were life-threatening.
517400	522480	In June of 2019, he was hospitalized, seemingly against his will, over fears he might be suicidal.
522480	525020	While he was stuck there, he asked his brother to come bust him out.
525020	528880	But within a month of his stay, he had submitted a request to be euthanized, claiming only
528880	531580	one health condition as the reason, hearing loss.
531580	536180	A suicidal man, stuck in a medical system that permits suicide, maybe even advocates
536180	538800	for suicide, ends up committing suicide.
538800	542540	Another story went viral around the same time, this time of a Canadian veteran who was suffering
