start	end	text
0	9640	I recently had a conversation with Lilith about the whole don't say gay thing that's
9640	10640	happening right now.
10640	13160	No, not in the tubcast, this was an offline talk.
13160	17020	Being trans, she took up the unapologetically pro-trans position, which I don't completely
17020	18020	agree with.
18020	20120	I'm not faulting her for it, it's an issue close to her heart.
20120	23520	I might be the same way if I were in her shoes, but I wanted to look at the topic as objectively
23520	24520	as I can.
24520	28600	And, spoiler alert, yeah, we're going to discover that neither side is exactly correct.
28600	29780	So let's get into it.
29780	33900	Florida's Parental Rights in Education Act, labeled as the Don't Say Gay Bill by
33900	38720	its critics, is a recently passed law that outlines new statutes for primary education
38720	41920	insofar as sexual orientation and gender identity is concerned.
41920	45460	The bill prohibits the discussion of these topics in a classroom setting from kindergarten
45460	46460	to grade three.
46460	47460	That's nine years old.
47460	49880	Naturally, this topic has got everybody's panties in a bunch.
49880	52760	Leftoids are screaming that this is homophobic and transphobic and it's going to result
52760	54340	in the deaths of trans kids.
54340	57380	Rightoids are screeching that this is necessary because the school system is inundated with
57380	61060	LGBT groomers who are pushing trans ideology onto impressionable children.
61060	65140	The funny thing is, everyone could just calm down and go read the bill and figure it out
65140	66140	for themselves.
66140	68980	It's not some omnibus legislation that's over 9000 pages.
68980	69980	It's seven pages long.
69980	72280	I'll leave it in the description if you want to read it yourself, but let's go over
72280	73280	the pertinent points.
73280	75780	The first point of contention is paragraph three.
75780	79820	Paragraphs one and two are basically blanket statements that schools have an obligation
79820	83680	to inform parents about a change in a student's health and, for the most part, leave those
83680	86160	health-related decisions in the hands of parents.
86160	90140	Paragraph three reads, Classroom instruction by school personnel or third parties on sexual
90140	94920	orientation or gender identity may not occur in kindergarten through grade three or in
94920	99080	a manner that is not age-appropriate or developmentally appropriate for students in accordance with
99080	100080	state standards.
100080	101080	That's it.
101080	104200	This is the bit of the legislation that went viral, that discussions on sexual orientation
104200	106760	or gender identity can't happen at all before grade four.
106760	109760	This is what opponents of the bill are calling Don't Say Gay.
109760	111600	So let's examine their criticisms.
111600	114240	Firstly, there's the moniker, Don't Say Gay.
114240	117600	Everything in the wording of this bill mentions gay or homosexual.
117600	119460	It just says sexual orientation.
119460	122600	That also means that you could just as easily call it the Don't Say Straight Bill.
122600	126640	The immediate counterargument to this is that heterosexuality is pretty normalized in society
