start	end	text
0	6640	good morning my friends welcome to sj weekly what is this the sixth the seventh i forgot it
6640	12720	um but it's for august 5th 2018 and uh listen to this
18880	24960	that is the sound of a delicious morning coffee and yeah yeah i'm kind of a coffee
24960	32080	fag i i definitely like to uh indulge in a in a morning coffee it's one of the few
32080	38960	pleasures left in life it seems um but let's start with on the washington post and i'm actually
38960	45360	doing this incognito mode because they don't like ad blocker which i did finally get and they don't
45360	49520	like the fact that i've looked at too many articles on their site this month even though
49520	56720	it's only been five fucking days so is your spin class too young too thin and too white
56720	63600	the epitome of first world problems as boutique exercise studios expanded a rapid clip some are
63600	68800	questioning who's welcome after a few committed months of hot yoga at a studio in new york
68800	73360	christina rice had found her niche so when the studio announced that it was offering teacher
73360	78240	training she signed right up it was only when she arrived with her mat that she noticed something
78240	84000	striking there were 54 other women and men in the 10-week course and not one of them looked
84000	89920	like her she was the lone african-american in the class i did bond with some of the other students
89920	96240	says rice but i did feel very isolated at times there were no teachers of color i didn't have
96240	101200	another woman who looked like me who understood my struggles my insecurities it's it's just
101200	110640	fucking yoga dude do you really need to to be performing yoga of color this really sounds like
110640	117920	an entitled frankly rich black woman complaining that there aren't more entitled rich black women
117920	125040	for her to hang out with if you went to like any of the united states's poor black population
125040	130720	they would laugh this woman out of the hood boutique workout studios specialized exercise
130800	136560	specific gyms are exploding in gentrifying urban areas well maybe that's why you don't see many
136560	142240	black people there they include not only hot yoga but also crossfit which is everywhere berry's
142240	148960	boot camp soul cycle or orange theory they are the modern answer to the sprawling soulless gym
148960	154000	which insists on financial commitment but doesn't really care whether you actually work out in the
154000	158960	boutique world you make reservations you're greeted with smiles you're served an ice-cold
158960	165040	glass of the spin class is self-care kool-aid this really sounds like somebody who who just
165040	171920	couldn't make it at a regular gym gyms can be sprawling and they can be soulless but they
171920	178880	require you to be the engine not some kind of external force the point of a gym is that you go
178880	185200	and work out and you have to push yourself to work out and if you're incapable of pushing yourself to
185200	191200	lift those weights and you need something like say a boutique workout studio where you have
191200	195200	somebody leading you in the exercise you know of course if you want to pay your money and go do
195200	200560	that it's it's you're right right but this really sounds like it's looking down its nose at gyms and
200560	205120	by extension the people that can actually self-motivate and here's where we can see that
205120	210640	having a leader in your exercise is actually a privilege but some people have begun to question
210640	217280	the stark differences between the studios and the neighborhood ymca like the prices in washington
217280	225200	a single 50-minute barry's boot camp class is 34 spinning studio flywheel charges 30 solid core can
225200	230640	run as much as 37 or about half the cost of a monthly membership in most urban gyms that's
230640	236480	because these places come with trainers built into them if you go to a gym with a trainer it's going
236480	241120	to be a lot more expensive than if you just go to a gym and follow a workout that you found on fit
241120	247280	or something and like rice other fitness junkies have begun to notice who isn't coming sweat
247280	252880	through a class in one of these studios and it's very possible that you'll see it many many lith
252880	260480	young white bodies and few people of color or older or heavier exercisers maybe it's because
260480	265680	as you said this is happening in young white gentrifying areas maybe it's because a privilege
265680	274800	that only rich white kids can afford maybe maybe it's because older people generally don't want to
274800	280800	take care of themselves or at least not in this manner usually old people don't work out or if
280800	287040	they do work out they go to gyms but long who is african-american and hispanic is struck by what
287040	293440	she sees there what is their messaging saying about aging what is fit what is beauty i look at
293440	298240	everything from the signage to the marketing materials and all she sees are millennials how
298240	305120	open and inclusive is that well i mean what do you want to do do you want to force old black people
305120	311120	at gunpoint to come to these these gyms stanley who has gained some fame with her criticisms of
311120	316480	boutique workout and yoga culture's lack of diversity describes the studio she has visited
316480	322000	outside the big city bubble as anything but diverse she tackles the subject in her book
322000	328640	everybody yoga the issue she says extends beyond race i definitely want to find a copy of this book
328640	334560	now oh there's actually an amazon link well i'm not gonna pay for it um she's often the only fat
334560	338640	woman in the room as well she says and if you're looking for a mature crowd you have to keep looking
338640	343600	too by the health club association's reckoning the average age of studio exercisers is 30
344320	349760	the messaging says stanley is essentially you're allowed in the space if you're white slender able
349760	355600	body and less than 45 cisgender and heterosexual and if you're not then you're not welcome except
356960	362240	stanley you look like somebody who is none of those things and obviously you're attending
362240	368480	these studios maybe it's not that people aren't allowed in these studios maybe it's that they
368480	376160	don't want to go maybe it's that people have the freedom of choice to choose whether they want to
376160	382640	go to an exercise studio or a gym or to just work out at home or to not work out at all maybe it's
382640	388640	not a race and gender issue and maybe you don't need to make everything a race and gender issue
388640	393520	okay this is stupid i'm moving on to the next article uh i skimmed the rest of this off camera
393520	398160	and it's all literally just the same bullshit blaming white people because black people don't
398160	403200	want to attend these ridiculous fucking studios okay i'm done well maybe if those minorities had
403200	407520	more money in their pockets they would attend those studios but it turns out that might not be
407520	414160	the case finland's basic income test wasn't ambitious enough the payments encourage
414160	421200	beneficiaries to take work that doesn't pay a living wage kela the finnish social security agency
421200	425280	has failed to secure the funding it needs to extend its universal basic income experiment
425280	431680	beyond this year although it's sad that this grand leftist idea is suffering yet another setback
431680	436800	finland's trial effort deserved its fate before the experiment was approved by the government in
436800	445520	2016 kela officials talked about paying 800 euros or 974 a month in unconditional income to test a
445520	451200	group of working age citizens but by the time the program began early last year the amount was
451200	457280	whittled down to 560 euros if extended to the whole country the cost of the earlier proposal
457280	462320	would have exceeded the finnish government's entire revenue a similarly impractical approach
462320	469680	led to the failure of a 2016 swiss referendum on offering a payout of 2500 swiss francs it's almost
469680	475760	like if you keep giving away people's money for nothing you will run out of money it's all but
475760	481360	impossible to live on 560 euros in finland a one-bedroom apartment on the outskirts of helinski
481360	486320	rents for almost that much so the experiment's designer settled on not really paying the ubi to
486320	491520	the unemployed who kept a higher level of government support at least 32.4 euros a day
491520	497040	for the first 400 days after losing a job only the working poor would benefit significantly from it
497040	504640	i'm sure that you and i know that the reason this failed is because you can't just throw money at
504640	510240	problems and hope they go away there is definitely a problem with with grinding poverty there's
510240	516080	definitely a problem with people not being able to get an education or start a business or do what
516080	521440	they want to do with their lives but you can't just mindlessly throw gobs of cash and expect
521440	526160	the problem to fix itself but i have a feeling that this article i haven't i haven't read the
526160	530800	whole thing yet but i have a feeling that the slant is going to take is that they didn't give
530800	536480	enough money not that the idea of the ubi is inherently flawed finland has a low employment
536480	541440	rate for a rich country just 71% of the working age population compared to 77% in neighboring
541440	545600	sweden and almost 86 percent in iceland so the idea was to provide an incentive for the
545600	550640	unemployed to step into the job market even if it meant taking on part-time or badly paid work
551280	556160	the other goal was to simplify finland's complex system of housing child care and other benefits
556160	561840	by replacing them with the lump sum payment i don't know if giving people money for nothing
561840	569040	is going to incentivize them to take on part-time or badly paid work you know the the point of
569120	576160	something like a ubi is to one rescue people in grinding poverty who just cannot who have
576160	582320	nothing zero just can't get ahead because they have no base with which to start and two it's
582320	589280	to assist people in you know if they're if they're working something like part-time work or badly paid
589280	595440	work it's to assist them into having a buffer so that they can maybe invest in themselves or go
595440	601200	back to school or on the side start their business it's to help ambitious people however this article
601200	606800	and in general ubi supporters seem to assume that all people are ambitious people which is just not
606800	612480	the case the ubi is not going to get people into part-time or badly paid work it's designed to get
612480	618320	ambitious people without resources out of that work keela is not promising to release any results
618320	624160	of the experiment nobody's surprise there which involves 2 000 people until the end of 2019 or
624160	629760	even the beginning of 2020 but it was clear from the start that a basic income even such a low one
629760	635680	is an extremely expensive way to boost precarious forms of employment at 550 euros a month keela
635680	643360	calculated the ubi would cost 19.3 billion euros a year while the government would only save 3.6
643360	648080	billion euros on existing benefits as for getting people to return to the job market the center-right
648080	655200	cabinet of prime minister uh juha i don't know how to pronounce that juha sapila appears to be
655200	659680	more interested in cost-effective negative motivation for the unemployed than in rewarding
659680	664480	them for finding work that doesn't pay a living wage the government has proposed for example
664480	670080	requiring out-of-work people to apply for at least one job a week to keep receiving benefits unless
