start	end	text
0	7080	What's up Dave?
7080	12960	Do you want to tell all the people out there who are looking at you right now what's going
12960	13960	on today?
13960	14960	Because today is the 15th.
14960	15960	Oh yeah, I do.
15960	16960	Wait.
16960	19960	Is this a live thing?
19960	28360	Oh my god man.
28360	31240	This is when we get two videos a day from now on.
31240	33160	This has been No Talent Gaming Starts.
33160	35480	Yup, yup, yup, yup, June 15th.
35480	38320	Do you just have no talent in the rest of your life as well?
38320	39800	It is June 15th.
39800	41600	It is that day.
41600	44960	That day where life changes forever.
44960	45960	Life changes forever.
45960	46960	Two day, two day.
46960	47960	Two, two, two, two inches a day.
47960	48960	Guarantee, guarantee, guarantee, guarantee.
48960	49960	What games will they be Dave?
49960	58720	That will do Bangor Kazooie and Pokemon Soul Silver.
58720	61240	Are you really sure about that?
61240	62360	I'm HIV positive.
