start	end	text
0	29960	Hey, we're back in the movie studio.
29960	34040	This time to talk about the newest Star Wars property, well, slightly newest.
34040	36200	The Obi-Wan Kenobi show has been done for about a month.
36200	40560	I figure that's enough time for the fanboys to stop soying out over it and start soying
40560	42880	out over Star Wars andor instead.
42880	45520	These shows seem to have a particular life cycle.
45520	49680	When the name is quietly printed at one of those corporate meetings, fans begin to rapidly
49680	57040	speculate.
57040	60320	Once the trailer drops, everyone uploads their reaction video where they're screaming and
60320	62560	crying and clapping and talking about how they've done it again.
62560	67200	Oh my god, it's a cultural phenomenon.
67200	71160	Then as the movie or the show or whatever actually premieres, everyone gets into a competition
71160	75760	on social media to see who can give Disney the deepest, most full-throated blowey they
75760	76760	can.
76760	80640	And then a month later, everyone finally comes to their senses and realizes, yeah, that was
80640	81640	kind of shit, wasn't it?
81640	85700	I've got a lot to say about the Obi-Wan Kenobi show, so it goes without saying that I'm going
85700	87340	to spoil pretty much everything.
87340	92140	Therefore, if for some ungodly reason you plan to watch this series yourself, you may
92140	93860	want to step away from this video.
93860	97460	Also, I'm very aware that multiple channels have already gone over the show in depth,
97460	100640	including Red Letter Media, EFAP, and It's a Gundam, and I'll try not to say the same
100640	103940	things that they do, but you know how this reviewing stuff goes sometimes.
103940	108100	Don't worry though, at the very least, I won't be autistically analyzing the different eras
108100	111700	of Darth Vader's suit to find inconsistencies in the costume.
111700	113820	Geez, Gundam, that was a bit too much even for me.
113820	116460	Oh, Vader does look like a cosplayer this time around.
116460	121140	Additionally, even though this video is an in-depth review of the Obi-Wan Kenobi show,
121140	125500	it's also a wider discussion of Star Wars as a whole, including at the end a political
125500	126500	discussion.
126500	127700	If you're not here for that, that's fine with me.
127700	131780	The Kenobi review ends and the meta conversation begins at about the halfway mark.
131780	140500	But enough goofing around, let's get this show on the road.
140500	143780	The first episode of Obi-Wan Kenobi begins with the supercut of the original trilogy,
143780	146880	and I gotta say, they cut the shit out of these movies.
146880	150380	Just to let you really young Zoomers know, the internet did actually exist 20 years ago
150380	154540	when the prequel trilogy came out, and forum posts and later YouTube videos of the day
154540	157540	considered these three movies to be dogshit.
157540	161620	That's all it takes for Cypher to give up his whole life in service to some evil mastermind.
161620	165820	Honestly, is Cypher the most easily manipulated little worm on the planet or what?
165820	170320	Who's going to believe that a hero, young and reckless though he may be, is simply going
170320	175520	to abandon his entire life and his career in a prestigious, respected order of warrior
175520	180080	knights just because some evil wizard challenges his feelings of powerlessness and impotence
180080	183640	and offers him the chance that power and respect he feels he's been denied.
183640	185280	You're not all powerful.
185280	187120	Well, I should be.
187120	190240	I will be the most powerful Jedi ever.
190240	195520	But at the very least, people are nostalgic for them, despite or perhaps because of their
195520	196520	flaws.
196520	199720	I think that's why the meme of shitting on the prequels versus the sequels caught
199720	200720	on for a while.
200720	202880	People know the prequels are bad, but they love them anyway.
202880	203880	They can take a joke.
203880	208660	Anyway, despite these being three shitty movies, this supercut makes them look amazing.
208660	209660	The music's great.
209660	212080	They show Anakin's life and his relationship with Obi-Wan.
212080	213080	It's just…
213080	214080	Mwah.
214080	217680	It was watching this when I realized that I think I love the idea of Star Wars more
217680	219920	than the execution of Star Wars at this point.
