start	end	text
0	10360	This video is kind of a follow-up to a previous video, called consent is deontological. Here's
10360	15560	the TLDR. Consequentialist ethics are basically good is good ends. Deontological ethics are
15560	19480	basically good is good rules. The problem with deontology is that it's not hard to find a
19480	24160	situation where a corrupt set of rules causes evil, hence the idea of the pious churchgoer
24160	28060	hurting others in the name of God. The problem with consequentialism is it's very easy to justify
28060	32300	any sort of evil as long as it's theorized outcome is good, hence the phrase ends justify
32300	37540	the means. And in the video I describe how the concept of consent operates on deontological
37540	41340	ethics. The basic idea is when you give your consent to another person what you're actually
41340	46140	doing is outlining a set of rules almost always informal and unwritten ones but rules nonetheless
46140	51500	that you agree to abide by and this works not only for sexual consent but all types of consent.
51500	57140	Let's say I tell you I'll meet you at the pub at 7 p.m. that is a rule I give you my word I will
57140	61620	be at a place and time and if I breach it I will have failed morally in some small way given that
61620	66140	example but it's still a failure if I arrive at 715 you're justified in being a little annoyed
66140	70540	at me even if you are also late then we're both a little bit at fault let's say that you're late
70540	74660	because your car got hit on the way over and I'm late because I'm a little bit lazy even though the
74660	79220	outcome is the same that we're both late one of us has a greater moral culpability because it's
79220	83580	not only outcomes that matter but intentions as well that's why I made the point in that video
83660	87960	that fundamentally socialists don't care about consent and not simply because the socialist
87960	92140	community colloquially seems to contain more sex pests on average it's also because socialism
92140	96620	contains a disdain for the concept of private contracts or voluntary association or property
96620	101260	ownership or if you're dealing with the really progressive ones stuff like monogamous relationships
101260	106420	or concepts like prudence or honor socialists view your consent as an obstacle in the way of
106420	111460	the socialist project you call it selling out your principles I call it fucking winning and
111460	121420	that's my principle to win as a socialist not to lose as a socialist that's not my principle I
121420	126820	don't give a fuck about principled failure haha bringing it back vosh has been pretty good to me
126820	129940	with this clip I'm not gonna lie but I've been thinking about this idea a little bit more
129940	134780	recently I did that video on Roe v Wade where my position was basically that while I am pro-choice
134820	139860	myself the actual ruling of Roe v Wade was a bad way to implement abortion access it wasn't voted
139860	143860	on by the people of the United States on either the state or federal level rather it was imposed
143860	148780	on the population by the court access to abortion in the USA was gained not by passing legislature
148780	154020	but by bypassing the legislative process altogether using pretty shaky judicial reasoning to do so it's
154020	159700	not the court's job to spin up whole cloth new quasi legislature like Roe v Wade did it's the
159700	163900	court's job to judge whether or not a piece of actually passed legislation violates the
163900	168740	Constitution in other words I recognized that Roe v Wade violated the process and I've had a
168740	172100	few conversations with left-leaning people I'm friendly with in this topic at this point and the
172100	177380	question almost always boils down to the process they asked me why is violating the process so
177380	181700	important to you isn't the outcome good don't you want abortion access to and that's when I realized
181700	185540	yeah I do want abortion access I do think the outcome is good or at least unnecessary evil
185540	190060	definitely a lesser evil than if abortion were just blanket banned but I also realized the process
190060	193780	was important not simply for the sake of the process itself but because the process is the
194660	198820	upon which the consequences rest that's why Roe v Wade is falling apart regardless of how you feel
198820	202980	about how it was constructed the foundation has always been broken and as I was talking about this
202980	207620	with these people I realized that this is the same as the relationship between deontology and
207620	212020	consequentialism understanding that the process needs to be followed in order to create a solid
212020	216420	justification for the outcome is the same as understanding that you need deontological ethics
216420	220660	in order for consequentialist ethics to even make sense I gave the example in that previous video
220660	225060	about consent of the consequentialist atheist arguing with the consequentialist isis member
225060	229220	over whether or not it's ethical to throw gay people off of rooftops the atheist can appeal
229220	233060	to good ends you shouldn't kill people who haven't hurt anybody else being gay isn't bad and the isis
233060	237140	member can appeal to his good ends that's degenerate scrubbing society god is happy as sharia is
237140	241460	fulfilled both of these people are calculating out the best ends but what makes their results
241460	245940	different is that they each begin with a different deontological rule set the isis member is assuming
245940	250340	that killing gays is good a priori while the atheist assuming the opposite and their difference
250340	254340	and consequences are just post-hoc rationalizations there's no reason to assume
254340	258660	that either of them is objectively correct either there's no scientific consensus here the universe
258660	262580	itself doesn't care if the gays are killed or not the atheist might appeal to harm reduction but the
262580	266100	isis member will say that he's reducing harm to society the atheist might appeal to something
266100	270100	akin to the libertarian's non-aggression principle that the gay person didn't make any aggressive
270100	274100	actions toward anybody else simply living in private the isis member well he'll likely
274100	278820	actually say that being gay is itself an aggressive action but if he's smart he'll say that valuing
278820	283540	self-defense and non-aggression is itself subjective and he's under no obligation to
283540	288500	value those things in his calculations it seems like at least to me what is good is what feels
288500	292020	good and i don't mean feels good like it's pleasurable and i don't mean anything like that
292020	297300	i mean it feels like goodness it feels like it is moral and that's way more of a deontological
297300	301220	statement than a consequentialist one it makes sense then that all consequentialist calculations
301220	306660	require a deontological frame that's how you determine what makes good ends good that's why
306660	310340	the atheist and the isis member cannot come to the same conclusion despite both being
310340	314260	consequentialists if consequentialism is the mathematics telling you how to solve a formula
314260	318420	then deontology is the numbers you plug into the formula you're trying to solve they require each
318420	322500	other in a way i've also been thinking about the january 6th riots recently the issue with them
322500	326660	isn't that they were inherently unethical if the election was actually being stolen by a group of
326660	331540	anti-democratic elites then every single thing done on that day and far more would have been
331540	334980	entirely justified what else can you do if your vote's being stolen that's why i don't completely
334980	338660	blame the rioters they still did it there's still a level of culpability there like i said if you
338660	341940	truly believe you're about to lose your government and fall into a dictatorship there's no other
341940	345140	option that's why i don't buy some of the stuff that i hear coming out of the broader left right
345140	349620	now about how all the rioters were these evil fascist insurrectionists or whatever the issue
349620	354500	ultimately is was it actually being stolen i know that a lot of people who watch this channel
354500	358180	genuinely believe that it was they believe that the institutions were corrupted the votes were
358180	362100	rigged everybody was deep state agents operating to get rid of trump the whole thing at this point
362100	366660	i'm kind of on the fence i think the election was actually probably legit but if decisive evidence
366660	370180	dropped tomorrow that it wasn't i wouldn't be surprised for the sake of this conversation
370180	374260	though we're assuming that the election was completely valid trump lost fair and square
374260	379220	and that trump was not just a bumbling doofus who didn't know how much damage he was causing
379220	383780	or an egomaniac who huffed his own copium to the point that he also believed he won and was
383780	389300	unjustly being ousted but that trump was actually a budding dictator who knew he had lost and didn't
389300	394740	care because he a priori considered his victory to be more important than the vote assume that
394740	399060	for this conversation i know it's hard you can do it the democratic process is arguably the most
399060	403540	important institution in u.s history trump was fighting tooth and nail to undermine that
403540	408260	institution from poisoning the well on mail-in ballots months before the vote to saying to his
408260	412580	supporters we gotta march up there take back our country you don't fight like hell you're not gonna
412580	419460	have a country anymore we're going to try and give them the kind of pride and boldness that
419460	424340	they need to take back our country and admittedly yes also saying we need to peacefully make our
424340	428820	voices heard which to be fair is pretty good cover for his rhetoric i know that everyone here will
428820	435940	soon be marching over to the capitol building to peacefully and patriotically make your voices
435940	440260	heard they're calling up various governors saying you gotta find me more votes all i want to do is
440260	451700	this i just want to find uh 11 780 votes which is one more that we have to putting his own vice
451700	456820	president on blast when he refused to violate the procedure and crown trump president in other words
