start	end	text
0	3640	Recently, I decided to go back and see what Yahtzee's been doing.
3640	5400	You know, the Zero Punctuation guy.
5400	10080	The only reason The Escapist became a relevant platform due to their signing him on exclusively.
10080	14200	I remember watching ZP religiously for the first couple of years, but I eventually just
14200	15200	fell out of it.
15200	18800	I didn't really turn on him or anything, I never stopped liking his stuff, I just one
18800	21640	day forgot to go check out the new update, and that was that.
21640	25920	But considering how absolutely cucked the game's media is right now, and The Escapist
25920	30760	specifically, with the whole bringing back movie bob thing, and the apologizing to Zoe
30760	34920	Quinn for actually talking about ethics in journalism thing, I predicted that Yahtzee
34920	38200	would have cucked out like the rest of them, that the establishment would have worn his
38200	42520	fine edge into a dull, pathetic, blunted caricature of what he once was.
42520	44220	Thankfully, I was pleasantly surprised.
44220	47560	He still had all of the acid and wit that I remembered from the early days.
47560	51460	He even made a joke at the expense of the Ghostbusters reboot and Hollywood's recent
51460	54840	trend of blaming fans when their shitty movies failed to make any money.
54840	58680	I was actually a little overjoyed, and I spent the rest of the afternoon binge watching
58680	62400	ZP while eating chocolate covered almonds and beef jerky.
62400	67640	It seems like as my viewing habits regressed to an earlier state, so did my eating habits.
67640	70240	Back to a time when I was much, much fatter.
70240	74360	Anyway, the reason I was pleasantly surprised is because most of the internet personalities
74360	80020	from around 2009 have either vanished into obscurity or mutated into social justice infected
80020	84400	variations of their former selves, still living off the viral videos from their glory
84400	85400	days.
85400	88980	Not totally understanding that the reason they're now struggling to keep up is because
88980	93020	everything that made them great back then is exactly what they've sacrificed at the
93020	94180	altar of social justice.
94180	96020	Here's a great example of what I mean.
96020	97260	From Linkara's Twitter.
97260	101420	Okay guys, I know I gave a positive review of the Tomb Raider comic, but it's actually
101420	104500	kind of rude to at creators with reviews of their work.
104500	107940	It doesn't help that since my show is intended to focus on the negative stuff, description
107940	109780	of the video might give them the wrong idea.
109780	114820	I never thought I'd see the day where the angry reviewers of yesteryear cucked out so
114820	119900	fucking hard that they blatantly admit that by their own warped definitions, their own
119900	123200	show, their own body of work is toxic and hateful.
123200	127780	Angry reviewers review bad stuff, they're angry for a reason, it's a part of the gag.
