start	end	text
0	9320	Okay, guys, it is time for the next harvest.
9320	13320	This is the first week of July, the lettuce still isn't ready, but everything else is
13320	14320	definitely good.
14320	18520	I'll be getting kale and peas for tonight's salad.
18520	20520	Look at those peas.
20520	22960	Wait a second.
22960	23960	Naomi?
23960	24960	Yeah?
24960	25960	Can you throw down a bowl?
25960	26960	Damn it, Dad.
26960	27960	Ow!
27960	32840	God damn it.
32840	36080	Let's see if these peas can be pulled off.
36080	40400	Kinda, but kinda not.
40400	44520	I don't want to pull too hard.
44520	45520	You know what?
45520	47520	I guess I'll have to snip them.
47520	49360	Yeah, they're looking good.
49360	51000	And now for the kale trim.
51000	55540	Well, the bowl was a bit too small, but that's okay.
55540	59500	It is incredibly stormy out here right now.
59500	62820	The new deck set is getting drenched.
62820	68420	It's an extremely warm rain, though, and that's nice.
68420	70700	Good for the garden, too.
70700	74540	So where's all that water coming from?
74540	79460	Oh, Jesus.
79460	80860	That doesn't look very good.
80860	83700	Maybe I gotta fix that.
84020	88580	Oh my lord, this has been my entire summer.
88580	92260	Nothing but monsoon season, dude.
92260	95740	I don't know if you can see it down there, but the garden is flooding.
95740	98900	I still haven't fixed that, either.
98900	100420	It's blowing into the house.
100420	101460	Here we are.
101460	105100	It's nearing the end of July at this point, and this is how the garden looks.
105100	110380	There's Naomi doing some weeding, and there's actually a lot of weeding to do.
110420	113900	A combination of things prevented us from harvesting earlier.
113900	120100	There's a lot of kale, there's a lot of chard, there's a lot of lettuce, and a fair number
120100	121100	of peas.
121100	123740	However, I am noticing some problems with the current garden.
123740	125300	That was full of weeds.
125300	130580	Maybe it's weeds, but also, like, the cucumbers should have taken off by now, and they haven't.
130580	131900	There's not many tomatoes coming in.
131900	133580	I see, like, one tomato in there.
133580	134580	They're still flowering, bro.
134580	137620	They're still flowering, but, like, they're not really going the way that they were last
137620	138620	year.
138620	140700	The kale's doing well, and the kale's doing well.
140700	145500	However, also, I think the peppers should have started up earlier, too.
145500	148820	Maybe it's because of how wet it's been this summer?
148820	151220	Maybe it's because of how hot it's been this summer?
151220	152220	Who knows?
152220	153620	Hot and wet, and sometimes cold.
153620	154620	Wet, hot American summer.
154620	155620	Meh.
155620	158340	I have a feeling this might not be a great garden this year.
158340	159340	Nope.
159340	160620	But at the very least, tonight, we'll be able to-
160620	161620	Can you move the lettuce?
161620	162620	Wow, Naomi.
162620	163620	Can you just move it?
163620	165620	How many weeds have you thrown in there?
165620	166620	None, actually.
166620	167620	That was the first one.
167620	168620	I'm sure.
168620	173300	And I'll come back down tonight to collect peas for the salad.
173300	175460	Right now, I've got to harvest all this kale, man.
175460	176460	There's too much of it.
176460	177460	And look at that.
177460	179380	That's a lot of kale I've got to pick up now.
179380	181340	How many bags will that be?
181340	182340	Three or four?
182340	184460	I accidentally threw it, and even though it was so far away.
184460	185460	I moved it.
185460	186460	Are you kidding me?
186460	187460	I'm sorry.
187460	189460	It was a gentle toss.
189460	190460	Yeah?
190460	191460	You know what?
191460	192460	Don't-
192460	193460	Deserved.
193460	194460	What?
194460	195460	Don't.
195460	196460	That's good.
196460	197460	That's good.
197460	198460	That's good.
198460	201460	There we go.
201460	203700	Four bags of kale, ready to be frozen.
203700	205420	I'm going to eat this out of the garden now.
205420	206820	I'm going to help Naomi with the weeding.
206820	208140	There she is.
208140	214420	And you can see, there's a few small tomatoes coming in, but not really that many.
214420	221700	Also, the cucumbers are growing very slowly, and the roots, not the roots, but the early
221700	222980	part of the vine is very white.
222980	225140	I don't know what's going on there.
225140	230780	At the same time, it was like the same problems overtaking the peas, but at least they produced
230780	233140	more peas, and they lasted longer this year, you know?
233140	234780	There's one dead vine in there already.
234780	239820	They didn't grow as tall as they did, but they are producing more peas, and that's nice.
239820	242140	So I guess I'll look at all those weeds.
242140	243140	I'll get to weeding then.
243140	245140	Wait, Naomi, you're sitting on a plant?
245140	246140	No.
246140	247140	Just move your feed for a minute.
247140	248140	I'm not.
248140	251460	There's a really tiny plant that's barely alive in there.
251460	252460	Wait, did you pull it out?
252460	253460	No.
253460	254460	There's no plant here.
254780	255780	No, there actually is.
255780	256780	Seriously.
256780	257780	Okay.
257780	258780	Oh, no.
258780	260780	Yeah, it's right there.
260780	261780	See?
261780	262780	There it is.
262780	264940	It's a really tiny kale trying to recover.
264940	266980	There's a little bit of growth in there.
266980	267980	See that?
267980	268980	Don't step on the plants, Dev.
268980	269980	I won't.
269980	270980	I don't believe you.
270980	273980	Is this the second kale plant that you've murdered, Naomi?
273980	274980	Yes.
274980	279820	I hate kale secretly, even though I eat it all the time, so I just murder kale plants
279820	281620	because it brings joy to my life.
281620	283620	I have a feeling that one's not coming back at this point, eh?
283780	284780	Probably not.
284780	285780	Oh, well.
285780	287780	Okay, Naomi's going to get some water, and we're done.
287780	288780	Don't fall.
288780	292780	So, we're finished with weeding for the most part.
292780	294780	It looks a lot better.
294780	296780	We have all the kale.
296780	299780	I pushed some of the vines towards going up the lattice.
299780	301780	Hopefully, it'll be okay.
301780	303780	I don't know about the garden this year.
303780	304780	I don't know.
304780	305780	It might not be so good.
305780	308780	Maybe I put the tomatoes too close together.
308780	310780	The peas always seem to die.
310780	312780	I don't quite know why.
312940	316540	She accidentally dug up a root of the peas while weeding, so she theorized that maybe
316540	322280	what's going on with the peas is that we're not watering them deep enough so the roots
322280	323980	aren't going deeply.
323980	328380	Maybe that's the problem, but other things seem to be going very well.
328380	334940	We'll grab some of the Swiss chard and the peas tonight and the lettuce for salads, and
334940	335940	it'll be a-okay.
335940	337940	Can you see that?
337940	339860	That's a spider web in the garden.
339940	345100	I have not been around much this summer, and the garden has become, well, it's gotten away
345100	347100	from me a bit.
347100	350100	Anyway, here's what's been going on.
350100	354540	The lettuce is going crazy, but now the lettuce is bolting, and this is entirely my fault.
354540	360200	I just haven't trimmed it, haven't been around, but hopefully, if I cut it down again, it
360200	361200	should be okay.
361200	363260	It's time for another trim of the kale.
363260	365220	It's definitely time to start eating the chard.
365220	369820	There's a pepper coming in finally, and over there, see that red?
369820	370820	There's a tomato.
370820	372260	The cucumbers aren't doing so well.
372260	374660	There's one cucumber there, but generally the vines aren't going.
374660	376180	I don't know what happened this year.
376180	380700	There's still peas, and they're still growing, but they didn't really take off the way that
380700	381700	they did in previous years.
381700	384100	At least they got a lot of peas out of them though, so that's okay.
384100	387320	They actually lasted longer than previous years, which is surprising.
387320	393980	The garden overall is not doing nearly as well, hi Naomi, is not doing nearly as well
393980	395220	as previous years.
395220	396960	I don't quite know why.
397000	400740	The kale and the lettuce are the things that really, really worked out.
400740	404760	Everything else is kind of working out, but it's still worse than last year.
404760	409560	Also, look, that tiny kale is slowly coming back.
409560	413640	This time, I just brought a giant pot because there's too much to harvest.
420280	422240	Jesus, it's filled the whole pot.
422240	423240	Same thing with the chard.
423360	427960	I haven't trimmed one of these on camera before, so I think you just get in there, snip the
427960	434240	stalk, get a bunch of chard leaves.
434240	435240	That's a big leaf.
435240	444480	All right, well, I guess I'll just trim again like so and hope that it won't keep making
444480	445480	seeds.
445480	451120	You basically just cut it like grass if you're cutting your lawn with scissors.
451120	453000	These are all cut.
453000	454560	Let's hope they continue to grow back.
454560	459020	Maybe so I can pick off some of these lower leaves too.
459020	460020	These guys here.
460020	461020	Yeah.
461020	464040	That was a few blades of grass in there.
464040	465560	That's okay, we'll figure it out.
465560	466560	There it is.
466560	468960	Just a big pot of leaves.
468960	471240	Naomi, look at this.
471240	476320	That's a weird looking stew, Dev.
476320	480000	It's the first week of September, we're coming up to the end of the garden and it is not
480000	481000	looking good.
481000	482840	Peas always die around this time of year.
482840	483840	That's fine.
483840	484840	Expected.
484840	485840	We got our share of peas out of them.
485840	487120	The lettuce was a success for the most part.
487120	488760	The two chard plants worked out.
488760	490160	The kale, as always, was amazing.
490160	491160	We've got to cut it again.
491160	496400	We only got a few decently big peppers out of them this time, like this one, for example.
496400	497940	That one didn't take off at all.
497940	502560	The cucumbers just never grew and there's like one little tiny cucumber there.
502560	504480	I don't know what happened.
504480	506480	The tomatoes have been hit and miss.
506480	510840	Firstly, whenever there's a red one, not so much this time, but for the most part, whenever
510840	512720	there's a red one, an animal goes to eat it.
512720	515880	That one's been eaten by an animal, probably like a chipmunk or something.
515880	520120	Secondly, this small one fell on the ground, so I took it off, hoping it would ripen up.
520120	522200	But instead of ripen up, it just rotted from the inside.
522200	527700	If I pull off all those green tomatoes and if they don't rot, like this one did, we might
527700	529580	get half what we got last year.
529580	533560	We are in the second week of September.
533560	535600	Naomi's gathering up the kale right now.
535600	536600	You missed her feet.
536600	538360	She was changing her shoes.
538360	539760	You missed the Naomi feet pics.
539760	542100	Cut your toes off, Dev.
542100	545320	We have frost coming, so it's time to pull off whatever we can pull off.
545320	548000	This sucks because like, it's coming this week.
548000	549600	It's coming with all the rain.
549600	551840	I guess the garden just didn't work out this year, guys.
551840	553400	I'm not happy about it, but.
553400	554400	Kale did.
554400	557720	I guess if you live in Northern Ontario, there's gross shit tons of kale.
557720	558720	Yeah.
558720	559720	Kale always works out.
559720	563040	Dude, even that, that one that I stomped on like made a slight comeback.
563040	564040	Yeah.
564040	565040	You can get like four leaves out of that.
565040	566040	Yeah.
566040	568440	Got the, uh, the old snippers.
569440	571840	These are pretty dull at this point, but they're also like seven years old.
571840	572840	Yeah.
572840	574840	Yeah, I need one of those Pokemon bowls.
574840	575840	Pokemon.
575840	576840	Pokemon.
576840	578840	I'll just, uh.
578840	582440	In this case, that means produce.
582440	583440	Produce?
583440	584440	We're catching produce?
584440	585440	Yeah.
585440	586440	Look at this.
586440	588440	This tomato got so fat, it bent the vine.
588440	589440	Nice.
589440	590440	Give us the big fat tomato.
590440	593440	There's actually a lot of tomatoes on here that is all green.
593440	594440	Yeah.
594440	596440	Except for that one over there.
596440	597440	Or a red one.
597440	598440	Or a red one.
598440	599440	Like we did get a bunch.
599440	602440	This is way less than normal, but we still got a bunch of tomatoes.
602440	604440	So, like it's not a complete loss.
604440	606440	I just grabbed the only two peppers.
606440	608440	Naomi's here sniffing away.
608440	610440	And this is what I mentioned last week.
610440	611440	Some of them just rotted.
611440	612440	Some animals ate them.
612440	615440	Like, but there's still a bunch that are like okay.
615440	616440	I think we'll be fine.
616440	619440	Yeah, like there's a lot of hidden ones.
619440	620440	Like right here.
620440	621440	Yeah.
621440	622440	See, look at all those.
622440	623440	Yeah.
623440	624440	They're green, but they're big.
624440	625440	I just noticed this.
625440	626440	You see that?
626440	628440	There's like two little peas.
628440	634440	Even on this dead vine, you can still find like the final little bits.
634440	635440	I don't think I'd eat those.
635440	636440	They don't look very good.
636440	637440	But still.
637440	639440	Like, um, mines away.
639440	642440	So this is the final dregs of the lettuce.
642440	643440	As you can see.
