start	end	text
0	6400	oh god oh my god you guys i accidentally deleted my libs of tiktok file i've been saving little
6400	10640	tidbits of info for months as i do you know i do this if you ever watched a video or stream where
10640	14720	i described my work process i figured it was finally time to do the video now that the whole
14720	19200	taylor lorenz thing is going on went to grab my file and it was gone and the worst part is i'm
19200	23520	pretty sure i just mindlessly deleted it when clearing out some old stuff because it was right
23520	27360	near the stuff i was deleting well that's what i get for being a boomer and keeping everything on
27360	31840	my desktop i guess but you know what maybe it's not so bad i think i can recreate everything i
31840	36320	had saved up well enough let's give it a shot before we can talk about taylor lorenz we have
36320	40320	to talk about libs of tiktok libs of tiktok is a twitter account that began with the gimmick of
40320	44560	dredging up especially cringy progressive and socialist videos on tiktok and reposting them
44560	49440	with limited or no commentary cue me getting angry at americans using the word liberal incorrectly
49440	53520	for the billionth time but you know whatever we all know what's going on at the beginning libs of
53520	58160	tiktok functioned a lot like the various posting their ells accounts these accounts would provide
58160	62480	little to no commentary of their own simply reposting other people's content the idea is
62480	66800	that while the audience of the original posters of that content would be supportive of the message
66800	71920	the audience of the ells account wouldn't be the ells account would therefore act as a quasi expose
71920	76000	even though the content they post is entirely public and accessible to anyone and the value
76000	80320	would come not through adding commentary but providing the content to an audience that is
80320	85280	explicitly poised against it now if you were to ask the question why is reposting other people's
85280	90080	content bad the surface level answer is of course you're stealing content without reacting to it
90080	94320	that's what i bitched at on efap for three weeks in a row recently regarding hasan go watch that
94320	99360	if you like but while hasan outright steals content wholesale playing it for a stream while
99360	104880	providing no additional commentary and no citation the courts have ruled that reposting content while
104880	109360	adding no additional commentary with the intention that the content nonetheless be seen in a
109360	112800	different light because it's being transmitted to a different audience by a different person
112800	117840	constitutes a transformative use that's the whole reason that sargon won his lawsuit against akila
117840	122880	obviously so since this sort of thing actually isn't theft what's the next level answer to the
122880	127840	question why is reposting other people's content bad and the progressive answer seems to be that
127840	132720	it has to be bad because while twitter and tiktok and other platforms don't ban the original posters
132720	137680	of the content they have banned some of the most infamous ells accounts like trans women posting
137680	142240	their ells e-girls posting their ells and vosh fans posting their ells you call it selling out
142240	148480	your principles not not today not this time even though these accounts also simply reposted content
148480	152560	while adding only some of their own commentary they all eventually got nuked from orbit by
152560	157040	twitter presumably because the act of shining a spotlight on the bad behavior of members of
157040	161360	protected classes or people who are politically correct just brings too much heat down on the
161360	165920	platform libs of tiktok for a long time managed to ride that line of culpability perfectly and
165920	169200	so they didn't get a quick ban like those other accounts that i mentioned the libs of tiktok
169200	172880	account was previously several other gimmick accounts tweeting about kuomo at one point and
172880	177360	then as a potted plant in the white house at another but the whole reposting people's manic
177360	182320	rants with no comment thing went viral repeatedly so that was the gimmick that stuck but like its
182320	187040	brethren libs of tiktok would eventually fly too close to the sun though the account posted all
187040	192080	sorts of leftist content initially libs of tiktok eventually focused in on posting videos made by
192080	197520	teachers in the context of florida's don't say gay bills where left-leaning teachers openly mocked
197520	209360	the liberal idea of neutrality in education defied the parents of children who may have been
209360	214240	lgbt questioning hey if your parents don't love and accept you for who you are this christmas
214240	220080	fuck them i'm your parents now i'm proud of you drink some water i love you bye advocated for the
220080	224800	position of pedophiles or as they call minor attracted persons um i use the term minor
224800	228960	attracted person or map in the title and throughout the book for multiple reasons
229600	234960	first of all because i think it's important to use terminology for groups that members of that group
234960	241360	want others to use for them and map advocacy groups like before you act have advocated for
241360	247760	use of the term map they've advocated for it primarily because it's less stigmatizing than
247760	253280	other terms like pedophile a lot of people when they hear the term pedophile they automatically
253280	258880	assume that it means a sex offender and that isn't true and it leads to a lot of misconceptions
258880	264160	about attractions toward minors i've definitely heard the idea that you brought up though that
264160	268400	the use of the term minor attracted person suggests that it's okay to be attracted to
268400	274240	children but using a term that communicates who someone is attracted to that doesn't indicate
274240	278480	anything about the morality of that attraction here's mocking that liberal idea of neutrality
278480	283680	again these people don't believe in the idea of an ideology free space where ideas can be formed
283680	288400	and tested to the conservative news source that wrote an article about me that seemed really
288400	293280	focused on the flags i have in my classroom um there's a couple of things you missed actually
293280	297120	in here the first thing you missed is all 13 principles of the black lives matter movement
297120	302480	hung up at the top of my wall here because i want my students to know that flag is not just
302480	306800	a decoration but that we actually live out these principles in our everyday life you definitely
306800	311440	missed my smaller posters including this one about getting vaccinated about voting all these ones i
311440	316160	have from jay salazar that are black historical figures man you missed a lot including some of
316160	321200	the memorabilia and awards i've won as michigan teacher of the year but like go off about my flags
321200	326720	talking to toddlers about intersex for some reason here's a developmentally appropriate way to talk
326720	334080	to toddlers about bodies and gender you know the body parts that your diaper or your panties
334080	341920	or your underwear cover those are called privates everyone has privates private means that they
341920	351760	belong to you and only you in the front everybody has genitals but there are different kinds of
351760	363280	genitals some genitals are called a penis some are called a vulva others look maybe a little bit
364080	370320	like each in some ways or kind of like neither or somewhere in between
371840	379440	people with those kind of genitals are called intersex when babies are born parents sometimes
380160	388240	guess their gender based on their genitals they tend to guess boy for babies who have a penis
388240	395920	and girl for babies who have a vulva sometimes parents guess wrong though and that's okay
395920	402400	everybody makes mistakes sometimes people whose parents guessed wrong about their gender are
402400	406960	called transgender and here's apologia for enthusiastic consent for children having sex
406960	413360	with adults also if young people are initiating sexual activities with adults or enthusiastically
413360	420160	involved we can't be effective in working with them if we assume that all such relationships
420160	426160	start with a predatory or criminally inclined inclined adult the as we're seeing in the
426160	435920	discussion young people bridle at being forced into this box of being seen as being the victim
435920	440720	of a predator i can actually keep this list going for a very long time literally just scroll down
440720	444080	the libs of tiktok account yourself if you want to see these clips there's got to be hundreds at
444080	448720	this point but as more and more teachers started making tiktok videos about the various ways in
448720	453040	which they were subverting the system libs of tiktok found more and more success shining a
453040	457120	spotlight on these people the account was so successful that tucker carlson gave it a shout
457120	462720	out on april 8th so in classrooms amaze.org isn't even necessary a lot of times some teachers do
462720	467520	the jobs themselves we know that in part because the hard work of a twitter account called libs of
467520	471680	tiktok which you ought to follow before it's banned if you want to know what may be happening
471680	476080	in your child's school libs of tiktok just unearthed this video shows a teacher bragging
476080	483360	to her students about her sex life little kids watch man y'all thought me uh teaching the children
483360	490560	about me being poly was crazy but not only that but they also know that i'm gender fluid
490560	497520	this was all well and good until october when i also explained to them that i'm pagan so i am
497520	503600	also a witch and i come into work and one of the children goes lois are you a boy you have short
503600	513760	hair and his sister goes no lois is a girl and a third child who's my favorite suddenly yells no
513760	524080	guys we've been over this lois isn't a boy or a girl lois is a witch so underneath all of this
524080	529920	needless to say and you can't say it enough is narcissism it's about me and my identity and my
529920	533360	journey it's not about you or your children teaching them anything it's about me let me talk
533360	538640	about me some more and by april 13th libs of tiktok had been brigaded and spam reported causing
538640	543600	twitter to temporarily ban the page for 12 hours the violation was hateful conduct even though
543600	547600	like i said before all they really did was repost and spotlight other people's stuff but the whole
547600	553040	thing really blew up with taylor lorenz the libs of tiktok account maintained its anonymity since
553040	557120	its creation as the creator has stated that they didn't want to be publicly known since they feared
557120	562400	backlash but taylor lorenz for some reason began to suspect christina pushaw the press secretary of
562400	567120	governor ron disantis as being involved with the account acting like every other scumbag reporter
567120	571040	lorenz emailed pushaw with extremely short notice hoping to be able to publish a line that would
571040	574560	read something like pushaw did not respond for comment because that looks a lot worse than it
574560	579040	actually is but pushaw did respond and also mocked lorenz publicly for the underhanded tactics
579040	583440	lorenz's reply read will note that you declined to comment on your relationship with the account
583440	588000	which was also mocked because the only relationship pushaw has with the libs of tiktok account is
588000	593280	liking the tweets in the end lorenz's article in the washington post would drop on april 19th in
593280	598000	which she described digging through archived versions of the libs of tiktok account or rather
598000	603040	she just took the digging that travis brown did a software developer but the research spanned back
603040	607200	to the white house potted plant gimmick the kuomo gimmick and even earlier where it was discovered
607200	612080	that the account was first known as shaya underscore ray and the owner publicly identified
612080	617280	herself as a real estate investor in brooklyn as shy array the account live tweeted from the january
617280	622000	6th capital riots claiming to have been in attendance the account's display name was chaya
622000	627760	raychick and when the website libs of tiktok.us was registered it was done so under that legal
627760	632000	name the phone number that website is registered to is also the same number attached to chaya
632000	636240	raychick's business profile in real estate when lorenz called the number she was hung up on and
636240	640080	when lorenz visited the address attached this information in la the woman at the door refused
640080	644800	to identify herself but the libs of tiktok account would later post a picture of lorenz through the
644800	649600	bars of a front door stating which of my relatives did you enjoy harassing the most at their homes
649600	655360	yesterday hey chaya is this you okay joking aside on the one hand i don't like this tendency of the
655360	659360	media to hunt down people with the incorrect political opinions and badger them at their
659360	664000	places of residence like this it reminds me of when cnn got so booty blasted they threatened
664000	669120	to dox a reddit user by the name of han asshole solo for making fun of cnn with a trump gift back
669120	674240	in the day but on the other hand keep in mind libs of tiktok does sometimes do comparable things they
674240	678320	expose the real faces and sometimes the real workplaces of the people that they put up for
678320	682560	display and libs of tiktok does it because they disagree with their politics both of them from
682560	686560	their own points of view believe they're doing the right thing and both of them consider some
686560	691280	form of doxing or public exposure or whatever you want to call it justified because of the actions
691280	696560	of their political opponents the question you have to ask though is it justified the person behind
696560	700800	the libs of tiktok account believes they're exposing groomers and saving kids and if that's
700800	705040	the case then there's probably a solid argument but taylor lorenz believes that the libs of tiktok
705040	710400	account is actively harming lgbt youth getting innocent teachers suspended and fired instituting
710400	714560	a witch hunt and if that's true that's also a solid argument against it so i guess we need to
714560	719680	find out which of these interpretations is true if either of them may be examining lorenz's claims
719680	724800	about the libs of tiktok account will help out claim one regarding tyler wren tyler wren a
724800	730160	former english teacher in oklahoma posted a video telling lgbtq kids shunned by their parents that
730160	734400	wren was proud of them and loved them it was featured on libs of tiktok last week since being
734400	739200	featured on the page wren has been barraged with harassment and death threats now this is a video
739200	743680	that we watched earlier and lorenz's description of the video's content is missing some key context
743680	748320	hey if your parents don't love and accept you for who you are this christmas fuck them i'm your
748320	753920	parents now i'm proud of you drink some water i love you bye lorenz excludes the part of the
753920	759440	clip where wren says i'm your parents now the clip's inclusion on the libs of tiktok page plays
759440	764000	into the rightest conception of the culture war to be sure but the exclamation that teachers should
764000	768400	supplant the parental role plays into the leftist conception of the culture war as well something
768400	773840	that lorenz left out in her claim claim too that libs of tiktok posted a video of a woman teaching
773840	778480	sex education to children in kentucky calling the woman in the video a predator again this isn't
778480	783040	entirely accurate here's what the actual thread looks like the first post reads this woman is
783040	787120	running a sexy summer camp for children in kentucky she says she thinks it's good for
787120	792080	toddlers to masturbate with this accompanying video clip that's how we should you know like get
792080	798080	down with yourself explore your own body masturbation is really healthy and i recommend it to people of
798080	804560	all ages all ages as soon as my nephews could talk they were doing that that's what they were doing
804560	811600	kids touch themselves kids start to ask questions and we teach them the language for their bodies
811600	816960	right that's your nose touch your nose show aunt t you can touch your nose but my sister's not
816960	822400	saying that when they're tugging at their penis right but it feels good right we have to learn
822400	827440	ways to talk to young people about this so that they know how to explore their body consensually
827440	832080	so that it's not in public right we don't want people exploring their bodies in public that's
832080	840080	not consensual but exploring your body at any age grandma's grandpa's all of us need to be exploring
840080	844800	our body the second post reads i work with the school systems my job was not to teach sex ed i
844800	849440	try to figure out ways to work this into the schools this woman is a predator so lorenz was
849440	854960	correct libs of tiktok did indeed call her a predator but lorenz left out all of the context
854960	859600	of exactly what was happening at this kentucky sexy summer camp and by the way the camp was
859600	864000	independently investigated separate from the whole libs of tiktok story by chris rufo writing for
864000	869680	city journal where he describes a non-profit coalition called sexy sex ed which organized a
869680	874400	series of sexy summer camp events targeted towards minors that included lessons on
874400	880880	sex liberation gender exploration bdsm being a sex worker self-managed abortions and sexual
880880	887360	activity while using licit and illicit drugs sexy sex ed's publicly available event calendar lists
887360	892800	the following classes and workshops sex with me self-pleasure workshop gender diversity let's talk
892800	900880	about sex sexy trans sex ed the three p's pee poop pee poop and pleasure sex on drugs and eugenics
900880	905920	and appalachia keep in mind this is a camp for teenagers going as young as 13 and hey while i
905920	910240	might have been jerking off at 13 women like this were the last thing on my mind as i was doing it
910240	915280	claim three that libs of tiktok was leaning hard into groomer discourse calling for any teacher
915280	919520	who comes out as gay to their students to be fired on the spot and yes that's actually exactly what
919520	926000	the tweet says here is the accompanying video so today i came out to my students here's a little
926000	931600	story so in my fifth grade classroom we have a unit where we talk about identity and how
931600	937280	people identify and we talk about traditions and customs that are handed down from ancestors
937280	946800	and things like that so i modeled for the kids today how i identify myself and in doing so i
946800	955120	told them that i identify as a mom as a sister and a daughter as a teacher i said and i identify as
955120	962240	a cis woman and i explained what that was because they had no idea what i was talking about and then
962240	970160	i said and i identify as gay in my 17 years of teaching i've never come out to my kids before
971120	977920	and i was so nervous to even say it out loud to them but they didn't even bat an eye it was really
977920	982960	awesome when i was in grade five that year was the first sex ed course we had and it dealt with
982960	987600	physical biological reproduction how it works in plants and bugs and various types of animals and
