start	end	text
0	5360	So I was having a very enlightening conversation on stream last night. It was the The Last of Us 2
5360	12480	stream. And to be fair, I was actually doing quite poorly at it. And the main reason for that is
12480	19920	because, well, I was operating on about one and a half hours sleep. Yeah, it's it's it's been kind
19920	26480	of a rough, a rough past couple days, if you know what I mean. But nonetheless, my chatroom was
26480	32080	making some very good points. And I would like at least the opportunity to ruminate on them and
32080	37280	maybe answer some questions at a time when I have, you know, had a full night's sleep and had some
37280	42640	coffee and I'm actually kind of at least halfway put together right now. Okay, so the contention
42640	48640	was over my use of the terms, you know, leftist, centrist, and I guess rightist. And the way I've
48640	52960	always seen things is that you have, you know, the left-right spectrum of politics. I know that it's
53440	58720	it's very simplistic. Most people like to use either like the the eight axis spectrum of
58720	63520	politics. Sometimes they like to use the left-right freedom order grid of politics. I think all of
63520	67680	these tools have their place when talking about politics. The way that I conceptualize the the
67680	72720	one axis system where it's just left and right is that it's relatively unchanging and that the
72720	79040	Overton window is a box on this left-right politics that kind of shifts leftward or rightward
79040	84960	as basically the larger public opinion changes. Which is how, you know, my support in the late
84960	91360	1990s of say gay marriage and universal health care and things like that. Those were a very
91360	97200	solidly leftist position but as the Overton window has shifted much further left and now that it's
97200	102000	all about, you know, hard socialism or the demonization of masculinity and other things
102000	106880	like this that things have kind of gone too far left to me. Well within the Overton window I now
106880	111520	look like somebody who is right wing which is why a lot of the far left nowadays calls me right
111520	117440	wing. And why I call them the far left because see if the entire spectrum is left center right
117440	121360	then I am still the center left and the far left is now the far left. However, and this is something
121360	126000	that I genuinely didn't know about this is this is news to me, some people actually view the left
126000	132240	right center labels as being part of the Overton window itself. So the definitions of left center
132240	137440	and right will change as the Overton window moves. Okay that makes sense to me. I think it's a dumb
137440	141680	way of doing things but if that is how we are going to understand these concepts then maybe we
141680	146000	should change up the conversation entirely. For example a person on discord DMed me this a couple
146000	152320	months ago and I wish I could remember which one it was. Was it Sushimaru? I'm sorry I can't remember
152320	157360	who it was. I'm sorry but you know who you are. You showed me this idea. Other than having an axis
157360	162720	with two ends you have a triangle. When the enlightenment basically philosophically shattered
162720	168000	the idea of the old theocracies and the old monarchies once and for all we got primarily
168000	173200	three schools of thought out of it and those three schools of thought are properly described by
173200	179280	the French motto liberty equality and fraternity with liberty generally mapping onto liberalism
179280	184800	equality generally mapping onto communism and fraternity generally mapping onto fascism.
184800	190960	These also correspondingly map onto the human values of freedom equality and tradition and
190960	195200	really it's it's not too hard to see how this is the case the liberals the original liberals the
195200	199680	classical liberals they're more concerned with personal freedom than they are with tradition
199680	204960	or equality the free speech of liberalism is a direct challenge to tradition meanwhile the free
204960	209760	markets of liberalism are a direct challenge to equality meanwhile the communist in valuing
209760	214640	equality over both freedom and tradition will try to see that everyone is equal oftentimes
214640	218720	they will claim to do this by raising everyone up to the highest standard but oftentimes that
218720	223600	is impossible and in practice communism often drags everyone to the lowest standard one of the
223600	227920	great jokes about communism is that we might all be poor but at least we're all equal fascism
227920	233280	meanwhile in its valuing of tradition over both freedom and equality always devolves into tyrannical
233280	239600	states that bind themselves together by some kind of unifying force with the Italians it was
239600	245200	nationalism with Germans it was the race but it's always some kind of characteristic like that
245200	250240	that keeps the society together so okay we've got these three schools of thought and they are all
250240	255600	opposed to each other in equal measure for example the liberal with freedom as his highest order value
255600	260560	correctly views both fascism and communism as being anti-freedom the traditional life that the
