start	end	text
0	4400	Contrary to the opinions of the communists, money has a moral framework underpinning it.
4400	9360	In a very general sense, it works like this. The more money you have, the more value you have
9360	14400	provided to other people's lives. Now, there's certainly exceptions to this rule. For example,
14400	18720	there's many ways people provide value to each other without exchanging money, or they provide
18720	22720	that value at a much lower rate than is the market standard, for a reason other than money.
22720	27280	Additionally, this rule is not consistently correct at the extreme ends of the distribution,
27280	31840	meaning the super rich and the super poor. There's absolutely ways to become rich without
31840	36240	providing value to other people, like winning the lottery, or trading in stocks, neither of
36240	40720	which actually involve creating a product or service yourself. And obviously, the super poor
40720	44800	still have value as human beings and to those other people that they interact with. For the
44800	49600	vast majority of us, the more you get paid, the more people your efforts have helped.
49600	54160	Consider this situation. You're a cobbler making shoes and you need a chair. Your friend is a
54160	58160	carpenter making chairs and he needs a pair of shoes. Let's assume, for the sake of argument,
58160	63520	the shoes and the chair are worth the same value at market. Well, value is relative. You don't
63520	67840	personally value your shoes as much as the market does, because you can make shoes anytime you want.
67840	71600	It's become quite easy for you to do. If you ever need a new pair, you can whip them up in no time
71600	76960	flat. But you personally value the chair more than the market does, because you actually need
76960	81440	a chair and you can't build one yourself. Your carpenter friend feels the same way.
81440	86640	He undervalues his own chairs and overvalues your shoes, relative to the market. So,
86640	90880	when you and your friend make a straight exchange of one pair of shoes for one chair,
90880	95760	even though the market value of the items is equal, both people see an increase of value in
95760	100320	their lives, because they needed the other person's creations more than their own. This is why value
100320	105920	is not a zero-sum game, hoarded by the super rich as the communists like to believe, but instead
105920	110640	value is generated through honest trade. And things like hard work or innovation can generate
110640	116080	new value. But where does the money come in? Well, money is simply a portable medium to store
116080	120480	value. Rather than trading your shoes straight across other objects you might need every single
120480	125680	time, and therefore only being able to trade the shoes, and so likely only making the shoes,
125680	130240	when you need something in that moment, money allows you to trade many shoes right away,
130240	134640	hold onto the value in a portable form, and then spend that value at a later date for something
134640	139120	that you need. Money simplifies the bartering process by allowing you to defer the reward of
139120	143440	your shoe creation to a later date, and it also allows you to store up the results of successfully
143440	148080	trading your shoes for later when you may actually need it more than you do now. Money is essentially
148080	152160	a more sophisticated version of the squirrel storing nuts away for winter, which is probably
152160	157680	why that euphemism is so commonly used to describe the practice. So, if money is simply a representation
157680	162800	of how much work you've performed in the service of other people, then money can be used as a
162800	166960	general measurement of how many other people you've helped. This is the morality of money.
166960	171360	If your cobbler business is successful, then you've spent a lot of your time and effort creating
171360	176000	many pairs of shoes. Many people are wearing those shoes and have had their lives measurably
176000	180080	improved as a result of your efforts, and the money you've got in the bank is a symbol of how
180080	184480	much you've done for them. Meanwhile, if your carpenter friend is actually a shoddy carpenter,
184480	188960	he won't be selling as many chairs. He'll have less money, and he will have improved the lives
188960	193840	of less people. Let's talk about a modern example. This idea is the answer to why an athlete or an
193840	198240	actor makes significantly more money than a teacher. A teacher may provide a significantly
198240	201840	more important service than the simple entertainment of an actor, but how many people
201840	205760	will each of them impact? A famous entertainer will reach millions of people over the course of
205760	211200	their career, but a teacher with a class size of 50 students every year during a 40-year career
211200	215520	will only teach 2,000 people. Even though the service the teacher provides is significantly
215520	219680	more important, the sheer volume of the people the entertainer impacts more than makes up for
219680	224400	their diminished individual impact in terms of total value added to people's lives. And so,
224400	230400	they get paid more. This is also, by the way, why unsuccessful sports stars or actors make far less
230400	235920	than teachers. Which then brings us to the joy and the curse of mass market appeal. Niche products,
235920	241120	by design, help fewer people, and therefore demand a high price, simply because the creators of those
241120	245200	products would not make enough money to survive selling them at a lower price. There's just not
245200	249120	enough customers to go around. Meanwhile, if something has mass market appeal, you can
249120	254000	sacrifice nearly everything and still get quite rich, as we've seen by literally everyone
254000	258240	pandering to the Chinese market right now. The principle still applies. Yes, if you tweak things
258240	262400	a bit, your product quality goes down, and individual people have less value added to
262400	267360	their lives as a result of your work. But if that same tweak opens up a new market with millions of
267360	271840	new customers, that loss in individual value is more than made up for by the new value you're
271840	275680	bringing to millions of new people. And that's reflected in the profits. Now, we can argue
275680	279760	whether or not it's actually good for companies to abandon their domestic markets and chase the
279760	283840	overseas dollar in a bid to provide value to the people of that new market. There's very good
283840	288000	arguments against that practice, and that's probably a place for sensible government regulation
288000	292160	through tariffs and whatnot. But that's not the point. The point of the video is to discuss how
292160	296880	money has a moral underpinning. How having more money means that you probably helped more people
296880	301120	through your own efforts. I've listened to a number of self-made CEOs give speeches about how
301120	306320	to expand a business. I've listened to motivational speakers. I've listened to graduation and
306320	311280	commencement speeches at universities. I've even listened to a lot of everyone's favorite Canadian
311280	316240	psychologist frog man. What they've all got in common is that they describe their business not
316240	321920	as a business, nor as a way to make money, and not even as a career, though they still admit it's all
321920	327120	those things. They describe it primarily as a service and themselves as servants. Maybe that's
327120	330480	just them making themselves look good in the public eye. That's probably a good chunk of it,
330480	334800	in fact. But I still choose to believe that it is at least partially because they understand
334800	338720	that money is ultimately meaningless if it does not represent the good that you do for other
338720	343360	people. This is why most rich capitalists don't actually keep their money locked away in a vault,
343360	348320	so they can go for a swim Scrooge McDuck style every once in a while. Most of them run foundations
348320	352960	where they can perform charitable work. Most of them are venture capitalists, seeing the value in
352960	357200	other people's innovations and choosing to give them a leg up. Most of their wealth isn't even in
357200	362480	money at all. In fact, the actual medium of money itself doesn't even matter. For example, people
362480	367200	don't covet gold for any of gold's innate properties. It's just that gold is rare, and it
367200	370800	couldn't be artificially produced in large quantities for almost all of human history.
370800	375520	So, as a general rule, if you had a gold coin, either you mined the ore out of the earth yourself
375520	380240	and minted it, which was labor in its own right, or at some point you exchanged your labor for that
380240	385040	coin and were therefore entitled to its fruits. The fact that we use paper money now, or electronic
385040	389040	money, doesn't change this paradigm, but that's the core problem the communists have with this
389040	394320	system. Exchanging labor for money. The communists believe that two people choosing to exchange labor
394320	399040	for money is inherently exploitative, because the person choosing to spend their labor isn't making
