start	end	text
0	2000	Don't get no fight with them.
2000	4000	Don't get no fight with them.
4000	6000	Are you talking to them?
6000	8000	Yeah, I'm eating them.
8000	10000	It's ridiculous.
10000	12000	Yeah, this is ridiculous.
12000	14000	What did they get called for?
14000	16000	Because there were two black guys sitting here meeting me?
16000	18000	Well, what did they do?
18000	20000	What did they do? Someone told me what they did.
20000	22000	They didn't do anything. I saw the entire thing.
22000	24000	What did they do?
24000	26000	The moment says,
26000	28000	for any customer,
28000	30000	they can do anything.
50000	52000	As you've seen at the beginning of this video,
52000	54000	and as you've probably heard about all over the internet by now,
54000	56000	on April 12th, 2018,
56000	58000	two black men were arrested for trespassing within a Starbucks
58000	60000	while waiting for a business associate of theirs to arrive.
60000	62000	The business associate in question
62000	64000	is the white guy in the video
64000	66000	asking the police why the two black men are being arrested.
66000	68000	The manager who called the police
68000	70000	stated in the 911 call
70000	72000	that the two men sat down
72000	74000	and refused to buy anything or leave the premises.
74000	76000	That same manager later quit her job,
76000	78000	presumably due to the blowback received from this event.
78000	80000	On Twitter, Starbucks apologized
80000	82000	for exercising their legal rights
82000	84000	against non-customers trespassing
84000	86000	on their private property.
86000	88000	On April 12th, 2018,
88000	90000	two black men were arrested
90000	92000	for trespassing
92000	94000	while waiting for a business associate
94000	96000	to arrive.
96000	98000	On April 12th, 2018,
98000	100000	two black men were arrested
100000	102000	for trespassing
102000	104000	against non-customers trespassing
104000	106000	on their private property.
106000	108000	The CEO of Starbucks even made the rounds in the morning news,
108000	110000	offering sincere apologies
110000	112000	that one of his employees would dare assert their rights
112000	114000	against a person of color.
114000	116000	Philadelphia's police commissioner released a video
116000	118000	in which he defended the legal actions of his officers.
118000	120000	On Thursday, at about 4.40,
120000	122000	police received a 911 call
122000	124000	for a disturbance
124000	126000	and trespassing.
126000	128000	When the police arrived,
128000	130000	they were met by Starbucks employees
130000	132000	who said that two males were trespassing
132000	134000	and had refused to leave the establishment.
134000	136000	According to employees,
136000	138000	they had seen these two males
138000	140000	come in, they sat down,
140000	142000	and after being seated,
142000	144000	they decided that they needed to use the restroom.
144000	146000	Starbucks said that
146000	148000	according to their company policy,
148000	150000	they do not allow
150000	152000	nonpaying members
152000	154000	or nonpaying people
154000	156000	of the public to come in
156000	158000	and use the restroom.
158000	160000	And so,
160000	162000	they then asked these two males
162000	164000	to leave, these two males
