start	end	text
0	8140	Sometimes, Twitter will drop a beautiful thing into your lap.
8140	12680	A person who is so out of left field, so wrong, he doesn't know how wrong he is.
12680	14480	Okay, that's pretty much everybody on Twitter.
14480	15480	All the time.
15480	20200	But today I'm talking about this thread by Sokden Left, everybody's favorite Dunning-Kruger
20200	21660	socialist femboy.
21660	25320	This isn't exactly how I wanted to start my morning, but I've got my coffee ready,
25320	35060	and now is about as good a time as any.
35060	39940	That capturing the culture quote from Gramsci is fake, or why the conservative intellectual
39940	41280	ecosystem is broken.
41280	43760	If you're a lefty, you've seen this Gramsci quote.
43760	48040	In the new order, socialism will triumph by first capturing the culture via infiltration
48040	52400	of schools, universities, churches, and the media by transforming the consciousness of
52400	53400	society.
53400	54400	It's fake.
54400	56000	You'll find this quote in Gramsci's writings.
56000	62160	It's a bad summary of Gramsci from Wardner 1996, Unholy Alliance, an insane screed about
62160	64120	how Freemasons control the world.
64120	65120	Why does this matter?
65120	67880	First, the conservative intellectual ecosystem is broken.
67880	73400	I counted over 50 uses of this fake quote in major conservative publications by prominent
73400	74400	conservatives.
74400	76060	Not one fact-checked it.
76060	79600	Billionaire backers means that rightists don't need to care about truth.
79600	83660	Rightists claim that leftists seize control of the institutions, and use that to justify
83660	85100	seizing control back.
85100	90480	In short, rightist pundits use a fake Gramsci quote created by an anti-Freemason conspiracist
90480	95060	to justify the existence of a secret communist conspiracy, which they use to justify destroying
95060	97420	claimed leftist institutions.
97420	100860	In shorter, the conservative intellectual ecosystem is broken.
100860	103420	Rightist grifters don't have to care about the truth.
103420	108540	Now, just so I'm not accused of being bad faith, Sock Dunn Left did go into detail on
108540	111440	a substack, which you can check out for yourself if you like.
111440	115040	But having read the whole article myself, I can confirm that the Twitter thread is a
115040	116400	pretty accurate summary of it.
116400	120760	I can additionally confirm that the information in the article is also mostly accurate, but
120760	125080	also that Sock Dunn Left misses the point, and it's actually very easy to see where
125080	126560	he goes off the rails.
126560	129120	But let's first start by giving credit where credit is due.
129120	133800	He's entirely correct when he says this quotation that conservatives tend to attribute to Gramsci
133800	135120	is mostly false.
135120	139640	Of these words, socialism is precisely the religion that must overwhelm Christianity.
139640	143960	In the New Order, socialism will triumph by first capturing the culture via infiltration
143960	147760	of schools, universities, churches, and the media by transforming the consciousness of
147760	148760	society.
148760	153400	Only that first line, socialism is the religion that must overwhelm Christianity, were actually
153400	154740	Gramsci's own words.
154740	159400	That passage comes from an article Gramsci wrote in the Italian socialist newspaper Avanti
159400	164120	in 1916, titled Odissia e Fede, or Audacity and Faith.
164120	167320	Listen, just because my dad's side of the family comes from Italy doesn't mean that
167320	169040	I know how to pronounce any of this shit.
169040	173420	The context is, Gramsci is publicly responding to the claims of a Christian socialist from
173420	177380	a different socialist publication, who thinks that socialism should become Christian.
177380	181500	Christian socialists believe that capitalism is rooted in the sin of greed, and that Jesus,
181500	185600	who lowered himself to the level of the destitute and fed the poor, was a socialist himself.
185600	190360	They also believe that the shared insular economies of monasteries were an ideal socialist
190360	192780	model for the collectivization of private property.
192780	197300	The idea that all humans, despite their earthly differences, are equal under God is an idea
197300	199260	well adapted to socialism.
199260	202060	Gramsci's response to the Christian socialist was this.
202060	205140	Socialism is precisely the religion that must kill Christianity.
205140	209340	Religion in the sense that it is also a faith, which has its mystics and practices.
209340	213180	Religion because it has replaced in the consciences to the transcendental God of Catholics.
213180	216700	Trust in man and in his best energies as the only spiritual reality.
216700	221140	Our gospel is modern philosophy, the one that does without the hypothesis of God in the
221140	222260	vision of the universe.
222260	224700	What only in history lays its foundations.
224700	233060	In other words, socialism must kill Christianity because socialism fulfills a similar function.
233060	236860	As a secular religion, it doesn't deal with the divine, but it does provide an ethical
236860	240060	system and a blueprint of the universe, which are at odds with the Christian one.
240060	244960	For Gramsci, Marx's historical materialist analytical method is how we determine what
244960	247440	we should do next, rather than God's law.
247440	251940	The rest of that incorrect quotation, in the new order socialism will triumph by first
251940	256140	capturing the culture via infiltration of schools, universities, churches, and the media
256140	260860	by transforming the consciousness of society, was never spoken or written by Gramsci.
260860	265500	Sock Dun Left claims that this quote first comes from a 1996 book, Unholy Alliances,
265500	269500	The Secret Plan and the Secret People Working to Destroy America, by James Wardner.
269500	273020	This book, which I admit I haven't read, seems to contain a lot of stuff about the
273020	276780	Freemasons secretly controlling the world from the shadows, and how all elections are
276780	280380	rigged, and how the Catholic Church has been infiltrated, and all that sort of stuff.
280380	283200	Wardner doesn't seem to think that the Jews are behind the new world order, though,
283200	284200	which is a bit surprising.
284200	286340	That's the one conspiracy theory he hasn't bought into.
286340	291580	The rest of the quote comes from Wardner paraphrasing Gramsci, and not actually Gramsci's own words.
291580	294280	This happens quite a lot in the internet quoting business, to be honest.
294280	298580	The famous socialist quote, The last capitalist shall sell us the rope we hang him with, is
298580	303200	attributed online to the writing of both Marx and Stalin, but actually comes from a private
303200	308280	note written by Lenin on a scrap of paper, later repeated by Yuri Anenkov, a Russian artist,
308280	309460	who claimed to have seen it.
309540	314260	Wardner wrote two books on this topic, Unholy Alliances and a second one, The Planned Destruction
314260	317940	of America, which seems to be more of the same, Communists and Freemasons.
317940	321420	There's videos of him talking about this stuff from back in the 90s.
321420	324980	Wardner died in 2016, and would you believe it, he was a Florida man.
324980	329220	In other words, Wardner is rather inconsequential to the story, all things considered.
329220	333540	But this quote, commonly attributed to Gramsci, for the most part, did come from this obscure
333540	338700	Freemason book where the author, whose ideas are more than a little dubious, gave his interpretation
338700	340120	of Gramsci's views.
340120	345140	The question then is, despite Wardner's eccentricities, is this summary of Gramsci's
345140	346140	view accurate?
346140	348220	What did Gramsci himself actually believe?
353500	357060	Antonio Gramsci was born on the island of Sardinia in the Kingdom of Italy.
357060	360860	He suffered from health problems all his life, due to what modern medicine now believes was
360860	364780	pot disease, which is a form of tuberculosis that can deform the spine.
364860	369100	Gramsci was an uber manlet due to the disease, less than five feet tall as an adult.
369100	373120	But he was intellectually gifted, and he won a scholarship to the University of Turin in
373120	374120	Northern Italy.
374120	378460	In his early years, Gramsci was a proponent of Sardinian nationalism, believing Sardinia's
378460	381980	poverty and mistreatment to be the fault of the central Italian government, which was
381980	385280	focusing its attention on the rapidly industrializing north.
385280	389240	But after attending university, he began to believe that socialism and not nationalism
389240	392620	would ultimately solve the problems of the Sardinian working class.
392620	396880	While at the University of Turin, Gramsci was influenced by a wide spectrum of ideas.
396880	400620	From Benedetto Crose, who at the time was one of Italy's most well-respected liberal
400620	404940	thinkers, to Giovanni Gentile, who is most notable for becoming the most prolific philosopher
404940	406140	of fascism.
406140	411460	From 1917, socialist rioting in Turin had led to the arrest of many notable socialists.
