start	end	text
0	4840	Alright my friends, the Project Melody video is recorded and mostly edited, however the
4840	9080	reason it's not coming out today is because basically I commissioned some art for it and
9080	13560	the artwork is not ready yet, so I guess we'll do the weekly coronavirus update instead.
13560	21100	Here's how things are looking, 75,752 cases, again, most of them are in China, only triple
21100	25440	digits, others, whatever others is, probably take those ships that are anchored off the
25440	29040	coast of Japan or whatever, and 104 in South Korea.
29040	33040	Most other places don't have that many cases in fact.
33040	37080	Canada is still at 8, UK is still at 9, the US is at 15.
37080	42800	Most places are probably not going to experience such a widespread outbreak as China has.
42800	46840	However, keep in mind, we still know that this virus can survive for several weeks outside
46840	51040	of the body, and we also know that it incubates for several weeks inside the body before you
51040	54960	actually start showing symptoms, and during that entire time you are infectious.
54960	57080	So who knows how far this thing's going to go?
57080	61220	Also maybe you'll notice here in the corner that there's this weird graph regarding the
61220	65440	actual explosion of cases and how it spikes up here.
65440	70320	What's going on is that China's basically been routinely and repeatedly fucking with
70320	75140	how they report their cases, the methodology that they use to say that this is a case or
75140	79200	this isn't a case, and they're doing this to try and basically put the best possible
79200	84080	light on it because it's becoming very clear that China's been absolutely terrible this
84080	86920	whole time, and they don't really want that to get out, and so they're just trying to
86920	89400	put the best possible spin on the whole situation.
89400	92440	Unfortunately for them, it hasn't actually made the situation any better.
92440	95280	I'm sure at this point you guys have noticed that underneath every YouTube video about
95280	99320	the coronavirus there's a YouTube-sponsored link leading you to the website of the World
99320	100320	Health Organization.
100320	104320	I'm also sure you've noticed that if you search on Twitter or Google or something, it'll also
104320	109400	either send you to the WHO's website or it'll send you to your local health website.
109400	111360	If you're in the UK, it'll send you to the NHS.
111360	113760	If you're in Canada, it'll send you to the Ministry of Health.
113760	116760	Obviously social media is really clamping down on this topic in a way that they didn't
116760	121760	with Ebola or bird flu or swine flu or SARS or anything like that.
121760	126440	They really want to make sure that only authoritative sources appear at the top of the search.
126440	130640	And here is what that heralded WHO has to say for themselves.
130640	150600	There's no other way to put it, man.
150600	152000	Like what are we supposed to admire?
152000	156920	We're supposed to admire of doctors who warn the citizens and the world of the peril and
156920	161560	they get censored or quietly poisoned or they get infected themselves and they're just
161560	162560	left to die.
162560	166220	Should we applaud the censorship of journalists or the welding of people's doors shut or the
166220	170800	turning off of elevators in these apartment blocks or any of the other scummy things that
170800	171800	China has done?
171800	174560	The WHO is a fucking joke at this point, dude.
174560	178120	Also thanks to some independent journalists over there, we do have at least trickles of
178120	179120	news.
179120	180360	This is really a bombshell.
180360	184580	Naval University of Engineering in Wuhan, one of the five comprehensive military universities
184580	190120	of the PLA, issued a lockdown notice on January 2nd, 18 days before the government admitted
190120	191120	there was an epidemic.
