start	end	text
0	3500	Everyone and their mother right now is making jokes about the new Mac Pro.
3500	5900	Yes, it's a $6,000 cheese grater.
5900	8100	Yes, the monitor is another $5,000.
8100	11200	Yes, the stand to hold out the monitor costs another $1,000.
11200	14100	And yes, those figures are for the base model.
14100	16300	The souped-up version is more like $16,000.
16300	18800	It's not that the new Mac Pro is unimpressive.
18800	21800	The actual hardware inside is not top-tier, but it's pretty close.
21800	25100	And the monitor having 6K capabilities is pretty phenomenal.
25100	27800	But a PC with these stats would cost half the price.
27800	32700	And it's no surprise to anyone that after Apple got thwomped by Microsoft in the 1990s,
32700	35900	and they attached some chrome plating to track the hipsters over,
35900	38500	that when you buy Apple, you're largely buying a brand.
38500	43400	That's why when I needed to use Mac-only software, I ran a Hackintosh for two years.
43400	48600	A Hackintosh, for those of you unaware, is when you use PC hardware and run Mac OS on it.
48600	52300	It takes some tinkering to get working, but it's a lot cheaper than buying an actual Mac.
52300	56300	I actually recorded an old vlog about the creation of my Hackintosh back when I did it,
56300	58600	that I was too lazy to put up.
58600	61400	Is there any actual real interest in seeing it with you guys?
61400	62500	Should I actually put it up?
62500	67500	Anyway, my point is, when you're building a PC, you have near-infinite levels of customizability.
67500	71800	But Macs are, as a regular viewer once described them in my stream chat as,
71800	74200	luxury Ledite appliances.
74200	75500	That's pretty good, dude, thanks.
75500	79400	There's not much in the way of tinkering around inside of Apple products.
79400	81000	At least not very easily.
81000	85600	And that's by Apple's design, so that you have to go through their expensive repair services.
85600	91000	That's why the right-to-repair legal battle often centers around things like iPhones and whatever.
91000	96700	Apple would prefer that you think of everything they sell as a magic box, with unknowable arcane contents.
96700	101600	Something that you can't simply tinker with yourself to repair, but must be handed off to their experts.
101600	103800	Or better yet, simply replaced for something new.
103800	108100	This is the same reason why the Geek Squad still maintains a tiny niche market among the boomers.
108100	112000	Where they'll charge you hundreds of bucks to reset a Windows password, another bullshit like that.
112000	114700	A boomer probably knows how to do maintenance on his own car,
114700	118800	or at the very least understands that you can pop the hood and take a look at the inner workings.
118800	119700	But a computer?
119700	124600	It might as well be an ancient black obelisk that only the Best Buy shamans can commune with.
124600	128400	And the car analogy really does describe the stunt that Apple's trying to pull.
128400	131300	With a car, everything on the inside is relatively accessible.
131300	135100	And there's a thriving culture around do-it-yourself vehicle mods and repairs.
135100	136600	With computers, not so much.
136600	138600	And Apple capitalizes on that ignorance.
138600	141900	An Apple car would quite literally have no way to repair it.
141900	145800	And an Apple mechanic would simply tell you to shell out for a new one like you're an easy mark.
145800	150400	And the coastal elites, the hipsters and the journos and the social justice Apples, they all fall for it.
