start	end	text
0	7860	Hello there tick-tock cucks. Are you ready? Why did I set the video like that? Are you ready to go? Let's go
8640	12140	I'll member starting off strong more shoplifting footage
14480	20380	Yeah, and they're look at them just giant bags are just stealing everything off the shelves
24820	26880	Y'all ghetto is fuck that's funny
30980	33100	Dude this has to stop like
34200	39100	It's it's insane. You know that they're not just taking all that because they need it and they're poor
39100	44740	They're reselling that online, you know, that's what's going on here Wow. Okay. Listen every week
44740	49620	I do one of these episodes of Tech Talk Tuesday. I get maybe three to four clips of people just
50320	52280	Looting the shit out of a place
52280	59220	I think I'm gonna stop reacting to those clips one because my response is almost always the same every single time and two
59660	63980	Because at some point I'm gonna have like an hour's worth of these clips
64220	69580	and I'm gonna stitch them all together and make them the background to my inevitable book review of
69900	73540	In defense of looting by Vicki Osterweil
73740	80700	she's some far-left radical activist who wrote political theory about why stealing from others is good and
81200	83220	We got a look at that book at some point, dude
83220	86660	So I'm just gonna you know, I'm gonna do I'm gonna keep saving up these clips
86660	89140	I'm not gonna do them anymore. And this is something really crazy going on
89140	94520	I'll set him aside and then once I have enough to do a full book review, I'll use them
94780	97980	This one doesn't have audio. But uh, what's going on here? Oh
102700	107420	How do you want to bring the couch up to the 18th floor guys, I gotta play that again, hold on
107420	113220	How do I bring the couch up to the 18th floor guys? Just uh, just put on a platform to stand there. It's okay
113380	115700	I'm sure two guys holding on to it. That'll be fine
115700	116020	right
116020	122500	the amount of shit that you see third worlders get up to where they just don't give a fuck about safety regulations and they're just like
122700	127460	Hanging off of a thing or they're like riding a machine. It's it's insane sometimes
137020	139160	Okay, okay this guy's apparently a celebrity
139160	144700	I don't know who he is, but he's just in public live streaming on I think it's on Facebook and
145160	152020	He's he live streams a random family in this restaurant and he calls the white baby a monkey like listen. Listen. Listen again
163160	165760	Like this guy's a fucking racist do whoever he is
166600	171580	Like what an asshole firstly why are you doing this to a random kid in public?
173680	177780	Just a way they fuck you same thing
183120	186300	Like what what a scum fuck dude
186300	188300	Like
189900	196600	Look at this guy's lazy eye. He's got no fucking place to be thrown around comments about genetics like what the fuck dude
196600	203820	This is exactly the same type of racist rhetoric that you'd hear from like white supremacists back in the day comparing black people to monkeys
204240	208600	It's the same shit. It's the exact same shit. These people are fucking disgusting
216420	223640	Okay, when my students realize that as an LGBTQIA plus your sexuality becomes part of your culture
223820	230780	That isn't true for straight people. Oh my fucking god, dude. What like imagine this is your teacher
231660	232920	Jesus Christ
232920	235760	Man, okay most kids to be honest
235760	238600	I know that I know right wingers are like worried about this and with good reason
238600	242360	But most kids don't give a fuck most kids. They want to they want to skip school. They want to stock off
242360	244360	They want to play video games when I get with their friends, right?
244500	250360	There was definitely a moral regime in place when I went to school and I was a young kid
250360	255020	It wasn't the same moral regime as this one. It was very like anti-drug stuff
255020	259220	It was the 90s right when I was young so lots of like, you know, don't do drugs kids
259220	266900	That was kind of the moral regime in school and man you had teachers heavily pushing stuff truly ideologically believing it you had
267220	269980	presentations you had videos like trying to teach kids about
270360	277960	What the right thing is and most kids did not give a fuck back then we were doodling we were like quietly talking we
278080	283300	Ignored all of that sort of indoctrination stuff and you know what the same thing is happening right now
283480	289200	You have a bunch of people who look like this dyed-haired Millennials wearing tons of rainbow shit pushing
290160	296400	LGBTQIA plus nonsense in schools and most kids don't give a fuck most kids have never given a fuck
296740	300020	Maybe the internet is the ultimate inoculation for this sort of thing
