start	end	text
0	2500	We are now living in a socialist paradise.
2500	3600	No, really.
3600	9600	Industries are closing down, capitalism is being replaced by Trump bucks, Trudeau bucks, Boris bucks.
9600	13700	We're living simpler lives, less travel, way fewer carbon emissions,
13700	16500	governments are nationalizing and taking over everything.
16500	20000	This is what the far left has been advocating for for years.
20000	21000	How do you like it?
21000	25200	How does it feel that you can no longer freely consent to enter into employment with somebody,
25200	27800	to negotiate for a wage in a field you're interested in,
27800	30300	and instead you simply have to stay home and take what you're given?
30300	32700	How does it feel that you can no longer go outside?
32700	37400	That those roads, those parks, those schools and libraries that you pay tax money for,
37400	38700	you can no longer use?
38700	41300	How does it feel with all private business shut down?
41300	45300	Because the state has decided that free people can no longer engage in commerce.
45300	47500	How do you like the socialist paradise?
47500	50100	This is a document that Naomi's been given by her workplace
50100	52800	that basically identifies her as an essential worker.
52800	54200	She works at a grocery store.
54200	57700	Canada is not yet at the level where we're checking people's papers.
57700	61600	But various essential businesses have been giving these out anyway, just in case.
61600	63400	Some countries are a lot worse with it.
63400	64800	Here's one from France.
64800	67800	It basically says that in order to leave your house,
67800	70400	you have to fill this out and give it to the police.
70400	74300	It outlines who you are, where you live, and where you're going.
74300	75600	Here's Italy's form.
75600	77200	Pretty much the same thing.
77200	81900	What kind of free society asks you for your papers just so you can travel?
81900	83500	It's not just papers, though.
83500	88800	Westwood Bar boarded up by police after continuing to serve food and drinks indoors.
88800	90400	I mean, it's stupid.
90400	91200	But what's the problem?
91200	92700	It's people's choice.
92700	96600	If idiots want to go there and get sick, isn't that their prerogative?
96600	100300	Isn't it on the individual to be responsible and manage their own life?
100300	106200	On Monday night, Queen City Lounge had 40 customers inside drinking and eating from a full buffet.
106200	110900	On Tuesday afternoon, several arrests later, police boarded the place up.
110900	113400	The Westwood Bar had continued to operate as usual,
113400	118600	despite Ohio Governor Mike DeWine's order that all restaurants and bars in the state of Ohio
118600	121900	end their dine-in services to prevent the spread of coronavirus.
121900	124900	It was more than a risk to patrons, the police chief added.
124900	129000	Now you're putting first responders at risk because we get the information that they're open.
129000	130600	There's 40-plus people inside.
130600	133700	Who knows who may have already come into contact with coronavirus,
133700	136900	and now our first responders are having to interact with those folks.
136900	140000	It wasn't the first warning the Queen City Lounge had received.
140000	141700	It pains us to have to do this.
141700	144000	It pains us that we are in these uncharted waters.
144000	146500	This is new territory for your police department.
146500	148700	What new territory? Being authoritarians?
148700	151500	Yes, I agree with you. It's stupid that they're still open.
151500	154300	It's stupid that people are congregating there.
154300	157400	But are you actually saying that people don't have the right to be stupid?
