start	end	text
0	11280	Back when Mass Effect Legendary Edition dropped, I was actually writing a script for SFO about
11280	12280	it.
12280	15280	I figured it would be a good companion piece for the channel, Naomi and I are currently
15280	18680	doing Mass Effect streams, there's a lot of controversies surrounding the game, more
18680	22840	specifically its horrendous quality, but I realized there just wasn't enough wider
22840	27880	scope stuff there that I hadn't already covered in my New Era of Moral Panic video.
27880	32720	The Mass Effect relevant parts of that vid, by the way, are that back in 2007, when the
32720	37160	Puritans of the Religious Right still held some cultural power, Fox News published a
37160	43320	hit piece on the first Mass Effect game, complaining that Liara, a member of the alien, agender,
43320	49160	asexually reproducing asari species, was a romance option for both male and female players,
49160	52800	and therefore the game included a blue booty lesbian sex scene.
52800	57280	Well, not technically lesbian sex, as Liara is not technically a woman, but she looks
57280	61080	like a woman, and that's enough for human sensibilities to call the pairing lesbian.
61080	65600	And hey, the Dorito Pope himself was part of that Fox News segment, making an impassioned
65600	67080	plea on behalf of the game.
67080	72320	This event spooked Bioware so much, that in Mass Effect 2, the obviously bisexual character
72320	76920	Jack had her female romance option taken out of the game, with the final version presenting
76920	81580	Jack to still be bisexual, but not believing Shepard's advances are serious.
81580	85920	That being said, the romance scenes, the voice lines, they did exist, they were recorded
85920	88760	and created, but were ultimately left on the cutting room floor.
88760	92480	And when Mass Effect Legendary Edition was announced, there was a rumor they were going
92480	96240	to restore the romance, but it ended up not happening, I wouldn't have minded, it clearly
96240	101180	fits Jack's character, but Mass Effect Legendary Edition is specifically meant to be a remaster
101180	106120	of the original games, as they existed a decade ago, flaws and all, I respect that.
106120	110640	And then they nerfed Miranda's glorious genetically engineered to be perfect ass.
110640	114240	Well not really, rather they adjusted the camera angles of scenes she was in, so as
114240	115400	not to objectify her.
115400	116400	Okay, fair enough.
116400	120400	It is ridiculous that in this scene, the camera is positioned in this location to get this
120400	121400	angle.
121400	125560	But if the argument for Jack is, release the game as it was, why is this being changed?
125560	127860	Maybe it's because it's easy to do and they didn't really want to put too much
127860	128860	work into the game?
128860	133520	Actually, yeah, that's exactly it, because the remaster is also absolutely fucking ugly.
133520	137880	It looks like they upscaled some textures, lazily slapped in a modern lighting engine,
137880	138880	and called it a day.
138880	143500	No fine tuning, no actual work to make sure things looked good or new components meshed,
143500	146300	just shitted out into the stores to capitalize on the Mass Effect name.
146300	150340	The original graphics do look dated, but they've got a unique style that the remaster completely
150340	151340	ruins.
151340	154260	Add to this that the game itself has been made a lot easier, with combat even on the
154260	158580	insanity difficulty being dumbed down and speech checks requiring a lot less reputation,
158580	162180	and it turns out that Mass Effect Legendary Edition is a trainwreck.
162180	164220	But is that enough for a whole video?
164220	167220	I mean I've already gone over all my gripes and are only a few minutes in.
167220	172180	Well another similar culture war-esque footnote is the recent leaking of the Powerpuff Girls
172180	173180	script.
173860	176820	Powerpuff Girls was a cartoon about a kid superhero team from back in the 90s.
176820	180980	The gimmick was that the girls were overly cute, specifically not sexualized, cute in
180980	185140	the innocent way that kids are, and that despite that cuteness, they had powers on par with
185140	189980	Superman and were tasked with fighting monsters and supervillains while also attending kindergarten.
189980	194580	Because everything's getting rebooted nowadays, a modern Powerpuff Girls series was greenlit,
194580	198340	and it turns out that the girls are now in their 20s, they're washed up, they're
198340	200620	social media sex addict lesbians.
200620	204740	An anime that was clearly meant to be, on some levels, a Powerpuff Girls parody, called
204740	209300	Panty and Stalking, features super-powered high schoolers drawn in the same style, except
209300	211700	in this show they're sex addict degenerates.
211700	215580	And them being in high school makes that at least slightly better than them being in kindergarten,
215580	216580	but it's Japan.
216580	220700	But nonetheless this is a parody, and the Powerpuff Girls became their own parody.
220700	225180	Not only that, but Mojo Jojo, whose entire character revolved around him being a hyper-intelligent
225180	229660	monkey who is iconic for the hyper-intelligent monkey trope second only to the Planet of
229660	232300	the Apes, in the new version has been made into a human.
232300	235900	Professor X is now a black man, which is not that big of a deal on its own, but it turns
235900	239860	out he was also an absentee father to the Powerpuff Girls as they grew older, and also
239860	243060	that he stole Chemical X from Mojo Jojo who was its real creator.
243060	247860	I have no idea why, if you were gunning for woke diversity points, you would blackwash
247860	251340	a character only to also make him a thief and a shitty dad.
251340	255080	The leaked script was wildly ridiculed on the internet, the leaker was apparently fired
255080	258980	and faced legal action, and for a short while the production company was actually issuing
258980	262180	DMCAs on Twitter, for all the good that's doing them because the script's everywhere
262180	266500	now, and the head of CW, Mark Piedowitz, oh god that's a terrible fucking name to be
266500	270420	attached to this story, has vowed to scrap the pilot and get the script reworked, but
270420	271420	the damage is already done.
271420	274720	Again, there's an interesting story here, but I've just given you all the good bits,
274720	278100	and I'm not the kind of person who feels comfortable artificially expanding a video's
278100	280740	length out to ten minutes when the story really doesn't deserve it.
280740	285020	I was also writing a script on the recent Dalmatians trainwreck, but I hit the same
285020	287940	problem, it's not nothing but it's not deserving of a video.
287940	292740	The original 101 Dalmatians was the story of a songwriter and his dog, how they both
292740	297460	meet their partners, man and dog alike, and how an old schoolmate, Carilla Deville, ends
297460	300500	up wanting the puppies of that pairing in order to make a fur coat.
300500	304940	Ridiculous, unbelievable hijinks ensue, and due to the movie's success, Carilla Deville
304940	307900	became an iconic character, a symbol of greed and vanity.
307900	311040	You don't need to have seen the movie to know what this character's all about, her
311040	315140	appearance tells us the story, but not only that, she's become that ingrained into our
315140	316140	culture.
316140	333260	So, what exactly are we talking about today?
333260	337180	Is this just a cynical attempt by me to combine a bunch of disparate scripts I've already
337180	340580	written, in order to recoup some of the work I've put into them, after I realize that
340580	344200	while there is some meat on the bones of these stories, it's not nearly enough to qualify
344200	345800	for their own videos?
345800	349840	Well, yes, but it's not just that, don't turn the video off, there's more to talk
349840	350840	about.
350840	355160	For a long time now, the phrase, get woke, go broke, has been tossed around, and sometimes
355160	356200	with good reason.
356200	361620	For example, Ghostbusters 2016 was such an egregious failure, that Ghostbusters Afterlife
361620	365600	is returning to the original canon and acting like the all-female alternate universe movie
365600	370060	never happened, despite there being an obvious sequel hook at the end of the 2016 version.
370060	374960	And back when that movie came out, YouTube was filled with tons of commentators talking
374960	380060	about how shitty the movie was, how woke it was, how it was radfem, baiting, and man-hating,
380060	383500	how the jokes didn't work, how the acting was terrible, how talking about your vagina
383500	386460	every sentence doesn't actually constitute character development.
386460	391980	But most importantly of all, how Ghostbusters 2016 had assembled all of the pieces of Ghostbusters,
391980	394820	but not into a Ghostbusters movie.
394820	399620	Ghostbusters isn't flashy, impressive action sequences with strong, badass heroes blasting
399660	403780	their proton packs, it's four idiots blowing hot air to a crowd about how they're going
403780	407900	to save the city, and then slowly and impotently climbing the stairwell of the tower because
407900	409220	the elevator's out.
409220	413100	And for me personally, it was a lot of fun to see people who were highly invested in
413100	417820	Ghostbusters 2016 screech that the fans wanted to return to the old canon and the studio
417820	419220	was giving them what they wanted.
419220	422500	Yes, it is like you never existed, and that's for the best, really.
422500	427860	Get woke, go broke is a catchy, pithy phrase, and people who commonly use it point correctly
427860	433140	at Ghostbusters 2016 as proof of its efficacy, but these same people often ignore all the
433140	436300	times in which the phrase should apply, but actually doesn't.
436300	437860	Consider the Captain Marvel movie.
437860	438860	It sucks.
438860	442060	The plot is functional enough to move us from scene to scene, but has nothing to write home
442060	443060	about.
443060	446900	Captain Marvel as a character is overpowered, and her addition to the main Avengers storyline
446900	448180	basically breaks it.
448180	452940	Brie Larson isn't a great actress, but because it was part of the Marvel Cinematic Universe,
452940	457900	it grossed 1.1 billion dollars, and because it starred a strong female lead, however shitty
457900	461460	she was, both on camera and off, it garnered woke support.
461460	464140	In the same vein, consider the Star Wars sequel trilogy.
464140	466100	They all suck, especially The Last Jedi.
466100	468980	The plot of the whole trilogy is again functional, but nothing to write home about.
468980	473420	The Last Jedi horrifically mangles its section of the story, causing the rise of Skywalker
473420	478100	to have to rush through two movies in one, but as an overarching plot, it's just mediocre.
478100	482140	Rey, like Captain Marvel, is a Mary Sue, and the other characters in the franchise are
482140	484380	either underutilized or wholly mistreated.
484380	487980	The new talent brought in for the roles aren't good actors or actresses.
487980	492700	But again, because it's Star Wars, even the worst movie of the bunch, The Last Jedi, grossed
492700	498420	1.3 billion dollars, and because it starred a strong female lead, it garnered woke support.
498420	501940	You can point at the abject failure of the supplementary materials of these properties,
501940	503820	like the toys, comics, and games.
503820	507820	Say get woke, go broke with a smug on your face, and you'd still have a point.
507820	512100	But, at the end of the day, these stinkers still made money hand over fist.
512100	516220	In fact, I think that's why some YouTubers ended up making, and in some cases still make,
516220	520780	dozens of videos on Brie Larson or Kathleen Kennedy or Star Wars or Captain Marvel.
520780	525560	Because they're really banking on the get woke, go broke thing to be an ironclad rule.
525560	529540	The more they can try and convince their audiences they're slowly winning a culture war, the
529540	531260	better it is for their channels.
531260	536540	Even if they're actually losing that war, or even if, in this instance, such a war doesn't
536580	537700	actually exist.
537700	542780	Pop media, and therefore clickbait YouTube, is riddled with videos talking about reimaginations
542780	545940	of old properties that are getting woke and will surely be going broke.
545940	547860	And I'm not entirely innocent either.
547860	552780	The She-Ra reboot, nicknamed Z-Ra as a play on words regarding her androgynous appearance,
552780	556060	was the topic of a podcast I recorded with Scrump and Dankula back in the day.
556060	559940	I recorded a similar podcast about the Star Wars sequel trilogy, as a donation reward
559940	561020	with a fan.
561020	564440	But beyond just me, there's also Space Jam removing the overt sexuality of Lola Bunny
564440	566100	to the anger of many furries.
566100	568620	The absolutely cancerous Thundercats reboot.
568620	572620	The new Ninja Turtles making yet another ginger character black, this time April O'Neil.
572620	575280	Rugrats' recently announced reboot making Betty a lesbian.
575280	578620	The absolute radioactive waste pile that was Star Trek Picard.
578620	582940	The slightly better, but not really radioactive waste pile that was Star Trek Discovery.
582940	586380	The complete dumpster fire that Game of Thrones turned out to be after they had to start actually
586380	587780	writing their own series.
587780	591160	The rapidly growing landfill of shitty woke video games.
591160	596040	From Battlefield, to Battle Born, to Mass Effect Andromeda, to Fallout 76, to the entirety
596040	600720	of Telltale games, to almost every single indie project out there, the supply of garbage
600720	604640	media that compensates for a lack of talent and originality by injecting wokeness into
604640	605900	it is endless.
605900	612240	And yet, none of this explains why sometimes, Get Woke Go Broke is a rule in full effect,
612240	616760	destroying projects and careers and sometimes entire legacies, while other times the rule
616760	620960	seems non-existent, as Star Wars and Star Trek and Captain Marvel slip on by, gaining
620960	624320	profits and prestige despite being absolutely god awful.
624320	627840	When the Angry Video Game Nerd released a video stating that he refused to see or review
627840	632640	Ghostbusters 2016, the entirety of woke internet descended on him.
632640	637360	City Massacre YouTube critic refused to see Ghostbusters for dumb reasons, AVGN shows
637360	641680	that he was probably one of the thousands of salty fans that made the Ghostbusters 2016
641680	645520	trailer one of the most disliked movie trailers in YouTube history.
645520	650120	The brave, not sexist, movie critic refuses to watch the new Ghostbusters.
650120	653780	And of course, the story rapidly became about everything he'd ever done, the complicated
653780	656400	legacy of the original Angry Video Game Nerd.
656400	661520	And while the culture war was certainly in full swing even back during 2016, AVGN's
661520	665920	video didn't even reference it, it didn't talk about the encroaching wokeness vs misogynistic
665920	667160	nerds divide.
667160	671540	It certainly didn't mention Gamergate, Trump, Brexit, or the alt-right, even though every
671540	675160	single fucking article tried to shoehorn that shit in whenever they could.
