start	end	text
0	5600	You know, despite the talk from all the globalists regarding how we're all one human species
5600	9440	and there should be no borders and we're all in this together etc etc, you can really
9440	14800	tell who actually believes that and who doesn't by looking at their coronavirus pandemic response.
14800	19260	Which nations are working together with others? Which are simply going it alone? Well the
19260	22340	results might surprise you, or maybe not.
22340	28080	Global rush for Trump-backed virus drug sparks India export ban. They're talking about
28080	33120	here I think hydroxychloroquine, which is a drug that if taken while you have the coronavirus
33120	38600	seems to at least somewhat reduce the symptoms sometimes. It's certainly not a miracle cure.
38600	42280	But as soon as this became known, suddenly India stopped exporting it. That's no big
42280	45560	deal though, hydroxychloroquine is actually pretty easy to get a hold of. The plants that
45560	49880	it comes from can basically be grown anywhere. But as you can see by the article, India banned
49880	56320	exports of a malaria drug backed by US President Donald Trump amid a run on supplies globally.
56320	60880	India is probably buying time to ensure its local needs are met first. And that actually
60880	64760	makes complete sense. It's better to help yourself before you help somebody else. Because
64760	67780	if you're incapacitated, you can't help anybody else.
67780	72120	In the States, people are stealing masks and other medical equipment from hospitals. This
72120	75360	was two months ago, so who knows if it's still happening now. But additionally, this
75360	79120	is also individual people, not the actions of a government. The article doesn't directly
79120	82320	confirm this, but the tone of it makes it sound like the people who are stealing from
82320	86420	hospitals are actually those doctors and nurses who are working there, probably stocking
86420	89400	up on their own personal supply from the hospital closets.
89400	92740	Of course, even though the media reported on this at the beginning of March, by the
92740	97040	end of March, after Trump had agreed with them that doctors and nurses were in fact
97040	102240	stealing PPE from the hospitals, the legacy media of course flip-flops. Trump could help
102240	106640	solve the mask problem and said he's making baseless attacks on New York nurses. Baseless?
106640	111960	Weren't you guys reporting that this was actually the case? French border guards impound trucks
111960	118760	filled with 130,000 facemasks bound for Britain for the NHS workers battling coronavirus.
118760	123360	After realizing what was on board, border guards in France held the truck there. Macron
123360	127880	has promised to requisition facemasks for the French crisis. I mean, presumably Britain
127880	132860	had fairly purchased those masks. It was their property and the French just took them.
132860	136920	It's okay though, according to the Global Times, which is China's English propaganda
136920	141940	outlet, China has returned the favor to the EU while American help is absent. And this
141940	145520	article is about how awesome the communist government of China is, sending all these
145520	150320	supplies to Europe. Of course, that was basically just a propaganda stunt, because almost all
150320	155520	of the actual medical supplies that are manufactured in China, but owned by American and European
155520	159760	firms are no longer leaving China, and those businesses have in fact been nationalized
159760	164600	by the Chinese. The world needs masks, China makes them but has been hoarding them. Yeah,
164600	169500	the American medical supply company 3M, they had millions of masks in China. China's
169500	173320	not letting those go. They might send over a couple of pallets of supplies to make themselves
173320	176480	look good on the world stage, but they're keeping everything now. Maybe the West should
176480	181760	move its manufacturing base out of a country that has no problem with just stealing everything
181760	185980	should the situation require it. Italy, one of the worst hit countries in Europe, has
185980	191760	been asking the EU for help, and has received nothing from them. So much for an ever-closer
191760	196080	union, I guess that's just completely abandoned as soon as a crisis comes along. So as you
196080	201900	can see, all of these places that want this globalism, that want money flowing between
201900	206220	countries, that want this privileged upper class of people who are predominantly socialist
206220	210900	leaning and who can jet set around the world having no actual ties to any one location,
210900	215300	who can fly into a community, destroy it for profit, act like they're still moral because
215300	219820	they virtue signal as social justice warriors, and then just fly away leaving the people
219820	225700	there to live in the rubble. All of that nonsense, all of that talk about how we are one human
225700	230840	race and how all cultures are equally beautiful and how everyone's way of life is valid,
230840	235480	all of that comes crashing down as soon as there's an actual emergency. For those people
235480	240980	who have survived solely on ideology and who have never actually experienced any real hardship,
