start	end	text
0	3920	We haven't checked in on the garden a little bit.
3920	8820	It's currently raining like mad, but things are actually going pretty well down there.
8820	10680	It's time for another chard harvest.
10680	13240	Cucumbers are looking good, for the most part.
13240	15280	Tomatoes are looking good.
15280	17320	It's time to weed again though.
17320	18440	We can't do it today.
18440	19440	Too much rain.
19440	22160	Oh also, god dammit, the laundry.
22160	24040	It just started raining out of nowhere.
24040	28920	Like it went from zero to a hundred on the rain in about thirty seconds and the laundry's
28920	30480	already ruined.
30480	34600	Like it's, it's, it's done.
34600	39840	Okay guys, while Naomi goes and fills out the watering can, I'm going to give you, I
39840	42000	just sprung that on her.
42000	44440	I'm going to give you the update for the garden.
44440	49560	It is the beginning of the second week of July and things are going okay.
49560	52840	We have a lot of weeding to do again as you can see.
52840	55340	In fact, look at this giant weed right here.
55340	56340	Look at this thing.
56980	61820	I should just, just grab that out right now, eh?
61820	64700	It grew into the lattice, oh my god.
64700	68340	Wow, I might like destroy the lattice taking this thing out.
68340	69540	There we go.
69540	73900	So basically there's a lot of weeding to do but the plants are actually doing kind of
73900	74900	okay.
74900	78300	The chard grows just as wild as the kale does.
78300	81940	We're constantly cutting and eating it and it's just, it just comes back after a few
81940	82940	days.
82940	85240	The peppers are going slow but the peppers always go slow.
85280	90360	Three out of the four cucumber plants, this one, this one, and this one have begun to
90360	94280	grow but that one is turning kind of yellow and not really moving.
94280	95280	I don't know why.
95280	100520	The four tomato plants are going okay but this one kind of sucks and as for the beans,
100520	104800	they seem to be going okay as well but this bean that was right here in between these
104800	106960	two, that one died.
106960	109400	But the beans are definitely going way slower than the peas.
109400	111880	Well, Naomi's back with the water, I guess.
111880	114320	Don't water yet, it's weed first unless you want to like...
114360	116160	How did you make me get water?
116160	118560	Um, it was kind of cinematic for the video.
118560	123240	Anyway, we're gonna weed some of this stuff out and um, maybe cut some kale for tonight
123240	127280	for our salad for dinner and then we'll, we'll uh, get out of here.
127280	128280	Kale?
128280	129280	Oh, right.
129280	130280	Chard.
130280	131280	Jesus.
131280	132280	Oh dear.
132280	133280	When you start growing kale.
133280	137640	You know what I'm actually thinking, we should do what my dad did for his garden and take
137640	139640	a year off.
139640	144120	He said that like, it does help like replenish the soil if you just take a year, only throw
144120	148640	compost into it, it's probably a good idea because the garden is definitely doing not
148640	149640	as well.
149640	152000	Also, the fact that we might be moving, right?
152000	156960	So you know, if we still are here next year, maybe we just shouldn't do anything.
156960	157960	Yeah.
157960	161200	Actually, here's kind of a funny question.
161200	164400	If we do move, should we take the garden with us?
164400	167640	Like just put, like it's all good earth, just put all the earth in totes and just bring
167640	169840	it to our new place?
169840	170840	Why not?
171560	173560	I'll, I'll shovel it out.
173560	176560	I'll just build a new garden, it'll be better than that.
176560	178560	Yeah, but the earth costs us some money.
178560	180560	Oh boo.
180560	187160	One thing I should do is take this cucumber vine and get it off the tomato plant.
187160	188160	Can I show you?
188160	190160	It's like wrapped around there, you see it?
190160	192160	It's not going to focus, is it?
192160	194160	It's right there.
194160	195160	Okay.
195480	206360	And then we'll feed the vine through the lattice and we'll have it go up.
206360	207360	That's pretty good.
207360	210200	I think this one hand is kind of, kind of tricky.
210200	211200	There we go.
211200	212200	You know what?
212200	215200	I'll probably have to crawl underneath that again like last year and pull out a bunch
