start	end	text
0	9360	Oh my god, the government's coming to take away your gas stove!
9360	12960	At least, that's the most absurd story of the current news cycle.
12960	16760	I gotta admit, I actually didn't know that gas stoves, the way that Americans have them,
16760	20960	where there's a little electricity-fed lighter that sparks a trickle of gas, even existed
20960	22240	until my teen years.
22240	26420	I know, gas stoves exist in Canada, but growing up, everyone I knew either had an electric
26420	31100	stove with the plug-in coils, or more recently, an induction stove, where electromagnetism
31100	34320	heats up the pot or pan itself without heating up anything else.
34320	35820	Those ones are actually kind of spooky.
35820	39740	You can touch the stove and not feel anything, but any metal in the direct vicinity will
39740	41900	heat up due to the electromagnetic field.
41900	46340	You can find tons of videos online, generally showing the same demo, where a pan is cut
46340	50020	in half, sitting on the induction stove, where what's in the pan is cooking and what's
50020	51620	on the element directly isn't.
51620	55220	Sometimes you can even find videos of people putting stuff between the stove top and the
55220	59020	pan, stuff that's clearly flammable like a towel or something, and the food's cooking
59020	60220	while the towel's just fine.
60220	64460	It's due to how futuristic-feeling that induction stovetops are that is behind this
64460	68140	general, cultural view that they are the future of cooking at home.
68140	72200	The induction stovetops you can buy right now are all generally touch-screen and smart
72200	76340	house-enabled, adding to this progress-oriented, futuristic aesthetic and attitude.
76340	80220	The problem, naturally, comes from the idea that new technology isn't just another option
80220	83900	among a marketplace of options, and let the one that fulfills consumer demand the best
83900	84900	win.
84900	88160	The company jumps in and says, no, you can't have the old options anymore, which seems
88160	92280	to be the starting point of the current gas stove viral controversy.
92280	97660	The U.S. Consumer Product Safety Commission will move to regulate gas stoves as new research
97660	101740	links them to childhood asthma, says Bloomberg, with a commissioner saying that health and
101740	105420	respiratory problems are a hidden hazard, and any option is on the table.
105420	108500	Products that can't be made safe can be banned, and the backlash to this news was
108500	109500	rather extreme.
109500	112740	Not surprising, since 40% of stoves in America are gas stoves.
112740	114340	I'll never give up my gas stove.
114340	118180	If the maniacs in the White House come for my stove, they can pry it from my cold, dead
118180	119180	hands.
119180	120180	Come and take it!
120180	122560	Second Amendment rhetoric for gas stoves kind of makes sense.
122560	124380	Gas can obviously be used as a weapon.
124380	128500	We've got libs of TikTok pointing out yet again the obvious hypocrisy, gas stoves for
128500	129860	me but not for thee.
129860	133660	Those in power seek to implement these measures top-down onto the common person while not
133660	135220	actually living them themselves.
135220	139300	I have never used a gas stove, but if the liberals try to ban them, I'm getting one.
139300	141860	My gas stove now identifies as an electric stove.
141860	144780	I'll be firing up my gas stove today, high heat.
144780	146380	You should too and enjoy a nice meal.
146380	149020	Don't let the radical left scare you from living life.
149020	150380	Holy shit, guys.
150380	154580	Before even getting into any of the substance here, like the science behind the use of gas
154580	157420	stoves and health, or the veracity of the claims that the government's coming for
157420	159820	them, just on the surface, these people are brain-rotted.
159820	164740	Yeah, some of them are memes, like the assault gas stove, or the dude cooking every single
164740	167140	possible egg he can before gas is outlawed.
167140	168540	There's some funny shit in here.
168540	173820	But some of these reactions are real, uncut, culture-war-infected slices of human frontal
173820	174820	lobe.
174820	178700	Like, you know how there's this view of leftoids as NPCs who just mindlessly swallow
178700	181980	what the establishment tells them without a single critical thought in their heads?
181980	186140	They're just brain-dead March of Progress culture warriors who have no clue what they're
186140	187140	doing?
187140	190720	There's an equivalent idea of rightoids as NPCs who just mindlessly reject what the
